G	c	dx1dt	d2x1dt2	d1	m1	Fc	d2	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.413470895509473024e+00	2.618080842220442239e+00	3.192251310177776968e+00	7.013814158775041996e+00	4.580865284177257024e+00	1.443145090684668119e+01	6.121196030612463090e+00	1.871965495421620673e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.581302405423370416e+00	5.948052507481055962e+00	3.193925193009365504e+00	8.101024434014451714e+00	1.217129131429003586e+01	3.084148832892337921e+01	8.322233056565423226e+00	1.465646631318468280e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.697153741531128190e+00	8.790541708001299526e+00	9.108442213679879274e+00	3.251976406755908933e+00	1.368760580511387603e+00	6.979995187228058739e+01	7.926406701291511148e+00	2.341224022668371418e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.390302812965427570e+00	7.636314554936087795e+00	3.265187041287970882e+00	6.716712688216457394e+00	6.503233155042863700e+00	2.082890962307710225e+01	2.322619074368805325e+00	2.969402095540310071e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.435410982937713964e+00	8.304702001951977053e+00	3.628973753871715058e+00	6.150163803012961061e+00	2.185896494343502194e+00	7.955303723750573930e+00	2.356848223511817331e+00	1.016387470408163729e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.325422789274885993e+00	6.874855848739398034e+00	7.872969005082477878e+00	8.477522973844276777e+00	1.319886325646736358e+00	1.873070351646558862e+01	3.390096025695887416e+00	7.696619228850129169e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.478103088678812460e+00	7.340827242370245642e+00	5.198728766137040047e+00	9.195605035690242346e+00	1.346299944269085946e+00	7.520961258835718866e+00	4.211705598995413524e+00	1.041737603745367480e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.730593275439343159e+00	8.655641149951934565e+00	8.021800490613211210e+00	1.100840504991064783e+00	6.795384085987767886e-01	7.029607470951933124e+01	4.691615299813388873e+00	6.228110222725689482e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.478991367740534635e+00	3.283389144324035502e+00	1.553515296894438347e+00	7.167302905381991884e+00	1.426844940888683055e+01	1.057996055794447265e+01	7.179422606519739958e+00	8.222558162577104213e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.234501840136117856e+00	5.319868561718740452e+00	5.407351453468003832e+00	1.466310391183128115e+00	1.004026423928282341e+00	3.968025112804105703e+01	1.534725709617688283e+00	1.839513073758721085e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.163486188511436037e+00	3.108697598357090364e+00	1.400843058560507171e+00	5.977648525904104559e+00	2.670768360400667341e+00	1.517395369008881501e+00	1.294650663308959615e+00	2.460246699812693283e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.567160018711740932e+00	9.820888060211069970e+00	1.664900901183191673e+00	3.547844991770649159e+00	1.120672115279308301e+01	1.574829261791031776e+01	4.555239290244405659e+00	1.250815987041315509e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.446991900583844526e+00	9.553550088479209279e+00	9.126168955386136261e+00	3.788223510030543917e+00	1.762931191154277988e+00	7.803178022138413894e+01	7.254865515361439421e+00	3.008833327688497050e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.884480325906839671e+00	1.299500600009624529e+00	2.267188261419899487e+00	4.191518372690103078e+00	2.721350251994826941e+00	6.731342851724305909e+00	2.763365741262062247e+00	2.384407989680527251e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.711378202569731499e+00	7.315741238844372774e+00	5.712867003399678012e+00	6.588573151331315714e+00	1.481435267084671548e+00	1.585674683596229251e+01	6.849605089188623985e+00	1.874666728564099927e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.672107319571354722e+00	9.371114475917927678e+00	4.745395747773772932e+00	3.979287658639272252e+00	1.160717800691827506e+00	1.260450894652933407e+01	3.225311435493467105e+00	8.678498242083140468e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.693087996517423921e+00	2.682342467838827904e+00	4.211860773584104045e+00	7.559752491777287808e+00	3.473976739000741887e+00	1.482841456729222962e+01	9.018200897357822043e+00	2.057938006426498490e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.780501130125735187e+00	6.040783547241440843e+00	9.100697697169110256e+00	4.656031279737514517e+00	1.434674598862283545e+00	5.231864003857332790e+01	8.977377980221806553e+00	1.993198549578378831e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.888470306713236013e+00	9.300059345136549638e+00	1.159559948118212391e+00	1.649225635233277920e+00	3.246565727894459741e+00	5.370104828787585660e+00	3.742491210472820740e+00	2.795711273032672395e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.623095494467286404e+00	1.363647702464493072e+00	6.993992356199155047e+00	8.046954780429453891e+00	2.112398350314942164e+00	2.538920848725635437e+01	3.035245336900756374e+00	1.700267225129072690e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.441583751985917594e+00	7.224602601036633764e+00	9.693600543013177528e+00	3.587375811492978794e+00	1.143273852947973790e+00	6.240927564093088620e+01	4.635409824430692716e+00	1.018047722695177626e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.201862148859980994e+00	3.765076325468668106e+00	6.045994129636865999e+00	4.892849456129638064e+00	9.193309208110479469e-01	1.348631528101020827e+01	3.202655222585879979e+00	2.185619183939890853e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.584645024741971220e+00	9.238518501136232075e+00	9.441270186406136133e+00	7.174328533624275472e+00	1.362765487249778529e+00	3.412032571463310404e+01	7.071290743618089181e+00	2.287122561185269021e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.299771217659109190e+00	9.704767138158839401e+00	1.460723459641034783e+00	3.981254570557303918e+00	5.878990211177995917e+00	6.087428780106941772e+00	8.380156969940980360e+00	1.200251910178517818e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.108845276195451035e+00	9.525046062007914927e+00	4.824133030582122394e+00	1.510243833195641372e+00	7.931520759040669999e-01	2.424009178087719718e+01	6.989578936000942377e+00	1.375733228204502190e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.150154715886197110e+00	5.220442728182636216e+00	3.382072034026904372e+00	4.511344479177846090e+00	5.310226898375158378e+00	2.726345482537884735e+01	8.408942011048374354e+00	5.843192466585909273e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.817904415431945253e+00	8.773060526625254596e+00	7.523105149985278572e+00	9.516907174562749816e+00	1.734318583622429299e+00	2.098036518208583345e+01	4.507343471116029399e+00	1.730924356555226140e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.481568128824150676e+00	8.614356027731309595e+00	9.775872518448329274e+00	6.810541926997533579e+00	1.976423498753502317e+00	5.549719973589002109e+01	2.349034860159257221e+00	9.811799247852858841e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.345946115894619766e+00	3.861497027002627203e+00	3.294724891097656538e+00	7.067024202227949914e+00	6.815523025883282848e+00	2.066069892184820844e+01	7.647856334219419239e+00	5.027809159393753902e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.339574344544835816e+00	8.506547008396248444e+00	6.928256988373456160e+00	6.676312118662019124e+00	6.491342984525518833e-01	9.710125462244244332e+00	4.191660025271207957e+00	6.586135210779489491e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.415622338903833821e+00	1.320364643440582242e+00	2.791053904466753721e+00	2.860977744137758183e+00	3.254137701175990660e+00	1.809649334155870903e+01	7.064670802914041481e+00	7.645436776445293070e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.490759988749586817e+00	6.379309900275153211e+00	6.052459765507231637e+00	4.749242991990999307e+00	1.093892000715626089e+00	1.513248213140346898e+01	3.516962825349303046e+00	5.279550972249884566e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.549562420349292813e+00	3.133859556134130919e+00	5.189832525610369451e+00	7.815572253724393015e+00	1.190858507397283272e+00	7.812085386727785519e+00	1.722974973943116161e+00	1.963448558005349565e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.465542505967286857e+00	2.129089075329598568e+00	9.729781765870923138e+00	1.894264200481697857e+00	9.380593003733196378e-01	9.314357149781112355e+01	9.940325420541698875e+00	4.650237327790891051e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.701701374745368867e+00	1.736306176082178521e+00	6.525362844146257224e+00	3.448708063514960287e+00	2.648146272840911308e+00	6.310087302634625672e+01	2.515738247671913896e+00	2.730359704927421305e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.199219151235105585e+00	7.202668328922016805e+00	4.163947676192259806e+00	3.506652248558407958e+00	3.481860671324631618e+00	3.428316813771755989e+01	9.831100935839703681e+00	6.294649508006313710e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.760827872935649463e+00	4.088069698321049827e+00	2.009453497123091736e+00	4.828370504628998638e+00	4.448390686422369455e+00	7.446429266533939106e+00	9.860405350485006437e+00	4.461000176920784099e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.000120816482019670e+00	7.474028684027510749e+00	2.374005119830470356e+00	9.852314886333656929e+00	3.950667500325915960e+00	4.483529586187843030e+00	8.202691995474788555e+00	6.010336596056717440e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.086148220277931564e+00	1.516919958916351341e+00	3.100464741364442833e+00	1.542878628717248013e+00	1.825878410703710042e+00	2.169029715449174489e+01	6.981340880392030712e+00	5.378300275792821772e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.945973863249450098e+00	3.833623904276064032e+00	3.227246962134669328e+00	5.651039847659006909e+00	4.299544621362225705e+00	1.624045755491220078e+01	6.270624282468949318e+00	2.565691393235231388e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.961766800564285429e+00	5.805114280358741219e+00	8.677777835407823659e+00	2.536777236385890699e+00	3.616657434891630274e-01	1.740422568202945897e+01	8.810196682224933795e+00	3.800649315375772552e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.440304642114829115e+00	8.160491775058256181e+00	6.047114515529107948e+00	9.888971672986066608e+00	4.376615508746192873e+00	3.269730001593792679e+01	3.573203824062846312e+00	3.190775127257291999e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.344282528167360047e+00	3.914086406233076687e+00	5.734094751134086287e+00	1.930196499579413638e+00	2.058490936905426893e-01	7.224465466912687539e+00	5.268751746934140279e+00	1.248054448044007669e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.222886841831575921e+00	6.527176329194118054e+00	1.996777054854938172e+00	4.632940274611372367e+00	1.049625380410991760e+01	1.871533641685654814e+01	6.636215045096440335e+00	1.136770464999397774e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.333206994121367117e+00	8.927719969671370492e+00	8.747349578138670978e+00	7.702856212675463610e+00	1.423427911624971065e+00	2.915555351617909707e+01	4.760920152380172077e+00	1.538081563272179153e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.010830244193374305e+00	6.461558483874990877e+00	7.566498871278432681e+00	7.397093310134292388e+00	3.359794254104652378e+00	5.244811293590599632e+01	4.849802095239728494e+00	2.715060184534021914e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.943200018282492003e+00	3.070898482814370389e+00	1.557276999637154713e+00	4.850644075266024480e+00	5.691687471676025289e+00	6.200181112888367707e+00	3.933551267958550035e+00	1.774967407194578328e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.773287410361776395e+00	1.244929161434840781e+00	7.297110762706148002e+00	4.101544746375382466e+00	1.580407392590296389e+00	4.147902155824748149e+01	6.088509752287676768e+00	2.548538035726201301e+00
