G	c	dx1dt	d2x1dt2	d1	m1	Fc	d2	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.630668374670845466e+00	2.574625547087629585e+00	3.238908053456513780e+00	7.374229410905487114e+00	4.636242553617531570e+00	1.507906411532303004e+01	5.945612080075208361e+00	2.067804847544998381e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.637558235577490251e+00	5.513217172579021330e+00	3.207783588915728235e+00	8.228470346188641926e+00	1.202945111353135310e+01	3.144917125255419421e+01	8.040386208274844293e+00	1.470945746396599816e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.059048570149574431e+00	9.115341335622218821e+00	8.929741917078303004e+00	3.453317358028134887e+00	1.769621976273058506e+00	6.986009952459572503e+01	7.961936699727104383e+00	2.287040981073590018e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.299504226086077630e+00	7.676644637920883696e+00	2.752559269549292420e+00	6.945973227361397662e+00	6.212214137094534294e+00	2.117594463524893200e+01	2.340447833001434663e+00	3.293023556033078592e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.333027701526352526e+00	8.637796498330953199e+00	3.662597143510819997e+00	6.110062149021602274e+00	2.323782211379370910e+00	8.050356084111330190e+00	2.432457842048673324e+00	1.020450098949932105e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.466572813651463747e+00	6.875149907533111282e+00	7.827479707611250781e+00	8.495250578481501336e+00	1.282699273126313599e+00	1.845656120027766534e+01	3.007789080639637902e+00	8.065214424998497833e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.648578314464551386e+00	7.113876607268897700e+00	5.060794428087757701e+00	8.728874528831470414e+00	1.526455685368973914e+00	1.032974313750325024e+01	4.224448044217919751e+00	1.085413845511740050e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.857271360670480931e+00	9.028868412513643804e+00	7.717964006826719014e+00	1.444915098723614788e+00	6.308062570386064882e-01	7.099612615009091598e+01	4.956650143175322043e+00	5.986818428578475348e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.062452560783338384e+00	3.778820330393321214e+00	1.537081127707655481e+00	7.026743533807423781e+00	1.391165681872154991e+01	9.321512284987205632e+00	6.812538837789330337e+00	8.301020642052553455e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.457224632018071730e+00	5.407424659895614383e+00	5.690891178964349706e+00	1.194302337482824550e+00	1.021030542658668105e+00	3.930897999500066220e+01	1.514624815840805994e+00	8.602477373237868985e-01
