G	c	dx1dt	d2x1dt2	d2	d1	Fc	Fg	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	3.952143590132434881e+00	2.612360102665674422e+00	3.235142319452129378e+00	1.500112147038107935e+01	7.235008124706164168e+00	1.573990157859016970e+00	4.925848905937341726e+01	3.263979892494885515e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.229140359614216749e+00	5.848000256545464737e+00	3.165653481485017018e+00	3.061951160171541275e+01	8.096689531489932534e+00	9.419444392315465819e-01	1.367774626950302945e+02	1.534381431551798736e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.363820221101960328e+00	8.952795988018591444e+00	8.633674887372098539e+00	7.117520362298824921e+01	3.323105576564882035e+00	4.418623813100029940e-01	5.277818351143680502e+02	3.204078969376003005e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.473254016221284601e+00	7.374022416823373227e+00	3.195827832938762381e+00	2.260495817281276487e+01	6.447869109365242046e+00	9.956232368661231957e-01	6.551601114892153532e+01	9.286216040506616309e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.476375044090802557e+00	8.466665876488541187e+00	3.940055168533529883e+00	1.001948135621101343e+01	6.599030362663791394e+00	2.590551011808641224e+00	3.117620834783162920e+01	1.074783805373487722e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.220124225155339026e+00	7.002853364693620186e+00	7.587222662755573666e+00	1.846351440451133641e+01	8.805173994631612544e+00	3.603469919531499865e+00	3.716453608198975900e+01	1.652906653596685205e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.198755325182708109e-01	7.135805516392279557e+00	4.886566165198334311e+00	6.181890546581900736e+00	9.447906134498019526e+00	5.939881430260472328e+00	6.539242702008253083e+00	2.111628981901154223e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.195471830313785233e+00	8.444701206804547056e+00	7.663618795659109750e+00	7.176282593439557900e+01	1.324353324435228352e+00	1.117869258924608367e-01	1.636115463312126167e+03	1.213161026686327554e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.332702763062607154e+00	3.195584882191926823e+00	1.757302662026860807e+00	8.134496026142601366e+00	7.206854845438442680e+00	1.084707765704418625e+00	3.774235537556954512e+01	2.528174552012494303e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.070567834354136494e+00	5.177597225329845898e+00	5.720322566973536915e+00	4.264428281619434102e+01	1.129712125121332678e+00	2.312823524084751947e-01	6.000789453053126863e+02	2.242585005909254192e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.259660966762102596e+00	3.007140158062891810e+00	1.628387590422970543e+00	1.585806105598777327e+00	6.111142857603264034e+00	5.056557845632649872e+00	2.420495265083848935e+00	3.675332170936124410e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.784514691616191584e+00	9.912777505632599073e+00	1.219324850808201299e+00	1.362476052032989671e+01	3.619622589445775418e+00	3.293915307651080759e-01	1.353378635625560378e+02	3.226826006839368932e-01
