G	c	dx1dt	d2x1dt2	d2	d1	Fg	Fc	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.406341697401902735e+00	2.629507601707815390e+00	3.270063735470019051e+00	1.052448591344066875e+00	6.997045264162454536e+00	-1.611771011813436960e+00	-3.741858822706025656e+00	2.355384416833826933e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.654157138837906160e+00	5.886592858311041176e+00	3.286432455805948560e+00	8.798331284791441886e-01	8.191291825551784811e+00	-8.647555473677808191e-01	-2.475301543245921110e+00	2.622773576516339844e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.659658825923981063e+00	8.833420342447865892e+00	9.151783655107367466e+00	2.609175520245138546e+00	3.208749703489732319e+00	-4.339067642869342545e-01	-9.098516964055398670e-01	3.014957801393632053e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.335300585273550666e+00	7.629252498140875360e+00	3.225673283575222872e+00	9.330677659252519796e-01	6.596198856014907186e+00	-1.037944756889086495e+00	-1.388678999403601733e+00	2.118546147219135989e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.299029838520810110e+00	8.272141390580983966e+00	3.457784497327653916e+00	1.222300427370628606e+00	5.948926814055038648e+00	-2.578673176972474224e+00	-9.336134945291083564e-01	1.934169701731507018e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.531660294436747449e+00	6.932193909937208076e+00	7.869475694776650876e+00	2.801886405136488012e+00	8.608726540045044118e+00	-3.523004387309355501e+00	-1.476734406291295043e+00	6.185750610009232986e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.645557346751476135e+00	7.317182515357750994e+00	4.997720735780680990e+00	2.072458105945651941e+00	9.184587253729171508e+00	-6.018848680665620066e+00	-1.419041731018351404e+00	3.761848945893101615e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.805785000922524475e+00	8.679605982218385307e+00	7.945350054551051144e+00	2.228252683532743639e+00	1.067871539734344788e+00	-1.659768427559053794e-01	-8.110131992362514808e-01	9.066218336848088200e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.341272360595547219e+00	3.208606730488732683e+00	1.624164337005810310e+00	4.666486131945697391e-01	7.005297435296921726e+00	-1.102703692119151535e+00	-3.515902453430632679e+00	1.096273716462711612e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.424785996190913728e+00	5.400047927468626163e+00	5.293867211592433897e+00	1.538799505603924089e+00	1.439690862193073739e+00	-2.095280883278786421e-01	-1.207741104583315073e+00	7.992353315795899249e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.179416039265090754e+00	2.986662612376340231e+00	1.270263305307959500e+00	5.925122873266033263e-01	5.978535370599825427e+00	-4.987154646281796389e+00	-2.202084551950704849e+00	5.668973326879590324e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.723073782528485864e+00	9.893480372920040011e+00	1.731774967878281224e+00	4.674931242148686050e-01	3.486268899525732934e+00	-3.772382090295326451e-01	-1.011855414241985773e+00	5.281396579656911783e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.540394646287067459e+00	9.636976442891757699e+00	9.104486777281950438e+00	2.536534722287397070e+00	3.753324903833367809e+00	-4.585979100282430165e-01	-1.011274344134311276e+00	3.444625175948740292e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.929149394451608490e+00	1.375472368380244559e+00	2.316586010469745549e+00	7.822173422356402117e-01	4.272478022075238968e+00	-1.427477981816494434e+00	-4.496450618147277645e+00	9.191908920493677471e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.572244733085907953e+00	7.236916119178685491e+00	5.759431980385087080e+00	2.018318710782478931e+00	6.530247267660580945e+00	-2.509669485459407046e+00	-1.162925004656108596e+00	3.603724634571398155e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.633064553085992632e+00	9.297038107813149210e+00	4.727968119051433327e+00	1.651350359378078281e+00	4.010801233937739241e+00	-1.522659013537593253e+00	-6.441119431437524190e-01	1.829416506556303901e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.773963829328942143e+00	2.517677241171294433e+00	4.162221181034034601e+00	1.279801437418471188e+00	7.713564892183518040e+00	-2.024255088372584055e+00	-3.860582377071076543e+00	3.054191454844577791e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.750424306853468615e+00	6.093159879311396132e+00	9.160837166897488615e+00	2.656958474688366323e+00	4.674967211001328948e+00	-8.258137524970614596e-01	-1.345700736592611690e+00	4.173547421393045909e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.901686316582882341e+00	9.128837516754789050e+00	1.185353251497936133e+00	3.862864539748904202e-01	1.621995529158538396e+00	-3.513293991370807223e-01	-5.332656907113508815e-01	2.511809417973204894e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.671581994385731740e+00	1.257025874623071804e+00	7.083926459184788804e+00	2.192328799403956641e+00	8.081264713368909725e+00	-2.199459908092969762e+00	-8.074155330319216617e+00	5.495112792165078730e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.487098808986470289e+00	7.192182302836353180e+00	9.638008798535384614e+00	2.761219059065492587e+00	3.550124574447638626e+00	-5.406531758548038802e-01	-1.059238231341794956e+00	3.457075507873206988e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.265114910288585026e+00	3.697512499016247123e+00	6.054446485062756622e+00	2.171531950143300360e+00	4.965255840677779808e+00	-2.174041884417402759e+00	-1.747576930377103599e+00	2.786230826539085825e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.446605069236785113e+00	9.319595765583082780e+00	9.444945497492744479e+00	3.010865204322038302e+00	7.147377716656145630e+00	-1.975359420314810599e+00	-1.071236657040699480e+00	6.579079550832869927e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.272920132180417774e+00	9.756378475019253926e+00	1.408369740082827004e+00	4.808516746117104113e-01	3.886047554165763085e+00	-9.217487211661078428e-01	-7.112890097965897107e-01	6.129069955094113453e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.145974645718709439e+00	9.492582043418835269e+00	4.753355000244863682e+00	1.422627370608429587e+00	1.488088203914890162e+00	-2.817353987084761924e-01	-5.052393925225576732e-01	6.971834638120420813e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.045454295199109040e+00	5.190360994586600718e+00	3.350338332609897218e+00	9.283183006100730328e-01	4.312956450487392068e+00	-5.519776444374842050e-01	-1.840237831742317143e+00	1.436755850683741365e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.771830373011248128e+00	8.786951853563046200e+00	7.553528461789072779e+00	2.577033615621145302e+00	9.484815152433382579e+00	-3.391191038174802941e+00	-1.256376795170298433e+00	6.878503793134728994e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.571743298369449704e+00	8.707880936084686496e+00	9.966453125606324903e+00	2.902819629637467536e+00	6.761584387202967505e+00	-1.211139814394775360e+00	-1.243554684839845326e+00	6.581854058135530749e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.386036382313633908e+00	3.894669393082028197e+00	3.262464683053985848e+00	9.655204932600691681e-01	7.108133353290041256e+00	-1.115088303572270290e+00	-2.908212775323637533e+00	2.337149998229104142e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.447738237005399498e+00	8.436544421177435638e+00	6.952695119249005629e+00	2.933057617274839934e+00	6.728178185631061403e+00	-4.715814166204226332e+00	-9.185937625903300985e-01	3.638885540292396570e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.512577658399549385e+00	1.253623108829038157e+00	2.830169416419216599e+00	7.692312650802867191e-01	2.805180799219786802e+00	-4.316000483604871540e-01	-5.363543382532476755e+00	7.572775318133139422e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.441289076724320051e+00	6.315911730134370572e+00	6.087206871237363259e+00	2.106468944755327755e+00	4.764845333826611906e+00	-1.869367696833355019e+00	-9.935927478895516529e-01	2.762793636572639855e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.576780287900048538e+00	3.095282841688376418e+00	5.127618550997181224e+00	2.134655004034861747e+00	7.701138230711058519e+00	-4.886520908270127528e+00	-2.860787460989977049e+00	3.356218339816419416e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.524809366773801855e+00	2.144801197174295293e+00	9.705627588309022613e+00	2.695723124132500370e+00	1.794280875601361291e+00	-2.220441109786286393e-01	-3.960853104408772030e+00	1.849136153436806040e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.675502892328651683e+00	1.707091201589642226e+00	6.448145100672117103e+00	1.780655555984755889e+00	3.506800756253197537e+00	-3.806760278762260086e-01	-5.875402403668511297e+00	2.262031333871357219e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.242234815932571124e+00	7.311097955722561714e+00	4.046954939094642434e+00	1.181100104740963275e+00	3.529888891670038831e+00	-4.266367845474176024e-01	-1.254790109169990897e+00	1.452839748798399455e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.722791687418563811e+00	4.098243912899119046e+00	1.971454195913359797e+00	6.224615906160361201e-01	4.882305830182191997e+00	-1.280291434236953574e+00	-1.841902793280750794e+00	9.794888208977685196e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.925034430871853885e+00	7.551080237102232751e+00	2.279364272733705121e+00	9.005314145129451608e-01	9.794364997504560577e+00	-5.240003011829065471e+00	-1.471444134358676603e+00	2.057482817787643725e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.054567814430233952e+00	1.551575158346235828e+00	3.102166897771874599e+00	8.651117488730498684e-01	1.632668166083013350e+00	-2.275544072641639270e-01	-3.990241362979348505e+00	5.082482613201048771e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.057565124329760131e+00	3.847288675850907946e+00	3.292849288182578160e+00	9.711907056341215760e-01	5.663797865126214859e+00	-1.150164966834366753e+00	-2.302078604391714300e+00	1.818231817089730384e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.124531086658353551e+00	5.808225051451555210e+00	8.698943270894549329e+00	3.196876309273918970e+00	2.705537801899116079e+00	-1.253808848572649293e+00	-6.671519771795969556e-01	2.054367846534810127e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.454301057009812048e+00	8.117478079798038593e+00	6.083518338490769395e+00	1.786715759840685092e+00	9.802821123186813423e+00	-1.781728912653181451e+00	-1.647061819773587121e+00	5.790806887338126785e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.358577355937122810e+00	3.887178983541522470e+00	5.719737570336750565e+00	2.493468456871656080e+00	2.071673313406715788e+00	-1.522322657026765169e+00	-7.415307254515178803e-01	8.849219976400924281e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.105305837713649098e+00	6.726415747851449467e+00	2.113573527980159295e+00	5.667302410926037259e-01	4.673428012362533579e+00	-4.978799205429270680e-01	-1.621166843310083872e+00	9.389905911361585922e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.293044163220902210e+00	8.900937300404612174e+00	8.707533054444702714e+00	2.818621070190892031e+00	7.571123254181638451e+00	-2.306760812589045528e+00	-1.122296912998841822e+00	6.489262500815031842e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.956147583500249532e+00	6.569555709443184455e+00	7.511218656662931537e+00	2.148700235361802768e+00	7.376880188168633445e+00	-1.014923054443021444e+00	-1.830890820610846736e+00	5.507062757923771557e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.879308026555129185e+00	3.179038768565724649e+00	1.650265245233754285e+00	5.318943341037827288e-01	4.824929666927538108e+00	-1.261438588612758149e+00	-2.401381755730235490e+00	7.425574335040298735e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.678095651364331253e+00	1.261822913092220055e+00	7.297563310168918349e+00	2.162105706966830798e+00	4.151545557247503737e+00	-7.333101085994673252e-01	-6.485088632020511668e+00	2.968751707150063979e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.944750859383103325e+00	8.877227922267481475e+00	6.062826808315875837e+00	1.701350781176083515e+00	4.605178210924444571e+00	-7.531341754747771233e-01	-9.279221674631584760e-01	2.677092375906872945e+01
