G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	d1	d2	m2	p	W	Fg	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.299463407665665926e+00	2.682709314346150897e+00	3.291048934950922877e+00	7.140729255582748181e+00	6.197741998112785033e+00	4.617651703360382776e+00	6.862546826925711052e+00	3.990050701063982075e+00	1.392044045207855296e+00	5.337196740092894354e-01	1.400205565137068842e+00	6.070829306217242344e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.547921773933774503e+00	5.865242963374164731e+00	3.195856005594738036e+00	8.140655218709014207e+00	8.300990824734173046e+00	5.244006247497916995e+00	2.568299792932164038e+00	1.706704722861356416e+01	4.139914090883122455e+00	3.001303076975906592e+00	2.710580660213527171e+00	1.769343672643323429e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.559572616627940000e+00	8.903933353468652001e+00	9.178127664406654063e+00	3.200141469681838213e+00	7.756156988490354287e+00	8.648217088318348900e+00	8.879248397364710499e+00	7.593858689637118964e+00	1.964415013349572359e+00	5.260420986835891100e+00	8.510498953155881452e+00	8.983845283500649370e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.406129135503583427e+00	7.611862026341022158e+00	3.312865324825396307e+00	6.556624475706692046e+00	2.402232666918127535e+00	4.119250591269417505e+00	6.476672335962805782e+00	1.462002247654631049e+00	1.269074535223987166e+00	1.415097241930920680e+00	7.883185544479346163e+00	1.204423600618602791e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.365299931006597411e+00	8.272323139961031302e+00	3.402373019192746817e+00	6.231954670766888249e+00	2.306818541564230607e+00	8.824046222812480522e+00	2.500885795984800541e+00	8.572160294236423894e+00	7.296863641091567487e+00	9.863350116412940238e+00	4.210314228976860917e+00	5.638274255884948571e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.370643745891430232e+00	6.987066526959863744e+00	7.722312668424518023e+00	8.439276761458947007e+00	3.336977463741672700e+00	1.897402612881378126e+00	9.642417756236294935e+00	5.971308291397599000e-01	3.974443328553935451e-01	2.556013608578165397e-01	4.372271393278634122e+00	5.017604819934366744e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.579747896890207448e+00	7.309849508049344635e+00	5.020146154649147263e+00	9.153291833703191216e+00	4.227129380632895561e+00	7.944394953279910965e+00	5.658820420705101384e+00	5.980771539245132828e+00	2.846534635883465114e+00	2.231822825320803450e+00	5.709594116538251107e+00	2.045237908161853801e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.803606512579555954e+00	8.573087275220858672e+00	8.046170908094115504e+00	1.056506843022144260e+00	4.626806550246552519e+00	8.532926844279144163e+00	1.584354095469742374e+00	2.425776075010286803e+01	1.045527043054765315e+01	8.119436898842134553e+01	9.906965365953034341e-01	2.817275764959130679e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.372001349933550607e+00	3.188577576171961692e+00	1.500838224782217178e+00	6.987774326599887509e+00	7.167427748318527136e+00	2.620973529977190797e+00	6.630950846844393176e+00	2.751226587275366509e+00	7.813833581510464255e-01	3.826947393111953533e-01	3.195420716451250254e+00	1.073769971657502903e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.373608029198385871e+00	5.361417550613078120e+00	5.323155324710631575e+00	1.450694814472572425e+00	1.538070183003903635e+00	4.916416960076603004e+00	3.307742719585100133e+00	2.281766533549633547e+00	2.937777025486451699e+00	1.096999304100215333e+01	2.788271009192297978e+00	1.488702487006499098e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.259891387030106502e+00	2.907302759659814217e+00	1.311131681000010207e+00	5.888962077019503027e+00	1.249281290209836914e+00	2.438633233223190366e+00	8.274719966402294347e+00	3.989513582260529878e-01	5.874109068013206869e-01	3.286977348012180555e-01	3.207070232983395108e+00	1.110369647682361710e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.745089313311302348e+00	9.885521271793974663e+00	1.557475301541761059e+00	3.551254116751999312e+00	4.487747112332410637e+00	7.286465453463526032e+00	8.445364792858804037e+00	3.933425490603543739e+00	1.752546866703406758e+00	4.858664780164471786e+00	8.187422722064416902e+00	7.386564260111183611e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.524076099905023796e+00	9.529919473065447733e+00	9.190761447603625456e+00	3.869587400441364622e+00	7.253736839558181160e+00	5.830689280303327671e+00	9.838825831493128504e+00	4.413358197886662282e+00	1.233458727733029781e+00	2.935834852728806954e+00	3.559085910459644175e+00	3.082925441153200677e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.870338742629465756e+00	1.353649766893563200e+00	2.185362329971146877e+00	4.199627751305828660e+00	2.736974219346424153e+00	6.637609599119987713e+00	5.531889247405971766e+00	3.246236750527168979e+00	2.497777980740816250e+00	8.104917379557696755e-01	2.813045106877783752e+00	2.931955405400617498e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.691977688120295031e+00	7.320462531201472167e+00	5.773841954466729653e+00	6.642055982108450607e+00	6.828357230336779438e+00	2.785208414782488262e+00	5.070334449775708130e+00	3.653607184092876103e+00	1.096579021487613437e+00	1.223351641005453905e+00	5.527170414509862795e+00	1.263097671331132599e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.776103446806811093e+00	9.389901459447289156e+00	4.765854393117647803e+00	4.051091608155520163e+00	3.376079793447291699e+00	2.887025564916679610e+00	7.745283230575891409e+00	1.208765804304789082e+00	7.471136951741700338e-01	1.680155342255674311e+00	8.819196150287480052e+00	9.610236623690866786e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.695343515711115856e+00	2.632997481622027625e+00	4.060222369013336774e+00	7.588831479571680028e+00	8.977574273776442126e+00	1.400603253581560459e+00	2.245015290318764567e+00	5.668948239791164134e+00	1.243097032674095104e+00	4.888649595463926967e-01	3.199148815646562838e+00	4.142747241923117607e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.658840126291932116e+00	6.130587746658452630e+00	9.180050060479524987e+00	4.616942864372735933e+00	9.047012092936167704e+00	3.822688475353139381e+00	5.973975750533008444e+00	5.968599462142578638e+00	1.340025529154589057e+00	1.755418095292138103e+00	1.789819698809104631e+00	3.948524505610962604e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.897006058626642400e+00	9.303606559876538284e+00	1.137471523614040025e+00	1.628654565114981745e+00	3.578991169597231625e+00	6.108921522408679472e+00	5.857641283310953462e+00	3.742947623726134321e+00	2.103233960307337114e+00	1.161986904517088703e+01	4.172787579702306182e+00	7.624418456819226364e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.668447298432381931e+00	1.298657668996742176e+00	7.021007070905108449e+00	8.062957452590987728e+00	3.140318227604504298e+00	8.711372627954222736e+00	1.844592932221357673e+00	1.469306442519741651e+01	9.712964587792214388e+00	1.533230128235782974e+00	7.717121946669416310e+00	2.683698682929838597e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.501729758572904139e+00	7.391395327570803531e+00	9.649956440695978799e+00	3.541033347303289780e+00	4.677382631237680499e+00	7.044235260976232205e+00	4.797236209063654222e+00	6.978759347207791564e+00	2.973341064223231633e+00	5.968873025682627009e+00	5.938013302955649664e+00	1.517932857051418338e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.198441965649891472e+00	3.651228423878552842e+00	5.978295805617964476e+00	4.901931070550737957e+00	3.249475607872608585e+00	4.971227409446665746e+00	8.618974442008266124e+00	1.777109006573218242e+00	1.165276218259662100e+00	8.283681472588004802e-01	8.355165947191828479e+00	1.897651924323787431e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.623424929661189342e+00	9.430714730350853614e+00	9.403965126135597430e+00	7.130758671203689225e+00	7.062136560975578625e+00	9.514581511852068019e+00	8.734782258762258778e+00	7.767016786579757692e+00	2.224139101774883276e+00	2.872440257319484047e+00	9.770093293852211147e+00	1.010769986733879300e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.329627191787741580e+00	9.685298173714574688e+00	1.500410000883639627e+00	3.982823748510091022e+00	8.544898335733522643e+00	7.521609048592849511e+00	1.836045966292940257e+00	3.323960124435290453e+01	7.893699609011898488e+00	1.922207778214082197e+01	8.135608015052044450e+00	6.127285858345487002e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.082600039879066500e+00	9.527186891111707467e+00	4.768761416285314247e+00	1.491120756769996891e+00	7.090855198047800734e+00	9.293305095857640197e+00	1.684339757850612962e+00	3.634433936209912730e+01	1.029732571017890308e+01	6.498209946769361522e+01	6.388574745988901071e+00	6.177305868996041394e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.099450167856964811e+00	5.232182884728137751e+00	3.403178103425243073e+00	4.296600582835270465e+00	8.341152666725090370e+00	5.673123531667669361e+00	3.355550071635367892e+00	1.449761076815200589e+01	3.416679099298170819e+00	4.166113763348685772e+00	5.378408719096560375e+00	2.502981063332166412e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.860101786419636305e+00	8.820667066772365672e+00	7.656665243112933616e+00	9.372760218973544610e+00	4.539462568881528881e+00	3.437887011192600539e+00	8.886919111622299638e+00	1.583416790856521095e+00	7.626289089989749526e-01	7.170410935779462092e-01	1.427529753199015206e+00	2.171177537391720883e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.641111973731091744e+00	8.574339765194428864e+00	9.766350979109192920e+00	6.724774560756638486e+00	2.397640046806252645e+00	1.536438461624902052e+00	2.153863671883955000e+00	1.564969431194960903e+00	1.324778028761330217e+00	1.735873460377991062e+00	9.813002143639888430e+00	3.899903703678534450e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.330218500265416992e+00	3.888085877357142284e+00	3.239403755476577995e+00	7.140975298642214142e+00	7.593964031352919086e+00	7.648528617609006375e+00	7.635935510417536598e+00	7.808474262719793835e+00	2.010305679839792692e+00	1.145366303912835892e+00	4.486774506214132430e+00	1.184339173826315511e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.462940365739442861e+00	8.424048605564014025e+00	6.815525244570540764e+00	6.673775142500377733e+00	4.223732243725053515e+00	2.071416370405001928e+00	1.931099251705993947e+00	4.694912077038371656e+00	2.166265950130024986e+00	2.757784023406515850e+00	2.333749335341384068e+00	3.645652112361636998e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.421568848039445498e+00	1.385208006106197764e+00	2.733228214960084390e+00	2.832935319765735205e+00	6.966980966164822320e+00	3.730595571295323154e+00	6.616244870600814565e+00	3.944775015293038756e+00	1.156172478709007079e+00	5.092250843255281545e-01	6.932721390442299736e+00	5.437987697075086224e-01
