G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	m1	W	Fc	d2	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	6.101435608729842919e+00	7.951713025642557220e-01	4.584952918396552057e+00	5.918503642471064197e+00	2.039989719702198112e+00	2.062194308611676519e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	8.289775197376487270e+00	9.588202188268262205e-01	5.673895120719499197e+00	1.624657202917054377e+01	3.308689026496307584e+00	1.567300375729371087e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	7.750308088049854938e+00	2.513056804142066891e+00	8.666303221729695139e+00	3.936957949455060657e+01	2.111303853051046175e+01	3.043521882465487849e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	2.262416306849603043e+00	4.286108507465383743e-01	4.083655932766159680e+00	1.435394980515655128e+01	2.437098766687276541e+00	2.821116844631420317e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	1.904019591426791891e+00	4.682697080544492851e-01	8.841992406615275968e+00	3.692474806818703570e+01	9.861898633345450582e-01	3.001150101209745014e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	3.505416143578832688e+00	4.937695566148754267e-01	1.606036649141084016e+00	6.840762022096512851e+00	2.384561284450771979e+00	1.125136487656327766e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	3.725552343449346715e+00	4.307715461804328960e-01	7.718699825405343162e+00	2.785630559682896745e+01	8.208018622810415721e-01	7.957980231971975904e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	4.684564655834606128e+00	4.236146785802620940e+00	8.356565108818569954e+00	3.772967795663986834e+01	6.326110831463797268e+01	6.475772506840196741e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	6.627279547845912333e+00	1.012668002244685672e+00	2.737354851999948213e+00	4.968362605990574110e+00	1.128641493715655475e+00	6.494421786670110386e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	1.523878765366553978e+00	1.077014408545818425e+00	5.081010014986516943e+00	1.243971554193896090e+01	2.639019688773147010e+01	2.356580435928527706e+01
