G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	m1	W	Fc	d2	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	6.087867119079549028e+00	8.696282335403361374e-01	4.522958572934016708e+00	6.040663669799447355e+00	2.139950079031269770e+00	2.101120630144379664e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	8.262424578637828532e+00	1.001158900138930274e+00	5.372240460248278282e+00	1.553377984155756231e+01	3.778935924714267980e+00	1.428730268403785475e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	7.784901463983708858e+00	2.426681763201275377e+00	8.751541698929226953e+00	3.860554038121841813e+01	2.133509666015502404e+01	2.984273544582907434e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	2.346583167784840995e+00	3.398272724677838252e-01	4.049677164955165942e+00	1.525035779375698475e+01	3.109029764919915007e+00	1.819790889556545777e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	2.362526441459011473e+00	4.151320643791507337e-01	8.875010875277093092e+00	3.673241401249641314e+01	1.298431681472499877e+00	2.996046410882336364e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	3.281256826486515177e+00	4.143901840125253089e-01	1.725609249219623109e+00	6.289357943189245681e+00	2.318899200489526358e+00	1.231347323019159390e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	4.339134260676367205e+00	4.387093973109577050e-01	8.004915740405987634e+00	2.896990138967776574e+01	8.405905489287480714e-01	7.848272810401817345e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	4.678477285280257192e+00	4.211725553432852820e+00	8.576472580018950964e+00	3.702922854162153499e+01	6.324920011171187895e+01	6.499833993462202386e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	7.046847764899460742e+00	1.004814371263151429e+00	2.543719665608840330e+00	4.402208752658625102e+00	1.410585318624334228e+00	1.566259050207449710e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	1.454715064688146819e+00	1.035350317432126133e+00	4.916159863314892853e+00	1.324697502149868100e+01	2.709792568669201529e+01	2.274573737035967014e+01
