G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	m1	W	Fc	d2	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	8.733369806643286326e-01	4.539877103092379684e+00	6.070276744751320841e+00	2.067503602773735683e+00	2.093459357696612511e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	1.007854465478519534e+00	5.257968064005016373e+00	1.545654262908973031e+01	3.785712588568525216e+00	1.398963578266073871e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	2.411577725150843232e+00	8.685525872437979800e+00	3.847377702314869197e+01	2.134682541360879426e+01	2.968967994623784890e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	3.598706795325159469e-01	4.042305032873931836e+00	1.540614719570356250e+01	3.128841702658131663e+00	1.898910131178092264e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	3.818812874603382257e-01	8.835122024870853963e+00	3.644546440387260589e+01	1.342601472667728668e+00	3.322378999005711986e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	4.010982607024558000e-01	1.787722215460613606e+00	6.242623383264181314e+00	2.211980767939005332e+00	1.238915180356542756e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	4.655258871525123632e-01	7.988923319095138531e+00	2.887126367608519217e+01	8.574995629382136109e-01	8.105617690129117037e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	4.215521966614074856e+00	8.619946899114850680e+00	3.728663312500513172e+01	6.335651729164944612e+01	6.490245139693858789e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	1.006063668997390526e+00	2.641691065202905531e+00	4.279862836262886994e+00	1.428615591201557455e+00	4.218475138465885843e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	1.028060667520568572e+00	4.873905667023544552e+00	1.316737255104164994e+01	2.709966402625031279e+01	2.288724645138374925e+01
