G	c	dx1dt	d2x1dt2	p	m2	d1	d2	Fc	m1	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	6.178494638128571026e+00	5.702498556065105362e+01	4.616981282281581223e+00	6.853816795229035641e+00	-8.985506089171881428e+00	2.104356098499588370e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	8.196905068580001341e+00	1.997811757792586036e+02	5.260937660889593026e+00	2.553362765493986775e+00	-5.621068782306654299e+01	3.465844182229220678e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	7.776353498999932334e+00	2.072831351282707502e+01	8.694258633418957771e+00	8.835031101951654975e+00	-4.096859272369580474e+00	-2.120835468377312907e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	2.388014034642587102e+00	3.044881793038177165e+01	4.017930484268439351e+00	6.581833220390882033e+00	-4.416508913093214694e+00	3.421207330418110359e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	2.346736863317396171e+00	9.730220546658392422e+00	8.797075804107748809e+00	2.365673012028348676e+00	-1.953331843851345866e+02	2.262905424634853446e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	3.405547599218369914e+00	8.732375303660068866e+00	1.770807793049666623e+00	9.675996588939504761e+00	-1.799962795632056745e+00	-4.315761236729168218e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	4.233904537139117963e+00	1.206830812659347174e+01	8.070348225223421323e+00	5.744419700694392894e+00	-2.159677116288154863e+01	4.175730199821980193e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	4.769285295350038645e+00	5.257095043280568092e+00	8.623985739033633635e+00	1.617647404199118455e+00	2.798611774432127675e+01	1.250245251708819723e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	7.140480310446581491e+00	2.035964731400910068e+02	2.563822086363942265e+00	6.625346197016385830e+00	-3.586457573535656085e+00	6.284801321523476645e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	1.617465715321025899e+00	2.489421306043160254e+00	4.887127989874214151e+00	3.406369558110339035e+00	-4.660925113209141379e+00	-7.240288096730770121e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	5.854575132042141306e+00	1.381174203843947623e+00	8.034737590396282769e+00	2.534829736885894302e+00	8.259046898165847139e+00	-1.836061427019908932e+00	-5.843043823372832435e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	3.592109191383432432e+00	4.619971349988984066e+00	1.017719252562495598e+02	7.358043046436238299e+00	8.332862633165413868e+00	-4.177556482535531579e+00	-1.925424240939767628e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	3.669153751088829463e+00	7.215947802878273976e+00	2.542679205693547573e+01	5.898733609803107569e+00	9.854187217589837289e+00	-2.682924810724198750e+00	-1.927582203196429020e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	4.106317417522418189e+00	2.773227804856023937e+00	1.412357599065722447e+01	6.760565648132291550e+00	5.485922743135969171e+00	6.017074075880409545e+00	1.687901221897486792e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	6.632589320115219955e+00	6.750022288750923138e+00	2.030169060632557176e+01	2.710825605222531465e+00	5.009483943528544536e+00	-4.612268799340307091e+00	2.093457532279777524e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	3.995363895180734204e+00	3.247849432404991799e+00	7.386986631543789983e+00	2.875460161112637358e+00	7.855934023293728252e+00	-1.818079958575145261e+00	-4.440576036155975714e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	7.663879694689988753e+00	9.056261493274563534e+00	6.123389422576846641e+01	1.385887111917115444e+00	2.132231917687144485e+00	-8.990949075873789553e+00	1.581478191327615832e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	4.575525346491900791e+00	9.045212221129487418e+00	2.656696513748140731e+01	3.807197672552654399e+00	6.055607382084445156e+00	-3.658244658358358770e+00	-1.698361594942475494e+05
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	1.610092805723061460e+00	3.618114003874509432e+00	2.391919616729923703e+01	6.056155087414038185e+00	5.889609797491097254e+00	-2.405380897916576277e+00	-3.836197761022791042e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	8.075469592024985488e+00	3.047362712343723246e+00	1.254832631328276804e+01	8.624770640099782781e+00	1.921303005968998834e+00	5.831317460060054358e+00	1.778327841459264747e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	3.508460552369207619e+00	4.658365836840515861e+00	1.121703770211504825e+01	7.058494435673138945e+00	4.687404081060385863e+00	-9.358787196970087763e+00	5.949812495519018967e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.172230325252923144e+00	3.728240391070931636e+00	6.096455053458181617e+00	4.950755065433147806e+00	3.126998903098987537e+00	5.550731922872815360e+00	4.968341581093262072e+00	8.735347780427858311e+00	-3.944759215141416586e+00	-1.258311634716409912e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.626293109120901637e+00	9.194962663206332820e+00	9.456845314513040890e+00	7.196639915186946901e+00	7.039383968785225321e+00	2.029349607350416562e+01	9.605774246098651048e+00	8.732566607621135901e+00	-1.054936189677281178e+01	1.412345637679497031e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.316908599076862529e+00	9.659241458861918872e+00	1.448599150411121972e+00	3.904988658252869893e+00	8.528858761864260174e+00	9.819454667860914299e+01	7.436126903629286744e+00	1.938710527887715918e+00	-8.270483316328768808e+01	1.581111551140853919e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.063379489064411487e+00	9.492426529078166197e+00	4.818652948808580305e+00	1.507227804877244282e+00	7.021535228345361368e+00	1.157985204665182444e+01	9.380824464008670205e+00	1.869146241270722042e+00	9.033610908823339969e+01	1.312132724865444686e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.941602393384615155e+00	5.354233508835794630e+00	3.304460048783061321e+00	4.386182707130630298e+00	8.509533638651605614e+00	8.878264846978022717e+01	5.720126944888456855e+00	3.337183051521798838e+00	-2.128364279330644493e+01	3.720261735828688074e+02
