G	c	dx1dt	d2x1dt2	d2	d1	Fc	Fg	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.378052084685815970e+00	2.662581271827733964e+00	3.354334360974172924e+00	1.466854358493786137e+01	7.049701256083812595e+00	1.614568434534489949e+00	4.632078500899107354e+01	3.252059544010447389e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558123811140269765e+00	5.877576770973427678e+00	3.216568736883539170e+00	3.075163176714673341e+01	8.167950623133343413e+00	8.538451603228768283e-01	1.538237596940579124e+02	1.537763730668321172e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.584662896265608190e+00	8.856583887742051076e+00	9.157798690047318502e+00	6.948173919412299426e+01	3.255684809600001284e+00	4.286630711809533145e-01	5.520880776711652516e+02	4.132331739930223402e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.390393854369505355e+00	7.592693332529112382e+00	3.234460360652151145e+00	2.076080344587548865e+01	6.623556873765195974e+00	1.038191847955336033e+00	8.770539429602180803e+01	1.009028154927811949e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.401683021391407546e+00	8.257555811833711346e+00	3.447039786690181185e+00	8.250965893016992680e+00	6.148680742024144941e+00	2.557406796825581807e+00	1.870453786360429760e+01	1.054128929748322285e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400191288184522431e+00	6.918834344516331392e+00	7.834672846024584025e+00	1.878800238958019975e+01	8.488222231174635368e+00	3.533931727715828419e+00	3.809602714046465621e+01	1.735907762559746326e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.516504742564638075e+00	7.228081491482592824e+00	5.052046086424184956e+00	7.733693648229324147e+00	9.150764723862826244e+00	6.009466242575929762e+00	1.177247737132829997e+01	2.093256125199428386e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.786103871217935790e+00	8.647176995767145158e+00	7.995771012788043919e+00	7.026185760680597525e+01	1.108783004298755426e+00	1.304163989009204105e-01	1.627130521533683350e+03	1.438388673442384247e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.407924722421504349e+00	3.245357730555896048e+00	1.585514884040788885e+00	1.021509038840213890e+01	7.076453246438779487e+00	1.104860918772684997e+00	4.134389186848470388e+01	2.518383877328457476e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.373508634322802457e+00	5.403454000758466158e+00	5.387309101894929064e+00	3.972027553528786115e+01	1.465906080000937584e+00	1.999481485166497985e-01	5.973406382286499365e+02	3.083440567539541544e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.184737492843105588e+00	2.996372346127013753e+00	1.298292147739678493e+00	1.538972132949122607e+00	5.945602705538075128e+00	5.010249167498808553e+00	2.227752049379737809e+00	3.659662033671363002e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.726937328460520504e+00	9.885051252049441572e+00	1.557650061662692487e+00	1.522841784742230509e+01	3.588903273603392119e+00	3.686959762318601230e-01	1.398742682753856172e+02	3.992940216906422646e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.486865100102965798e+00	9.487951205410759314e+00	9.159648210984249417e+00	7.774254661159963575e+01	3.758371174215641375e+00	4.421092075178445491e-01	6.102322160535725288e+02	4.457894798067628117e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.914344016325258746e+00	1.353947684064349843e+00	2.246176044400663319e+00	6.563179519286699737e+00	4.175290918064544776e+00	1.436557163801237325e+00	1.998098141959781060e+01	4.143322359632514384e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.629295975081933801e+00	7.347483014900818787e+00	5.789496714738013416e+00	1.525816927683548485e+01	6.590720320868993731e+00	2.500592038030124531e+00	3.554441739273339351e+01	1.238082770088449802e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.654840692846763606e+00	9.321859481233760292e+00	4.694365416176750294e+00	1.241804627810225448e+01	4.009717451011647782e+00	1.510380033439564951e+00	3.582450011539075518e+01	5.922229189893261081e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.732755881828634159e+00	2.624202452335259839e+00	4.129125099009332445e+00	1.543418687886850726e+01	7.601732746861548762e+00	2.030873924521168217e+00	4.251713631073931055e+01	3.665574109953308568e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.718735468008066647e+00	6.114241392465903147e+00	9.108446979272773802e+00	5.206107300992742637e+01	4.642693557463466902e+00	8.125260302304717630e-01	2.525519072660424627e+02	8.916803185797882447e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.879566475341216680e+00	9.239343006285338333e+00	1.189223654716842438e+00	5.842754516884530958e+00	1.621604897139471424e+00	3.327612836330315904e-01	5.401408675118294411e+01	2.104448306356165310e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.618348516657859726e+00	1.307221593518572034e+00	6.963875457649562506e+00	2.521739005850965754e+01	8.048615810939306670e+00	2.226352165462308186e+00	6.616775963279593498e+01	7.873731973364076708e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.511954742377248806e+00	7.286870679458688826e+00	9.669860328137808381e+00	6.297085306878018685e+01	3.569580369391103236e+00	5.500312720347676487e-01	4.069525629056895468e+02	5.689458588304335818e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.258235488533384405e+00	3.674233581490983003e+00	6.041600327759145905e+00	1.365258816017450627e+01	4.890980998457512996e+00	2.169898590670420901e+00	3.184418595742342717e+01	1.923864386155977213e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.634597362783081653e+00	9.321114256806344756e+00	9.432609520496793465e+00	3.425831506809465310e+01	7.170697156622304114e+00	1.970669976889124930e+00	9.440873135238948066e+01	9.786964658256721572e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.300082586790156647e+00	9.736691376755677751e+00	1.467856483641963417e+00	6.309187580239353110e+00	3.990162233497316802e+00	9.294146387935247056e-01	2.672955882837225516e+01	5.056647302823642498e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.098656457876178827e+00	9.493689969060730149e+00	4.768032009707662944e+00	2.429284487176367335e+01	1.513221444886739375e+00	2.956644434442243785e-01	2.472236788702863919e+02	1.913220520570333705e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.064793316510710852e+00	5.264674017626734148e+00	3.343449384422482851e+00	2.701240242669704728e+01	4.360249558209063458e+00	5.413575104498710155e-01	1.809680598698915617e+02	9.324697909439279009e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.792841361247351717e+00	8.755720451501668222e+00	7.583133576835413336e+00	2.119260941315393154e+01	9.500270182813700615e+00	3.396508944841963196e+00	4.498312172076515481e+01	1.471364003030144030e+00
