G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	p	m1	Fc	m2	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.299463407665665926e+00	2.682709314346150897e+00	3.291048934950922877e+00	7.140729255582748181e+00	6.197741998112785033e+00	1.516322480324215460e+00	4.571194752524996296e+00	6.764290486619411347e+00	5.364147046698855448e+00	1.390562387613991646e+00	6.441221664974913885e+00	-2.455324359349731617e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.547921773933774503e+00	5.865242963374164731e+00	3.195856005594738036e+00	8.140655218709014207e+00	8.300990824734173046e+00	1.614703343367867250e+00	5.277886957683266544e+00	2.593989775058379355e+00	3.689231219295018604e+01	2.727073018042252883e+00	9.618197678864515154e-01	4.338102479869517802e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.559572616627940000e+00	8.903933353468652001e+00	9.178127664406654063e+00	3.200141469681838213e+00	7.756156988490354287e+00	1.100074927498661914e+01	8.718860123171872090e+00	8.775113253654245327e+00	6.286925217879730354e+01	8.370221366422697429e+00	2.470524878450163497e-01	5.602159621253270494e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.406129135503583427e+00	7.611862026341022158e+00	3.312865324825396307e+00	6.556624475706692046e+00	2.402232666918127535e+00	6.272181200070643392e-01	4.018312740907068026e+00	6.500872463920788213e+00	5.378654418259838366e+00	7.884518098113313833e+00	1.410045762402014624e-01	2.409437657929649035e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.365299931006597411e+00	8.272323139961031302e+00	3.402373019192746817e+00	6.231954670766888249e+00	2.306818541564230607e+00	6.552165568374720417e-01	8.913632012259389725e+00	2.419910804931995951e+00	3.437223980134223922e+01	4.207305487299994873e+00	5.392216835754156667e-01	2.688155842879648150e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.370643745891430232e+00	6.987066526959863744e+00	7.722312668424518023e+00	8.439276761458947007e+00	3.336977463741672700e+00	1.649374099000671112e+00	1.774426248612055446e+00	9.634567365926683280e+00	1.856063336130509445e+00	4.328897701374049056e+00	1.205482288044845973e-01	1.286385570717748017e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.579747896890207448e+00	7.309849508049344635e+00	5.020146154649147263e+00	9.153291833703191216e+00	4.227129380632895561e+00	1.137722425292359230e+00	7.984662002833031735e+00	5.655406745897103349e+00	1.449971095612773730e+01	5.806886376168600705e+00	3.774924109061655320e-01	9.515229197993664290e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.803606512579555954e+00	8.573087275220858672e+00	8.046170908094115504e+00	1.056506843022144260e+00	4.626806550246552519e+00	1.677079913608141482e+01	8.555584857930366383e+00	1.580637935160789320e+00	5.697775877608124802e+02	1.029915378880927657e+00	4.045834802245029671e+00	-6.110362305651996506e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.372001349933550607e+00	3.188577576171961692e+00	1.500838224782217178e+00	6.987774326599887509e+00	7.167427748318527136e+00	7.887615587536572770e-01	2.625723636405730588e+00	6.587781011301732548e+00	3.748677248389329364e+00	3.194853311139030261e+00	7.462431897714555395e-01	1.014086174512047300e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.373608029198385871e+00	5.361417550613078120e+00	5.323155324710631575e+00	1.450694814472572425e+00	1.538070183003903635e+00	2.805487501274749995e+00	4.902318312414549517e+00	3.305894661664198431e+00	2.441032270252915382e+01	2.893784928335891404e+00	8.128582579086713888e-01	1.740980940276580791e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.259891387030106502e+00	2.907302759659814217e+00	1.311131681000010207e+00	5.888962077019503027e+00	1.249281290209836914e+00	1.070682692236586686e-01	2.531330677801518991e+00	8.234855151868265111e+00	3.971982563928805332e-01	3.286336458027538932e+00	5.393182009862325099e-01	2.833662943540062873e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.745089313311302348e+00	9.885521271793974663e+00	1.557475301541761059e+00	3.551254116751999312e+00	4.487747112332410637e+00	9.336465169315136814e-01	7.445128046624235552e+00	8.322835457640382018e+00	3.285133237522165217e+01	8.262806717929853662e+00	1.842872208538206547e-01	7.001986045484397403e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.524076099905023796e+00	9.529919473065447733e+00	9.190761447603625456e+00	3.869587400441364622e+00	7.253736839558181160e+00	8.865685969129371458e+00	5.846670934902419070e+00	9.882563990989877922e+00	3.323185753618437843e+01	3.438924805461395451e+00	4.039183878631732449e-01	1.792863010911852628e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.870338742629465756e+00	1.353649766893563200e+00	2.185362329971146877e+00	4.199627751305828660e+00	2.736974219346424153e+00	6.812522722705260936e-01	6.733102077480260128e+00	5.450464228335869521e+00	3.975136304588976266e+00	2.750770096278949861e+00	6.022687881897730300e+00	4.428796961080486150e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.691977688120295031e+00	7.320462531201472167e+00	5.773841954466729653e+00	6.642055982108450607e+00	6.828357230336779438e+00	2.987981103825392282e+00	2.743898145054205706e+00	5.074942195770629993e+00	1.242696448033993484e+01	5.553580419290832459e+00	1.392875734440649216e-01	1.267862123635772598e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.776103446806811093e+00	9.389901459447289156e+00	4.765854393117647803e+00	4.051091608155520163e+00	3.376079793447291699e+00	1.944608746103517527e+00	2.869408487407237196e+00	7.753773863168810010e+00	8.709966946079992667e+00	8.713369400483768956e+00	7.527476184545159321e-02	1.185313400339549794e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.695343515711115856e+00	2.632997481622027625e+00	4.060222369013336774e+00	7.588831479571680028e+00	8.977574273776442126e+00	2.457685381753443643e+00	1.426705513868532949e+00	2.225692601121092018e+00	5.715192407838610933e+00	3.245843617444705842e+00	4.284083677440602145e-01	1.266582890148841045e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.658840126291932116e+00	6.130587746658452630e+00	9.180050060479524987e+00	4.616942864372735933e+00	9.047012092936167704e+00	8.827645192943110786e+00	3.950785255252324379e+00	5.924859618622677182e+00	2.383947189181971993e+01	1.735340252882014322e+00	1.039485925978803404e+00	8.374808672123363884e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.897006058626642400e+00	9.303606559876538284e+00	1.137471523614040025e+00	1.628654565114981745e+00	3.578991169597231625e+00	1.412822122101876854e+00	5.978615090272198174e+00	5.910344449035050296e+00	6.509699156014829668e+01	4.133913584298678501e+00	3.274772324966915837e-01	2.004877458559673475e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.668447298432381931e+00	1.298657668996742176e+00	7.021007070905108449e+00	8.062957452590987728e+00	3.140318227604504298e+00	1.321923752131764829e+00	8.761084574853239104e+00	1.704936786821351635e+00	7.803907059344144415e+00	7.685215681722683101e+00	2.105383032034796820e+00	1.263759730978152307e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.501729758572904139e+00	7.391395327570803531e+00	9.649956440695978799e+00	3.541033347303289780e+00	4.677382631237680499e+00	6.395164383414705611e+00	7.038028252619260350e+00	4.808912738807889831e+00	4.263368076855332589e+01	5.926086987725033062e+00	3.472689683190945953e-01	2.669631056212121933e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.198441965649891472e+00	3.651228423878552842e+00	5.978295805617964476e+00	4.901931070550737957e+00	3.249475607872608585e+00	1.991152132471399661e+00	4.857461345227599203e+00	8.667713945862603353e+00	4.412757380991433109e+00	8.320974419621199658e+00	3.331060467709378026e-01	4.327661710942914297e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.623424929661189342e+00	9.430714730350853614e+00	9.403965126135597430e+00	7.130758671203689225e+00	7.062136560975578625e+00	4.592453126187903578e+00	9.607731465309024443e+00	8.711674304387306833e+00	3.053284146347293770e+01	9.651982123939992775e+00	2.329411701624642395e-01	5.464472766587785912e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.329627191787741580e+00	9.685298173714574688e+00	1.500410000883639627e+00	3.982823748510091022e+00	8.544898335733522643e+00	1.588269074884667065e+00	7.415626797823412275e+00	1.852418791008536569e+00	2.436784665921556723e+02	8.081812066743417233e+00	1.941146572424537475e-01	1.074031302463009263e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.082600039879066500e+00	9.527186891111707467e+00	4.768761416285314247e+00	1.491120756769996891e+00	7.090855198047800734e+00	1.109445389418800865e+01	9.238211435285029083e+00	1.767212852170826576e+00	6.872225570351000670e+02	6.494485279223995988e+00	3.148501924020122300e-01	1.223435185301387174e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.099450167856964811e+00	5.232182884728137751e+00	3.403178103425243073e+00	4.296600582835270465e+00	8.341152666725090370e+00	3.167858466101251658e+00	5.739508252755888940e+00	3.445817238933239324e+00	5.207248920515178980e+01	5.495934161621298664e+00	4.598490445227584877e-01	1.893015679017642894e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.860101786419636305e+00	8.820667066772365672e+00	7.656665243112933616e+00	9.372760218973544610e+00	4.539462568881528881e+00	1.901660023278431977e+00	3.344282649834797727e+00	8.776434290385440207e+00	4.886808829138267640e+00	1.393701595678393579e+00	6.408290637582125804e-01	4.244487959094310758e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.641111973731091744e+00	8.574339765194428864e+00	9.766350979109192920e+00	6.724774560756638486e+00	2.397640046806252645e+00	1.790340350410747794e+00	1.469127188053354072e+00	2.102777166833793565e+00	5.779040274118878884e+00	9.861260911680881591e+00	3.076634917394236585e-02	8.509442450557155269e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.330218500265416992e+00	3.888085877357142284e+00	3.239403755476577995e+00	7.140975298642214142e+00	7.593964031352919086e+00	1.877195103301729118e+00	7.692058312327035630e+00	7.560506729411621052e+00	1.264398227144436326e+01	4.501402317470282632e+00	1.075133547426169178e+00	6.434289557802397308e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.462940365739442861e+00	8.424048605564014025e+00	6.815525244570540764e+00	6.673775142500377733e+00	4.223732243725053515e+00	2.169939555587397706e+00	2.112511441893411668e+00	1.945345770623163828e+00	1.735453781047429089e+01	2.355314636158639896e+00	2.121509241413152280e-01	2.953973907069522564e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.421568848039445498e+00	1.385208006106197764e+00	2.733228214960084390e+00	2.832935319765735205e+00	6.966980966164822320e+00	3.514627732496722334e+00	3.733048615654438240e+00	6.590536235744069771e+00	6.023354653883714604e+00	6.961682318828624538e+00	1.213990153107208814e+00	3.894712008893173483e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.483045263938858493e+00	6.329948446061203882e+00	6.148943168038314866e+00	4.650000588602292595e+00	3.436107115200859763e+00	2.215786088380279129e+00	5.815806323893820462e+00	4.272417781418984539e+00	1.878944158179674773e+01	3.622162349688172966e+00	5.453120459931990460e-01	6.217062940374016300e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.571036624284810612e+00	3.163730529672230674e+00	5.206333614250433506e+00	7.703875879733814713e+00	1.743998415178383832e+00	5.768826576378882631e-01	6.055537733267519762e+00	8.124533875244322800e+00	1.651121531951094568e+00	6.288965464194510524e+00	6.547561129684986714e-01	7.300369070252940018e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.513347804096694560e+00	2.029693099709402482e+00	9.717953446653664784e+00	1.839032471853295325e+00	9.878542843699255727e+00	2.528724064189441734e+01	6.456241668151124991e+00	3.115870236112308955e+00	6.683295693400799564e+01	6.244373356002101083e+00	1.541136453430443032e+00	4.979374957001430957e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.647208950131886951e+00	1.617719433135423213e+00	6.476132403634451862e+00	3.489723720959279074e+00	2.511498210553814392e+00	2.189988860017459515e+00	2.516103188024281234e+00	6.765086536486731639e+00	1.819223244325246291e+00	4.989255368405745017e+00	1.375712276225426356e+00	2.318356874137725843e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.374646739646962601e+00	7.319535304112311458e+00	4.223098206481803452e+00	3.617981522906169367e+00	9.899248484253512004e+00	5.891060097137249763e+00	4.434927528253584050e+00	3.146450743414962226e+00	8.700420101013301633e+01	8.485732450239444447e+00	1.561554064492336191e-01	1.200708038075906003e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.859078903520712256e+00	4.025960612828055396e+00	2.132215770440673452e+00	4.913084811871486046e+00	9.751031940518876340e+00	1.988501990283107368e+00	6.520507678644222871e+00	7.450451107289009833e+00	2.170467170098869403e+01	3.492714694792288022e+00	1.103039972742727803e+00	3.644733900580761632e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.859905420235571372e+00	7.522498316980942512e+00	2.375543759029041802e+00	9.915108542262611735e+00	8.055602783270192191e+00	9.353787288209990392e-01	9.642547796197950660e+00	8.982558403131145397e+00	2.011500280345356018e+01	5.037912231296893140e+00	5.306226567643467229e-01	5.050198208607761252e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.163061352953518757e+00	1.570280292732896710e+00	2.881016129681612803e+00	1.593749304698848235e+00	6.938071717957082107e+00	6.546651230481863593e+00	7.521173294639528883e+00	2.130614450679447547e+00	7.229425062143604919e+01	5.847656255149309423e+00	2.645438926214171094e+00	6.509587700555848899e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.951205806181552482e+00	3.764590597757254908e+00	3.275115107431111561e+00	5.742194453334364290e+00	6.186074775324081010e+00	1.778483576047932058e+00	9.318939613233327535e+00	8.790437394601070764e+00	1.338299074873895123e+01	7.011145219459062439e+00	7.514915681563162364e-01	8.096968911880353392e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.158285390825461114e+00	5.851138352549070554e+00	8.707158054443016937e+00	2.726515309158117795e+00	8.837565740279933024e+00	1.459659310968863366e+01	7.835511504291635454e+00	6.274893027284265123e+00	7.332278637663490883e+01	7.990830141670296705e+00	3.451423699896569164e-01	6.454100298191536744e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.527257761989395668e+00	8.186877721299163468e+00	6.063408503716528841e+00	9.730168351831036233e+00	3.597146386358426096e+00	1.103382986369725982e+00	6.341457398668798540e+00	2.141171316562924698e+00	2.667546564237545326e+01	4.611835819051330887e+00	3.706109416194900974e-01	7.855655726110338799e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.213305681826652993e+00	3.924578603844360636e+00	5.750633822162177999e+00	1.990539116620350546e+00	5.144109669820183584e+00	7.340991107109487324e+00	2.715462528248726137e+00	4.949213640665710123e+00	1.689609271811760749e+01	6.781955398474472041e+00	2.085282986889304968e-01	1.502264519528817921e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.209646795277340203e+00	6.645917382393925266e+00	2.052635755729773859e+00	4.561070966524571446e+00	6.665512875200519716e+00	1.459410573481668472e+00	7.023793237303325832e+00	2.501296453869418901e+00	8.055404908337334291e+01	2.453245890618988234e+00	1.260100219182432646e+00	1.773355815893064569e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.258290621200824244e+00	9.035676947460146380e+00	8.673084422354051526e+00	7.624234267898640560e+00	4.724442540239741639e+00	2.656582920762889710e+00	6.556825756238066738e+00	7.273556673229857772e+00	1.493674168249214773e+01	9.377132748076569158e+00	1.476016740392811777e-01	6.834265512835835388e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.057863681892117214e+00	6.483826020970668402e+00	7.456393731940603509e+00	7.345423224493216274e+00	4.833536920861973840e+00	2.451830370071157450e+00	6.432804824030670332e+00	7.831447394004812601e+00	1.064135405409639112e+01	4.502953095079119450e+00	5.017022420255259352e-01	1.181819991972493877e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.829227263672998038e+00	3.078529738799385740e+00	1.591282355329705966e+00	4.914500874114041018e+00	3.981529785036512337e+00	6.406504792852815156e-01	5.372908909233025554e+00	1.881645290321588782e+00	2.134383567617449273e+01	7.432330434343113801e+00	5.125125492890465484e-01	8.196059174369576539e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.636049968999069293e+00	1.241626275305044658e+00	7.429344371456501506e+00	4.048615707062811708e+00	6.103907168412797013e+00	5.430098449400357907e+00	5.673516462691828188e+00	5.502540714060137894e+00	5.574616242462391291e+00	1.120301939145797565e+00	-8.241579580169425157e+00	-2.406607995330379834e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.907331450850172416e+00	8.823634690067674313e+00	5.849554510585407208e+00	4.581741132294399499e+00	8.577341674631082213e+00	5.639276230059500961e+00	4.000922086868281546e+00	8.339754769264350998e+00	2.434570658414031641e+01	2.831001746413776221e+00	3.594104633357081968e-01	1.827955708552409186e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.648049757900934331e+00	1.177693533706964724e+00	1.760701464742315592e+00	3.280271059934195765e+00	2.822344922007589574e+00	6.680777458284953285e-01	5.758099383656966275e+00	9.398570129614581603e+00	1.822876422390615758e+00	5.275271965602542856e+00	2.232547237807207097e+00	2.663235938282735860e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.754682384962530151e+00	8.805521369210746130e+00	5.141474616773870743e+00	2.824894175879749447e+00	9.385379358910011405e+00	8.517528980993402499e+00	2.697983016955368907e+00	5.564836874241802178e+00	4.352488799349499971e+01	8.936367464732244414e+00	8.820004971522753257e-02	3.883745486213723552e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.032586939438814966e+00	5.644645946934064185e+00	5.449850865635052166e+00	5.364214279767960392e+00	7.229421245929736450e+00	3.640211953771747666e+00	8.253119654243384673e+00	9.579159267764772778e+00	1.996572231459288815e+01	5.762012493637548083e+00	5.712071595424461634e-01	1.330446647067710542e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.393345943628519379e+00	9.497108473018034402e+00	2.489669447891140752e+00	3.444551850445397800e+00	8.369141586178459491e+00	3.128809650637729867e+00	2.715749106540673807e+00	5.816726506603520974e+00	3.168439877741482036e+01	9.315910910413295554e+00	5.807316051609810736e-02	2.045661477924649319e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.152965224971548963e+00	8.202579914929035709e+00	9.414391674862057968e+00	3.619041010669717284e+00	5.972778434983721851e+00	8.086502940685694085e+00	1.890880442702871589e+00	4.462443165390407529e+00	1.601151156865567771e+01	5.353319666028377277e+00	8.993437095359434197e-02	3.916249266603669810e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.468004719895274590e+00	1.003158656461046050e+01	8.685496272954305041e+00	6.932317542273688460e+00	8.106226032434657114e+00	5.073123281560737219e+00	4.899171047318910510e+00	8.520944739629952025e+00	2.021672960905229033e+01	5.457118525054138303e+00	1.957804245682193134e-01	6.539153166988942445e+00
