G	c	dx1dt	d2x1dt2	d1	W	Fc	Fg	m1	d2	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.378052084685815970e+00	2.662581271827733964e+00	7.500383212988270820e-01	3.355861222453355275e+00	7.049701256083812595e+00	1.579521757316647346e+01	0.000000000000000000e+00	-9.850953370395876263e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558123811140269765e+00	5.877576770973427678e+00	3.397266304087300237e-01	3.214169891828932535e+00	8.167950623133343413e+00	3.865545125820788996e+01	0.000000000000000000e+00	-5.730396979020833115e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.584662896265608190e+00	8.856583887742051076e+00	2.259618494001632005e-01	9.157083171523044740e+00	3.255684809600001284e+00	6.596737199574076271e+01	0.000000000000000000e+00	-3.632714023315237739e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.390393854369505355e+00	7.592693332529112382e+00	2.624450215610297787e-01	3.250728053964214936e+00	6.623556873765195974e+00	4.083394415281875212e+01	0.000000000000000000e+00	-4.033593915600013347e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.401683021391407546e+00	8.257555811833711346e+00	2.421116634119635236e-01	3.440638854366640853e+00	6.148680742024144941e+00	4.378040803702533168e+01	0.000000000000000000e+00	-1.819714356871740824e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400191288184522431e+00	6.918834344516331392e+00	2.886480222316616384e-01	7.826122328104358594e+00	8.488222231174635368e+00	1.152958857423119383e+02	0.000000000000000000e+00	-2.171349158538592727e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.516504742564638075e+00	7.228081491482592824e+00	2.770119728603065434e-01	5.056379685659083023e+00	9.150764723862826244e+00	8.345692664580907660e+01	0.000000000000000000e+00	-9.772790785502728783e-03	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.786103871217935790e+00	8.647176995767145158e+00	2.319044076407053290e-01	7.987017086447490755e+00	1.108783004298755426e+00	1.927846925808553635e+01	0.000000000000000000e+00	-3.835816869963707965e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.407924722421504349e+00	3.245357730555896048e+00	6.156939077656995440e-01	1.594567728167212817e+00	7.076453246438779487e+00	9.183221299876905164e+00	0.000000000000000000e+00	-9.427024744355426700e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.373508634322802457e+00	5.403454000758466158e+00	3.699628916861158467e-01	5.387290418555576998e+00	1.465906080000937584e+00	1.070712123878904620e+01	0.000000000000000000e+00	-5.894359754242770588e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.184737492843105588e+00	2.996372346127013753e+00	6.683074241973357976e-01	1.301628141936438388e+00	5.945602705538075128e+00	5.753446632953029827e+00	0.000000000000000000e+00	3.545112307487242598e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.726937328460520504e+00	9.885051252049441572e+00	2.016689843626694456e-01	1.566299592155130371e+00	3.588903273603392119e+00	1.387024995045683262e+01	0.000000000000000000e+00	-3.424392823107248462e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.486865100102965798e+00	9.487951205410759314e+00	2.107613005570456999e-01	9.153055946355724615e+00	3.758371174215641375e+00	8.174940244457933147e+01	0.000000000000000000e+00	-3.457288196405913783e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.914344016325258746e+00	1.353947684064349843e+00	1.475537697165128170e+00	2.253939943055763173e+00	4.175290918064544776e+00	3.240218485037312579e+00	0.000000000000000000e+00	-1.430528719972922636e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.629295975081933801e+00	7.347483014900818787e+00	2.718907091770365603e-01	5.789679688387058043e+00	6.590720320868993731e+00	7.016345794794401058e+01	0.000000000000000000e+00	-2.341887426708397502e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.654840692846763606e+00	9.321859481233760292e+00	2.139179518085238263e-01	4.692569115351291842e+00	4.009717451011647782e+00	4.387469977474448513e+01	0.000000000000000000e+00	-1.859472589642308660e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.732755881828634159e+00	2.624202452335259839e+00	7.621335915131440819e-01	4.127953398415940889e+00	7.601732746861548762e+00	2.054518948156907143e+01	0.000000000000000000e+00	-9.126987796941594677e-01	0.000000000000000000e+00
