G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	Fg	d2	d1	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	5.730772433752574280e+00	6.773675154683868271e+00	1.521604234264748001e+00	4.984221297463622413e+00	1.442441715275220560e+01	1.039160195344550530e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	8.214997292153910280e+00	1.401293329113461050e+00	1.534095229668022586e+00	5.691561656649930079e+00	2.523855900756655402e+01	5.900612392759925342e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	7.958634259305783054e+00	-1.525940131813387701e+01	2.483025606063025581e+00	8.762391667984221755e+00	2.776979511464894657e+01	-6.370417865593060469e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	2.640677398803701781e+00	8.224797128383907197e-01	1.121004227619658566e+00	4.775874109240825227e+00	2.167878198406676660e+01	1.393718890069527276e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	3.166844894785041831e+00	-2.582716533498477851e+00	4.305660598049626531e-01	8.665529983993357277e+00	7.901178087714955112e+00	-3.582161068612644783e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	4.108544572699583952e+00	-1.641696033058222648e+00	4.943213264070722701e-01	2.955935558378924632e+00	6.427700497702539906e+01	-1.633216341244374803e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	4.357652168786291469e+00	-2.027842728118848026e+00	3.265880811301589137e-01	7.474282683136941330e+00	6.942927420922129222e+00	-4.796872165288423417e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	4.653498003968772778e+00	1.546486179486722889e+01	8.466875046921783721e+00	8.008634615447688176e+00	2.229783241982129738e+01	5.507101691609904037e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	7.332966321123575604e+00	7.823170445599225697e-01	1.322208485372638354e+00	1.871050885765000338e+00	1.789309227903040167e+01	3.068540951024610877e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	1.178822275446976597e+00	1.364849028952556331e+00	5.596392051609423213e+00	4.203329326957748968e+00	3.049953350843579614e+01	8.575306424532786309e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.828020824758155083e+00	2.538290297361574410e+00	1.861693680433464504e+00	5.740608791589111526e+00	1.845860323939269243e+00	-4.859661095949589615e+00	8.168730265914141420e-01	1.595603966449386846e+00	5.147776493439730316e+00	-2.248129665400270838e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.142817415764783817e+01	1.031555197377842070e+01	9.030458316716563072e-01	3.783660147696235487e+00	4.416365041328848662e+00	2.879996451453923911e-01	2.873693070941399252e+00	7.476894376180667656e+00	1.818180038741106230e-01	2.231891932379735408e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.019307313345253263e+00	9.895896863649646491e+00	8.558502721029334737e+00	3.304349940874462987e+00	7.541864615632919211e+00	-3.334532369058811696e+01	2.545494928979835869e+00	6.286551999759048215e+00	4.036657069497182704e+01	-2.552257962498994814e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.096361286816243119e+00	6.465164597075199193e-01	1.623315192884680513e+00	4.216872678695136045e+00	3.674118384254634773e+00	3.126768401332332470e+00	1.900986409289582069e+00	6.736638519583432405e+00	1.126469768666624205e+01	2.258719582548692273e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.565196744687734398e+00	7.567605712432913911e+00	6.024616790686194712e+00	6.557839967923939639e+00	7.074651134546206421e+00	-4.142701686685691165e+00	5.185692263662575741e-01	2.008387116431991526e+00	2.673910092032182462e+01	-2.378115740469835515e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.749816437686273041e+00	1.009062993275299291e+01	4.979486624955653085e+00	4.766651241189309829e+00	3.464116052642443044e+00	-2.551889544092762474e+00	6.378706422694291334e-01	2.648038122639092773e+00	1.915683017125912357e+01	-2.414037277334551490e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.586281612802257879e+00	2.494258897854792156e+00	3.865146607157690983e+00	7.861471356407803590e+00	8.692956727515497306e+00	-3.181700755760974886e+01	1.181124999297998412e+00	1.835130302953716930e+00	7.879624568292351228e+01	-8.180659131473241530e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.857407391700071742e+00	6.286175292308112006e+00	8.970155753462224268e+00	4.223491587024232885e+00	9.018682967612877022e+00	-8.140307608611493606e+00	1.385961378895255613e+00	3.711019523704608414e+00	4.020892432830069652e+01	-3.940472491244179309e+01
