G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	Fg	d2	d1	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	6.771195813683371867e+00	1.368738119174464085e+00	4.547856830343945944e+00	2.135962140945046173e+01	3.623170809708172868e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	1.399102170954137359e+00	1.508949175583537139e+00	5.259864256330250676e+00	2.274403681506409569e+01	5.926719361419578718e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	-1.525991335877218980e+01	2.555664827371166403e+00	8.686686634731104917e+00	2.629119187986202633e+01	-6.765549788011037435e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	8.213217391568627956e-01	1.221681403409570876e+00	4.059414064345844508e+00	1.950079817760306611e+01	1.507255928113309551e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	-2.580851229767295418e+00	6.362469496847119599e-01	8.824981947965222062e+00	4.533755688073912715e+00	-3.845376922707293943e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	-1.641555126276750487e+00	5.696889541920402422e-01	1.803924086139575111e+00	6.362692703375532233e+01	-1.779874825638204427e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	-2.028489670613982554e+00	4.421491951925439201e-01	7.984462425424242227e+00	7.764101729271955854e+00	-5.099656906343422236e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	1.546794057924305399e+01	8.156773966398111142e+00	8.628668244926700481e+00	2.518333600593484434e+01	4.566610439501032914e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	7.814680613837150513e-01	1.524958830934524334e+00	2.636258274058211892e+00	1.939728524726263004e+01	3.078058162182210253e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	1.366687562157141489e+00	5.397619180114996418e+00	4.872474655911181785e+00	2.630851041191895234e+01	7.928060867016715463e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	1.312768540130596406e+00	-4.858041023531852964e+00	8.666607129499117601e-01	2.488902079436277948e+00	8.136737237975761872e+00	-1.678829718755467715e+00
