G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m1	Fc	W	m2	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.357500358115993677e+00	2.592808769422041415e+00	3.371740908595260322e+00	6.991285660844211769e+00	6.234901052232936891e+00	1.845192988982459870e+00	4.617651703360382776e+00	6.862546826925711052e+00	1.280440180540806772e+00	1.424064983355535503e+02	1.257861528040070169e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.471973279296310722e+00	5.868364445248919203e+00	3.211032147048340502e+00	8.143707920546406243e+00	8.219230797152782486e+00	2.573043130146048352e+00	5.244006247497916995e+00	2.568299792932164038e+00	2.722695913695533321e+00	4.154118392225440459e+01	5.247933824244179135e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.648138423596377855e+00	8.827348874964640046e+00	9.203358267885249688e+00	3.275619335500151497e+00	7.787043422693407990e+00	8.342852424051696580e-01	8.648217088318348900e+00	8.879248397364710499e+00	8.406157733092019413e+00	7.113582223062260823e+01	2.145266601772262405e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.434304720904955310e+00	7.608734086078600356e+00	3.267590922465586800e+00	6.689503586856575090e+00	2.317439694105645653e+00	7.392425413135780277e-01	4.119250591269417505e+00	6.476672335962805782e+00	7.884052317078332095e+00	8.336460093288238227e+00	1.175257902500856133e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.373058174547453270e+00	8.219099213568977547e+00	3.460721327475089648e+00	6.101425173062343887e+00	2.430020895926468416e+00	6.702397624081805061e-01	8.824046222812480522e+00	2.500885795984800541e+00	4.160768216901385763e+00	1.181483526344616664e+01	2.391162119621735638e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.473207349880581329e+00	6.894815066466432718e+00	7.892167753894723248e+00	8.385403275506781995e+00	3.357024163268922390e+00	4.158460648642029467e-01	1.897402612881378126e+00	9.642417756236294935e+00	4.365299618270770843e+00	1.385849258005684170e+01	7.256645816784640601e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.601192694247800752e+00	7.289072988508716655e+00	5.126426935466839474e+00	9.127810615963147356e+00	4.248171582493783127e+00	8.360645483626595320e-01	7.944394953279910965e+00	5.658820420705101384e+00	5.792286318678842250e+00	3.353949426960200242e+01	3.730592071142188271e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.789460164839963952e+00	8.651005621965660808e+00	7.921241228607592610e+00	1.164093107900300517e+00	4.622868034333623477e+00	5.724340149657785037e-01	8.532926844279144163e+00	1.584354095469742374e+00	9.280862942769828594e-01	6.720194816103598612e+01	1.558055843168147625e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.385643555755844858e+00	3.207918278877681661e+00	1.530296869813333460e+00	6.980437055236939692e+00	7.038383757697200593e+00	4.494081454031951139e+00	2.620973529977190797e+00	6.630950846844393176e+00	3.118455976990210488e+00	3.911015481106707625e+01	1.850803555815680568e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.494949843457960448e+00	5.405806111296423744e+00	5.345057461674754151e+00	1.402811097729860901e+00	1.494198356835453101e+00	2.875141539132547996e-01	4.916416960076603004e+00	3.307742719585100133e+00	2.900700269981557611e+00	7.876641107483909110e+00	5.976594533504289153e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.224291956056415387e+00	3.067595960053769222e+00	1.219563749142297704e+00	5.948168448427922250e+00	1.260973588842084991e+00	9.910419175931641789e-01	2.438633233223190366e+00	8.274719966402294347e+00	3.255931391738414504e+00	8.004837530596038420e+00	9.915627637614896628e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.743061752210381954e+00	9.905355881031118415e+00	1.560414075074733509e+00	3.582416600697275300e+00	4.489522429984092788e+00	2.884621996066006222e+00	7.286465453463526032e+00	8.445364792858804037e+00	8.216269161014489342e+00	3.363110575271412017e+01	9.215044732105816649e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.565783089715310439e+00	9.529520837028274016e+00	9.191073419462675531e+00	3.793170102451334014e+00	7.383744729537959905e+00	7.889587123700201321e-01	5.830689280303327671e+00	9.838825831493128504e+00	3.587798829057075256e+00	1.187655273156055387e+02	6.204270000157580967e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.927393418871398367e+00	1.312993321154241499e+00	2.252025696387997655e+00	4.110110937449555912e+00	2.764061959436614924e+00	1.215428651475046751e+00	6.637609599119987713e+00	5.531889247405971766e+00	2.658531297048107422e+00	3.822692021591011979e+01	2.122157638751972186e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.609058951623971723e+00	7.407277858561944761e+00	5.762293804177221368e+00	6.574039728630872048e+00	6.824276989463455401e+00	1.183721248115651603e+00	2.785208414782488262e+00	5.070334449775708130e+00	5.519057389870186903e+00	1.739546055475738484e+01	8.239452905706089680e+00
