G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	p	W	m2	Fc	m1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.357500358115993677e+00	2.592808769422041415e+00	3.371740908595260322e+00	6.991285660844211769e+00	-1.185590645154757716e+01	6.197741998112785033e+00	-4.857910603371932368e+00	4.571194752524996296e+00	6.764290486619411347e+00	1.467013345420690618e+00	9.948741178824604958e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.471973279296310722e+00	5.868364445248919203e+00	3.211032147048340502e+00	8.143707920546406243e+00	-1.385645800970634411e+01	8.300990824734173046e+00	-5.719346728437113114e+00	5.277886957683266544e+00	2.593989775058379355e+00	2.711208477498904923e+00	2.567984172646343666e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.648138423596377855e+00	8.827348874964640046e+00	9.203358267885249688e+00	3.275619335500151497e+00	-6.247094032082296522e+00	7.756156988490354287e+00	-3.339057128646098249e+01	8.718860123171872090e+00	8.775113253654245327e+00	8.482543497028405710e+00	3.319391300137951362e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.434304720904955310e+00	7.608734086078600356e+00	3.267590922465586800e+00	6.689503586856575090e+00	-1.132405552299386464e+01	2.402232666918127535e+00	-1.860732689683469498e+00	4.018312740907068026e+00	6.500872463920788213e+00	7.944708861734503635e+00	2.617536623206416380e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.373058174547453270e+00	8.219099213568977547e+00	3.460721327475089648e+00	6.101425173062343887e+00	-1.035873862865438255e+01	2.306818541564230607e+00	-2.214441442837522089e+00	8.913632012259389725e+00	2.419910804931995951e+00	4.130109466338556246e+00	1.088712543741650904e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.473207349880581329e+00	6.894815066466432718e+00	7.892167753894723248e+00	8.385403275506781995e+00	-1.600437128113330587e+01	3.336977463741672700e+00	-5.376670676305851160e+00	1.774426248612055446e+00	9.634567365926683280e+00	4.440596968751117757e+00	9.589751823875883474e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.601192694247800752e+00	7.289072988508716655e+00	5.126426935466839474e+00	9.127810615963147356e+00	-1.649849330916442369e+01	4.227129380632895561e+00	-4.276605499614311690e+00	7.984662002833031735e+00	5.655406745897103349e+00	5.849807416961027684e+00	3.392452895106429764e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.789460164839963952e+00	8.651005621965660808e+00	7.921241228607592610e+00	1.164093107900300517e+00	-2.172029828187808320e+00	4.626806550246552519e+00	-3.453632308720912647e+01	8.555584857930366383e+00	1.580637935160789320e+00	1.069124500367716779e+00	1.585723218708665705e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.385643555755844858e+00	3.207918278877681661e+00	1.530296869813333460e+00	6.980437055236939692e+00	-9.819872578812715247e+00	7.167427748318527136e+00	-2.683770649748848047e+00	2.625723636405730588e+00	6.587781011301732548e+00	3.147653903756248095e+00	2.003117918639862083e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.494949843457960448e+00	5.405806111296423744e+00	5.345057461674754151e+00	1.402811097729860901e+00	-2.688407459009407585e+00	1.538070183003903635e+00	-6.245215805476883375e+00	4.902318312414549517e+00	3.305894661664198431e+00	2.808775993909547353e+00	6.200027703669674928e+00
