G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	m1	m2	Fg	W	p	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.371148243395853505e+00	2.668646117851522614e+00	3.354627198875521632e+00	7.058495520339398865e+00	6.131911266242104475e+00	4.549500287374828034e+00	6.829945960820952955e+00	7.206959363267318786e+00	1.346229980265816195e+00	7.982628779958089726e-02	7.488481429591848482e+00	-3.000351397790030461e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.561111975517363248e+00	5.874210300810489116e+00	3.219620247044574946e+00	8.178285910467007369e+00	8.257631868010268050e+00	5.249838536086436136e+00	2.562044451618440188e+00	1.273304352448142041e+01	2.669431293038293518e+00	2.825261180827120522e-01	7.170714006359277803e+00	-2.601283533485315402e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.585364477249744830e+00	8.850668771869278473e+00	9.160141125529097650e+00	3.251835430244137903e+00	7.844122842913853866e+00	8.694153170902698236e+00	8.849095688247020419e+00	5.380663043455026440e+00	8.476863309604679486e+00	-1.581608408641047014e-01	1.851116216263670733e+00	-4.326292834858940672e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.397003429284578324e+00	7.594731068824657427e+00	3.243996888367696840e+00	6.617700732421536891e+00	2.386895669029795108e+00	4.052849030783360007e+00	6.518881310962625797e+00	3.079379642328955224e+00	7.897870246319715015e+00	7.880444990347599266e-01	9.305987869133010904e+00	-8.958636131892436083e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.396263077866895852e+00	8.258474750386117336e+00	3.441161445110390904e+00	6.132406856002159401e+00	2.342908739007152796e+00	8.826807353929270406e+00	2.417290046674053450e+00	2.989963889304172895e+00	4.162144146206894213e+00	-9.629670941170761500e-01	6.119084656750321649e+00	-1.319989692796833651e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.410398150884621504e+00	6.926326742241668555e+00	7.841658913377901108e+00	8.490164141692817523e+00	3.414459492823562314e+00	1.791499795914855531e+00	9.654859160013124608e+00	8.317717628357620185e+00	4.392345958162179542e+00	-1.005497926497573680e+01	4.270100485716197269e+00	-7.389538845556678837e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526406560353067876e+00	7.230722153534522967e+00	5.054375378583181089e+00	9.154168272841376464e+00	4.246419192752820315e+00	7.994816336432989168e+00	5.672009929347987089e+00	3.626586780949293320e+00	5.803829696029249696e+00	-7.526650980492608944e+00	7.809642306711792159e+00	-1.264081710998032690e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.786297607840326762e+00	8.657429061088553368e+00	7.991253690885628203e+00	1.118067594461311653e+00	4.679458705610151092e+00	8.629180576632826671e+00	1.659551857129155428e+00	7.809746658232547212e+00	1.008478341117485577e+00	1.512847954451639054e-02	3.302673908863581698e+00	-9.861705353349606851e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.424706766327412666e+00	3.253429196007331825e+00	1.581322320894104516e+00	7.069823195390565473e+00	7.110155253413815934e+00	2.643738435477109849e+00	6.649973405484283617e+00	1.294772859845672919e+01	3.170685481096149783e+00	6.767707245697955898e-01	7.245390976487843027e+00	-5.322574235218453076e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.372308190818839257e+00	5.411292248382873815e+00	5.381351724487666743e+00	1.468173731833857687e+00	1.511137395058080424e+00	4.869816673591293110e+00	3.275095342393652409e+00	2.168479927233000648e+00	2.878114650974153310e+00	1.564198004982047530e-01	1.358744011097382964e+00	-2.614456573527909278e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.180511235347150745e+00	2.993307992007356422e+00	1.303114482764994309e+00	5.937561992056496152e+00	1.315113201437969392e+00	2.493388299467628855e+00	8.233780292459133676e+00	2.426200896810734697e+00	3.257999251685009146e+00	-5.055949103256121013e-01	8.554426851272205923e+00	-7.812723630743835201e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.721573079340139145e+00	9.889938253500840659e+00	1.561118716335033296e+00	3.585537665034652210e+00	4.526112929578110844e+00	7.360327145833402085e+00	8.360612746631328918e+00	3.545580125085106893e+00	8.246281114748905239e+00	5.586006323050991540e-01	5.033649715291192983e+00	-2.358980764440676126e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.490792964453152791e+00	9.483204281048660533e+00	9.156053683687670031e+00	3.768598698167433536e+00	7.276493327544531375e+00	5.809158412567721363e+00	9.811961695235961400e+00	6.465955042056428681e+00	3.524932409560472379e+00	-2.976960961965099267e-02	6.732889182901673486e+00	-1.379113793407755573e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.910362434640460627e+00	1.351064026583833400e+00	2.258851264423829885e+00	4.177713203084373106e+00	2.735518343210939118e+00	6.712870424387717527e+00	5.508912996432513864e+00	2.622101360199973197e+00	2.716105591598122704e+00	2.043390998269833392e-01	2.990984934016312380e+00	-2.678372221397757258e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.636980249315863833e+00	7.347503039691585691e+00	5.795834500703461956e+00	6.580249873075485034e+00	6.768279521895500750e+00	2.767560442069706195e+00	5.095214845466590425e+00	1.245460079799000752e+01	5.543271113105157077e+00	-4.616530284524020367e+00	7.083583858272247014e+00	-5.215738859734126542e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.649028825189483349e+00	9.316804543439884512e+00	4.707470043647191460e+00	4.002803567019016739e+00	3.339742625826005007e+00	2.911814997040589326e+00	7.773520800780874040e+00	5.450200455214675443e+00	8.782702133842937187e+00	-4.189571816926302539e+00	7.961975387534988791e+00	-1.212195313690575560e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.741607401032248426e+00	2.618739225695607686e+00	4.120620063758051899e+00	7.589645614420069464e+00	8.978471004618393536e+00	1.376019998350617390e+00	2.194185168353808724e+00	3.431895196797530190e+01	3.175358737435711287e+00	-3.339470869846104528e-01	5.265377151457498073e+00	1.438533688137781219e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.720709907575792563e+00	6.100487368203969751e+00	9.096605125747968756e+00	4.637789337834485437e+00	9.050997204449151567e+00	3.892202699859971471e+00	5.910660238015932322e+00	1.237619886970141359e+01	1.716771302145805755e+00	-2.342814219352532534e-01	6.552631283390573103e+00	-3.923636112214573313e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.877032546332435992e+00	9.239181478533213365e+00	1.200601402443759014e+00	1.618226046737610391e+00	3.678428259203796902e+00	6.036932149859516095e+00	5.906156175797351082e+00	3.693022008895313402e+00	4.206505029528538664e+00	6.506891715635120255e-01	5.105076999681179117e+00	-7.318439864957138496e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.620253869435841043e+00	1.310068732615741860e+00	6.976581312459445350e+00	8.053256940516828166e+00	3.066984999726559025e+00	8.732484280195668802e+00	1.809710834571209404e+00	4.813072032906383413e+00	7.727497138489173523e+00	-3.094130917174886086e+00	9.045552817135368073e+00	-1.903317033908123790e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.493862529436888131e+00	7.282939569023331394e+00	9.679011180491688293e+00	3.571408818694318033e+00	4.700685545287034195e+00	7.002957221279919153e+00	4.758882089352379552e+00	4.670190184493475449e+00	5.959475464874761208e+00	-4.427128934538026583e-01	5.486625180274358193e+00	-2.246473065131550584e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.257359465962405665e+00	3.678448580563762338e+00	6.043835707147670711e+00	4.902012243339338049e+00	3.157487985655059504e+00	4.916771142844758025e+00	8.674189459849324990e+00	3.284162365912585813e+00	8.349380912996879900e+00	-6.486798439433273167e+00	8.564664816316337692e+00	-5.368863681499264118e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.624001564569603762e+00	9.314206236108333314e+00	9.441606774471495100e+00	7.165224744648674537e+00	7.046815875259312634e+00	9.580778802380313763e+00	8.712295720025144519e+00	4.558188536226278842e+00	9.646041366695801145e+00	-2.748333650220627256e+00	8.209484618906055076e+00	-7.328125494366513237e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.298140746715873206e+00	9.728775830610825182e+00	1.473302700123801268e+00	4.002197021909851493e+00	8.439844594316038950e+00	7.477394922152705625e+00	1.894921194398203834e+00	1.342128036628219867e+01	8.134988853296126976e+00	1.983979750225219219e+00	4.685073859306525534e+00	-8.174928116119174248e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.111742039822794403e+00	9.488624665799131108e+00	4.775004788517383858e+00	1.505636869978973058e+00	7.058008185085990149e+00	9.368984208151754700e+00	1.821231918414446316e+00	1.078132451290321114e+01	6.432517577220951743e+00	1.296250605628636032e-01	3.069227052255875332e+00	-5.390911456520087741e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.061448728916912998e+00	5.260868402283175982e+00	3.339633783197498484e+00	4.365772283325933145e+00	8.417069055987452586e+00	5.751048975878013003e+00	3.363354969774063008e+00	1.085945467538686238e+01	5.437188443698037332e+00	5.094606692935199632e-01	4.652197858013664700e+00	-7.176359020402558464e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.802807886777941349e+00	8.753438995063067551e+00	7.577467569005429837e+00	9.498514979365848987e+00	4.572294954011900003e+00	3.328334122888733759e+00	8.887471149379969404e+00	6.501969546018699475e+00	1.355638589161895391e+00	-1.182094679054287001e+00	8.436385012168795328e+00	-4.600365645137333104e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.625764311756420888e+00	8.600055884225406899e+00	9.836703727565740962e+00	6.776277694104872573e+00	2.409517451322531922e+00	1.479386540992227550e+00	2.156834847861537785e+00	8.756817114431743931e+00	9.855544759967125756e+00	-4.754460797942467565e+00	3.045439521053025622e+00	2.536727544339718143e+00
