G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	m1	Fg	d1	m2	W	d2	p
1.000000000000000000e+00	1.000000000000000000e+00	3.917894199670593380e+00	2.860117714953521961e+00	3.570263080355656982e+00	6.579489190644049579e+00	6.629457337918537085e+00	4.299054009467639048e+00	-1.910887627910289410e+01	7.451028074459225436e+00	1.770893450633226784e+00	7.762371342960594056e+00	-8.466162013129568953e-01	1.954490472169242210e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.001607215220209035e+01	5.662179649823387173e+00	2.795422951347211526e+00	8.000432588501235287e+00	8.133233300319291814e+00	5.547003330861564940e+00	-8.540678347714822394e+01	3.922468445516726021e+00	3.046043545628605909e+00	7.331088752708289746e+00	-3.350635651105963175e-01	6.558850250917873836e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.237614246409264318e+00	8.289928473082987637e+00	9.811627599539392008e+00	2.843664392681251929e+00	7.376114916618529804e+00	8.624295698704347757e+00	-2.372356621304456326e+02	8.453166983087784914e+00	7.687357351488033785e+00	1.181096105884374303e+00	-1.095976428034617922e-01	6.352168255612848498e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.382782150731307169e+00	7.370475261089202590e+00	3.099255429140876483e+00	7.090080717100177843e+00	1.722684062140891426e+00	4.594689418674729353e+00	-9.696144973385879950e+01	6.774660486558731876e+00	7.945927402231278691e+00	9.435396753806932324e+00	-1.951311273275949110e-01	3.854089305777078494e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.899541470189034520e+00	7.633226709457400005e+00	3.159920299596496562e+00	6.423215920638990717e+00	2.733831897402873246e+00	8.894969550715138951e+00	-2.131604773380046538e+02	2.192233641820553025e+00	4.910410914455271225e+00	6.024358313141831012e+00	-2.507943171734257626e-01	5.093083200994962567e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.443851245097069302e+00	7.165793724393591191e+00	8.055172301646484456e+00	8.629573104684956419e+00	3.916199565084831136e+00	1.796756814193760876e+00	-3.637453676421713311e+01	9.152672806334560818e+00	4.644375627715852772e+00	3.670272769375760635e+00	-1.390374431400470678e-01	2.992198822821200110e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.042188263213986499e+00	6.800913183237016213e+00	4.790861639269831329e+00	9.725108313335713461e+00	3.905883305583039533e+00	8.284758402889636386e+00	-1.725016448216990455e+02	5.141837251190217728e+00	4.404814923192821752e+00	8.078238684723698881e+00	-1.318872050215227076e-01	2.341228074345258108e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.320451322108537440e+00	7.865558109717447621e+00	7.972902679132214843e+00	1.251879897061118907e+00	4.541708676978281289e+00	8.682954832398364076e+00	-2.172712424433120759e+02	2.522280199002453038e+00	4.302993734525544234e-01	3.594999938724450228e+00	3.671858194928526498e+00	1.141909444022335585e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.756388524039301124e+00	3.660191465674123457e+00	2.552514212841622054e+00	7.162970109755197434e+00	7.142851822743160106e+00	3.154270332252779419e+00	-1.545325158524136633e+01	5.648866595839744598e+00	3.703075310787197427e+00	7.470390614898532178e+00	-3.297061528418455123e-01	8.069471144460838730e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.403225300677375387e+00	5.781824642148714943e+00	5.048733237506521476e+00	1.401586735136168382e+00	2.497571911775601450e+00	5.177717444317385898e+00	-8.817599908049446356e+01	3.555054455422606452e+00	2.576485707930678881e+00	1.656225961244924383e+00	-3.178678654745132892e-01	4.621308172748118892e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.210871354314303039e+00	2.807153417018533048e+00	1.675459980672937998e+00	5.551995977283581851e+00	1.347542926030730115e+00	2.989269760159114053e+00	-1.041403915326006846e+01	7.784327027971879254e+00	3.853291382530047215e+00	8.621318927095851237e+00	-4.656396079682518785e-01	1.268183785068987248e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.539537114425606035e+00	1.028021413413707386e+01	1.241690925631928177e+00	3.202156625718126204e+00	3.992875705078051674e+00	7.752498257646552204e+00	-2.149427097067414820e+02	9.324596839616836164e+00	9.346044575243814378e+00	4.900835824342449243e+00	-1.667592107046187155e-01	6.957857921288177749e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.910575650247771762e+00	9.048090333744509550e+00	8.620574642173769675e+00	3.840631434505819897e+00	6.644456192776605263e+00	6.564398907064711075e+00	-1.548418039544262683e+02	9.661978522859694607e+00	3.389968797825425817e+00	7.682248467692127214e+00	-5.043687598252655224e-01	3.281705579830598367e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.274173448480913073e+00	1.147715867443690252e+00	2.208179761932536511e+00	4.727657691936067330e+00	2.244578975581394076e+00	7.172678351806170305e+00	-2.371959721941467336e+01	5.318813630157293915e+00	2.393683072935922862e+00	3.070868325059661785e+00	-2.930673922892532701e-01	9.136224762299503865e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.564205643769806198e+00	7.576780653207171312e+00	7.274033066410900084e+00	6.900391347770696626e+00	7.462046533302825857e+00	3.727145140185647243e+00	-5.782769685485624933e+01	5.948390382356866901e+00	5.000951826840039693e+00	5.726143369081729162e+00	-1.782454729720967246e-01	1.922443628657431987e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.760336342781593011e+00	9.902354914335861125e+00	5.131446909626260933e+00	4.312098698419836396e+00	3.617958142076415751e+00	2.608808640399770340e+00	-7.006167957244805677e+01	8.258240366024280021e+00	9.195808556989899074e+00	6.644425571047111845e+00	-2.336408235573751713e-01	6.452862490447847676e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.140301844924339392e+00	2.412421139226236910e+00	4.381219304073352916e+00	6.995487618836850885e+00	8.786586386941079851e+00	1.831453575274990975e+00	-1.138103340283379339e+00	2.493723171751739187e+00	2.850235675502629018e+00	5.906994077013564493e+00	-2.771439952079178259e-01	9.498319714125798896e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.015894812036020056e+00	5.779993184457404176e+00	8.808860765410225113e+00	4.923774985878202060e+00	7.467815662148741929e+00	3.141121686214733533e+00	-6.178201660163330899e+01	6.360583559950204524e+00	1.491978158415555589e+00	5.573133211661708053e+00	-9.282706734830964423e-01	7.825696993244058319e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.721543927544609609e+00	9.785978647785837481e+00	9.840572661374382690e-01	1.399072814974585022e+00	3.211160556202714123e+00	6.557283307821112572e+00	-1.852629272322208180e+02	5.326951448101803877e+00	3.615517536793810383e+00	4.814163702107251197e+00	-8.072506203601826913e-01	2.286312473634266098e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.251979361636192500e+00	1.646360806604795002e+00	6.154982749513646212e+00	8.148971413650055950e+00	3.257302144972129554e+00	8.752380745097207537e+00	-2.397641323720550233e+01	2.208733743002504468e+00	7.497819200009566032e+00	8.392905571742357296e+00	-1.137923957809877512e-01	1.690277428398758985e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.974374137574541166e+00	7.359519609453239575e+00	1.066170622952197711e+01	3.870651293326475173e+00	4.893559614936204838e+00	7.516292734171834411e+00	-1.496409651514142638e+02	4.653575665569869457e+00	5.578734069929918604e+00	5.318084844247627174e+00	-2.378806992404181864e-01	2.082956478464301995e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.398112540021170691e+00	4.333215880775744822e+00	6.189996862473743811e+00	4.269003555244973214e+00	3.351864638023011267e+00	5.839976969158400699e+00	-4.453174339286736938e+01	8.875898269884515912e+00	7.292496561483137185e+00	8.783946471490695629e+00	-1.954854611968533107e-01	2.639339294658219046e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.779802372764190732e+00	1.040271525162774324e+01	9.531868162250225041e+00	7.254203490600582782e+00	6.317584690382928692e+00	1.001757714063796811e+01	-2.464725045519341222e+02	8.968968710085023943e+00	9.188364706937719006e+00	7.854684928096884455e+00	-1.066508475836550618e-01	7.864085847757565944e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.677192907944570877e+00	9.943089412919952963e+00	1.582878414417487445e+00	4.120003081208012397e+00	8.530993895315047482e+00	7.246767126592740915e+00	-2.027808163339003897e+02	1.289046519522617507e+00	8.532527207203463249e+00	4.255871028073073603e+00	-1.601123256007028484e-01	1.843964398439349850e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.728176321849058894e+00	9.170243549048086251e+00	5.923247570265504081e+00	2.049869399230928035e+00	6.526255818622566096e+00	8.774605724516405303e+00	-2.595148639012987815e+02	2.139514341524341834e+00	7.154771554816322876e+00	3.463002053331048380e+00	-4.081845694190798235e-01	1.200093319655574930e+02
