G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	Fc	Fg	m2	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	6.168726755396424011e+00	4.284406722571052484e+00	3.969506516155698606e+00	6.961354728705860140e+00	-8.807756641510566809e+00	-3.465749401154980092e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	8.142713016237127732e+00	5.742216019987103515e+00	4.977183838681993322e+00	1.813000477931540289e+00	-9.222070996594545989e+00	-5.219997053776049967e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	7.596082644131248784e+00	8.296162260081180406e+00	2.099032216442501664e+01	9.098056513035194470e+00	-8.014445485310444539e+00	-4.672369541839890417e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	2.280383868036645723e+00	4.026788265284423574e+00	1.022315390237524380e+00	6.735950653094864293e+00	-1.610364789413162967e+00	4.784661319417853775e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	1.711017098202794129e+00	8.874430356776025874e+00	3.078738532630033831e+00	2.316289853591227743e+00	-6.295447687445970608e+00	-1.797504073508751219e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	3.207242008029061786e+00	1.551095983898048258e+00	1.012503089724287042e+00	9.124080050407838982e+00	-2.879385245137115468e-01	-2.513739071319781715e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	3.950230151658970623e+00	7.820775740083433902e+00	3.543806841293990040e+00	5.731239432344680473e+00	-2.238016442267888095e+00	-3.812149933108851201e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	4.599865824935446490e+00	8.846451626193452711e+00	3.671678830120573167e+01	1.744934208163089639e+00	4.528130698344739358e+00	6.425278327177181836e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	6.496380130213753823e+00	3.031790623193193479e+00	2.596749244244015209e+00	6.521689487896213500e+00	-2.931717745370478134e+00	-7.967195582331995318e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	1.562113031448890910e+00	4.293062093503801080e+00	4.494807828712645836e+00	3.329570427156980816e+00	-5.776000497143186863e+00	-2.423569771932205441e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.555334045909417817e+00	2.617571943543568480e+00	1.656352898060207579e+00	6.224351410429409093e+00	1.559733405870137313e+00	2.538938436287387912e+00	9.964871751005202061e-01	8.524769805994662164e+00	-1.300230305316159019e+00	-1.255225165748977219e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.327244847490439028e+00	9.912885195753197820e+00	1.457698896005978018e+00	3.966724956627352139e+00	4.495249708561997792e+00	7.328355505676974246e+00	8.781305238828755577e+00	9.012498141109114513e+00	-2.937380113362906275e+00	-1.679401046972369826e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.295891110047316275e+00	9.525151677548125306e+00	9.477087007477404512e+00	3.521919166899499132e+00	7.410317897446414115e+00	5.847589699076899628e+00	1.102336264735217242e+01	9.850482379812868672e+00	-3.316856373388417545e+00	-1.997660039610865468e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.960001903277911683e+00	1.085415304121849500e+00	2.362983420104185051e+00	4.054025191035004916e+00	2.601277258547491478e+00	6.631018218463211156e+00	4.332311064822591540e+00	5.607646620822462680e+00	2.225139579778436882e+01	8.015203938214654045e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.720998743356403793e+00	7.020074015774738108e+00	6.026992973584919255e+00	6.774448027228070046e+00	6.350143316485924672e+00	2.414390483888535055e+00	3.229227211538455489e+00	4.870550426019522483e+00	-1.282940520967481568e+00	-3.875025332202867645e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.949264061772774781e+00	9.193282224441460926e+00	4.468846752691008284e+00	3.970712747943098808e+00	3.338913866946518816e+00	3.328778732799193563e+00	2.220010473782660476e+00	7.644907340001205753e+00	-1.872758425539940985e+00	-1.751227845693047414e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.972845223363607570e+00	2.643239723644104533e+00	4.185254500263307698e+00	7.335983586446992888e+00	9.160074258692050719e+00	1.691490496127539656e+00	1.268937126334396259e+00	2.155233814045247609e+00	-3.695263855993895952e+00	-2.703422554404964018e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.749039616649934459e+00	5.984234811326317960e+00	8.709753393656328058e+00	4.787095674819876301e+00	8.700515843815880501e+00	3.870082647489426986e+00	7.674336055414874735e+00	6.242565944433531300e+00	-4.895621446023175061e+00	-2.280508907466334279e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.969611161161159529e+00	8.947085490172344890e+00	1.668870825858804530e+00	1.796930096421543332e+00	3.548881403138460122e+00	5.903753231169171833e+00	1.365792683690265541e+01	6.138975882819854846e+00	-5.042425826139504963e+00	-1.175952796609696449e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.710656510892142101e+00	1.385977139551603621e+00	6.418077333808787976e+00	7.963330798246106568e+00	3.002642281913479927e+00	8.554239168229072376e+00	3.145763613154413552e+00	2.330020953607674361e+00	3.015488259211430933e+00	-3.902326630390490436e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.108949178538838787e+00	7.426672413472954482e+00	9.572609113530470282e+00	3.588430114944910265e+00	5.478309194719832576e+00	6.293079027501287115e+00	9.300213572427992403e+00	4.356531675979889329e+00	-6.278227218152057532e+00	-2.427510266285530349e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.213127129983623487e+00	3.709880972404666188e+00	5.784285140534179526e+00	4.738841595751539515e+00	3.225618833034734845e+00	5.015622947967041334e+00	2.720048592571364665e+00	8.319521868622524963e+00	-4.230557163874981264e+00	-4.931377597624942410e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.696542531451764368e+00	9.162967734006612019e+00	9.617675189162653737e+00	6.872548381433608355e+00	6.532476589519306209e+00	9.792130829441466844e+00	8.762923583154957896e+00	9.005137010866231861e+00	-3.328922245099685373e+00	-9.806968959661077179e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.421347536537632905e+00	9.904983872275217038e+00	2.001488864278124336e+00	3.857565543570552258e+00	7.848258824725105498e+00	7.511034604344130727e+00	1.660696836705770352e+01	2.287213032545420077e+00	1.433283603746001234e+01	1.764922423753989733e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.854482832631550338e+00	9.445398969086925334e+00	4.949950517997478094e+00	1.529282088395813810e+00	7.256778633586471905e+00	9.347803967223294208e+00	4.386386490622029299e+01	1.825498423945520310e+00	4.347487516913544070e+00	9.960171854082581433e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.723227333215806567e+00	4.937175057022448854e+00	4.158978953539134160e+00	3.966028832580126728e+00	9.095946015540778973e+00	5.784880059514656558e+00	1.115306877835243959e+01	2.149664260463948651e+00	-1.049966698572895467e+02	-3.295913672539297181e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.733595897171523514e+00	9.046623296913656631e+00	7.196963405449663398e+00	9.385270180800196371e+00	4.496406791013835225e+00	3.096090887267651137e+00	1.304102027953601306e+00	8.670662823384725826e+00	-1.067268297822183687e+00	-4.252210331526829634e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.160509613492538783e+00	8.699275598440278756e+00	9.472439541866600976e+00	6.799382453547738514e+00	2.314031411884905243e+00	1.338407675078475911e+00	8.672270761554561336e-01	2.251373845464061496e+00	-1.660755587863345539e+00	5.296692757945296037e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.110030086504075086e+00	3.838722732518529135e+00	3.062197281604417398e+00	7.366669470227227734e+00	7.758878754787671639e+00	7.489137010010131768e+00	7.970845140176923138e+00	7.235340801274453781e+00	-1.257936222066264520e+01	-6.652529543864184802e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.735736829747009047e+00	8.023238864933468051e+00	6.921044957894440408e+00	6.605930391347566655e+00	4.026856602625218606e+00	2.282831648572328120e+00	2.620107229454444742e-01	1.960842854166113369e+00	-4.292179139839114033e-02	-8.359974427258008234e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.896758700044416379e+00	1.125880022890584975e+00	2.499363314510596901e+00	2.453702391493826518e+00	6.348543546253421432e+00	4.103209439278695747e+00	9.181281588068733512e+00	7.124626835595141650e+00	3.494127303774053672e+01	2.149565492763587571e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.547021054410883778e+00	6.927908682123518957e+00	5.880451299945217869e+00	4.708256361931584699e+00	3.718291734506793400e+00	5.729380849728841874e+00	4.068918540008401585e+00	4.592498097628270770e+00	-3.481661140701318935e+00	-7.997495000237823604e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.401486985914752958e+00	2.650522449540299696e+00	5.346697070116145589e+00	7.605105572495441280e+00	1.564068154573856395e+00	5.793155192942867515e+00	1.291504265143366803e+00	8.320235444866245444e+00	-3.054919350647226306e+00	-1.662123863033204145e+02
