G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	p	Fc	Fg	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	6.155409693265429638e+00	2.360014038091249322e+00	4.522314055692651102e+00	8.305927282848971638e-01	7.027008234244541462e+00	2.520032328008431932e+01	3.023301517274241235e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	8.010579521038309281e+00	1.602116932178161646e+00	5.235062822299270557e+00	-6.418318229634339955e-02	2.369196379271700348e+00	6.798710159228292804e-01	2.314677999427455557e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	7.875931938324740145e+00	9.564428128718256428e-01	9.206367075409827905e+00	-1.236483310525714430e+01	8.830221822724979575e+00	-8.618135240981595757e+01	-2.613837602088496226e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	2.071857699709672485e+00	5.666144422109385737e+00	3.806102907922362277e+00	2.848865793167668858e+00	6.899355182333007264e+00	6.925679056828501601e+00	-1.164114055992371277e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	2.138907077366533738e+00	5.194925375359904507e+00	8.186532768879841271e+00	5.382226232543208866e+00	2.031690353464461030e+00	-9.468427940131038056e+00	1.448374819375849221e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	3.621612912603506818e+00	4.702047689120847807e+00	1.880287731076332181e+00	9.893317499254515868e-01	9.493753614353435566e+00	-2.285801577029085507e+01	2.511783480939509516e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	4.131589023327840948e+00	4.342293327184493457e+00	8.320632854076258411e+00	4.222149558346983689e+00	5.858391534051563099e+00	-1.073368409201254359e+01	1.751999112331198205e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	4.925910584630344147e+00	5.200755911544574506e-01	8.688248328077142091e+00	-2.772050582221511306e+01	2.008129904330194559e+00	2.684466438644650665e+01	1.262485342696025725e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	7.075467683919309358e+00	1.924189256537685910e+00	2.774117844038429315e+00	8.138479491009698030e-02	6.807128697175375720e+00	-1.561111002984332252e-01	-2.352985198409028311e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.137323856322220994e+00	1.968300917953972107e+00	5.079507081130344659e+00	-4.307129961883912062e-01	3.113775830250334220e+00	1.318797923675006167e+01	2.886091572407444961e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.532084216383831299e+00	3.283383521335048183e+00	1.553598327027576387e+00	5.988512351030881753e+00	1.630255579430110346e+00	9.203622505889921257e+00	2.519921877868721793e+00	2.039558875479360101e+00	8.379172758093508477e+00	2.809469677293188639e+01	-2.795912818580807979e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.625111365120737617e+00	1.027750202429465709e+01	1.531495345311459477e+00	3.558025378258921734e+00	4.168969436956037278e+00	1.919876241409239848e+00	7.512037359079792864e+00	-1.984448755117700802e+00	8.473081726082208220e+00	-3.644465552225820137e-02	-1.332953896192447529e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.804813728117418137e+00	9.250849097205907867e+00	9.295644825670940747e+00	3.790058239639721105e+00	7.110577969524694453e+00	1.054518609129480256e+00	5.966150321170982984e+00	-5.479801791890841933e+00	9.905945853758174380e+00	-2.252058786926599510e+02	-5.970926041288705477e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.018653258075672863e+00	1.228847758221596420e+00	2.111652366810796266e+00	4.090887737194320195e+00	2.686530565219201971e+00	3.094196165297927070e+00	6.180647212106184618e+00	2.494355157196541661e+00	5.490422809844004881e+00	1.307474597024724616e+01	4.513319202332983338e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.866973848110053513e+00	7.538050792802163613e+00	5.362582334279530905e+00	6.242337517320528661e+00	7.047475134809385366e+00	1.831360497036322643e+00	2.799617416044436702e+00	-5.338076780846494340e-02	5.109025787705923527e+00	-1.348551822649544008e+01	-5.522511935268838101e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.424201572952315420e+00	9.290509128127169447e+00	4.700327364338654057e+00	4.423901318327017940e+00	3.195066469951407306e+00	2.330233218438868992e+00	2.474284242211235885e+00	5.327813024708791811e-01	7.534450490693219038e+00	-2.459649725012535981e+01	-3.144071341485223492e+00
