G	c	dx1dt	d2x1dt2	d2	m1	Fc	W	Fg	d1	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	1.500265722882980546e+00	3.362529227269506205e+00	7.046510438920880581e+00	6.147171189268908265e+00	1.139776378493280173e+00	5.414578282429313383e+00	-1.866300823814888599e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	6.790304436365336427e-01	3.228111660505414982e+00	8.172540729210112431e+00	8.250783216010281862e+00	8.062469519265551554e-01	1.023421992921222134e+01	-1.309208140452198688e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	4.521481149903013863e-01	9.146384317726019120e+00	3.256439049751909121e+00	7.836066770122211977e+00	7.979772814162403027e-02	9.817488123390714350e+01	-6.684058982419097128e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	5.278583885810739229e-01	3.251896550426094379e+00	6.618770731215303904e+00	2.384297388754851088e+00	4.797724908888713613e-01	4.990698134245447726e+00	-4.044660831006953727e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	4.837036344705137880e-01	3.437395880821720429e+00	6.151782065343351036e+00	2.342160946640210017e+00	3.952036625485393362e-01	5.897507485654888804e+00	-1.149071240295887197e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	5.784697005362512412e-01	7.839543450901332200e+00	8.499834268303112950e+00	3.414576053223223884e+00	2.969619442013453070e-01	1.150212569904232929e+01	-1.042836479572130520e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.515117139959057058e-01	5.045627802004317708e+00	9.160066038077991024e+00	4.251485068991349259e+00	4.708242264579581282e-01	9.006638486014901801e+00	-9.983280669401514706e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	4.612894259856082368e-01	7.994274154151257861e+00	1.109458890075406545e+00	4.679149586395445759e+00	3.264685505659368353e-02	1.460546999019295811e+02	-3.354957349817624945e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.232041210339062332e+00	1.580938104534566291e+00	7.058516506795751155e+00	7.118569377168422641e+00	1.859119687193757198e+00	3.813028207559339133e+00	-3.668320445599400514e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	7.401054208941589829e-01	5.394607519556850583e+00	1.471815779731958429e+00	1.503529037988676320e+00	9.608682755628362993e-02	1.575785468752177998e+01	-1.329547512247827301e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.336665417690047208e+00	1.294433319944462868e+00	5.938264368110973024e+00	1.306942558566245971e+00	7.418286834770411176e-01	1.787302914460423109e+00	-2.944680832919793767e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	4.053156686431776401e-01	1.560187854915422667e+00	3.581171158319891745e+00	4.524218816162919765e+00	4.451633546582827172e-01	1.016665341303923142e+01	-4.408016664820758046e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	4.217481688604381440e-01	9.152425949266524086e+00	3.768308496684009690e+00	7.272935880199651315e+00	8.618071421580103531e-02	8.451261827083003197e+01	-7.761788520428510030e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.953251173509276573e+00	2.243521790349620737e+00	4.187991411088814786e+00	2.746641602818129080e+00	6.935231012898915859e-01	3.950534671411269461e+00	-1.489801740601649716e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	5.440789338075162629e-01	5.792308088288672607e+00	6.591408748392055372e+00	6.767205861924116661e+00	3.023483295753342515e-01	2.236681879862790012e+01	-1.072797086671019307e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	4.294666772875072036e-01	4.709833014749815305e+00	4.018137823408485687e+00	3.336506418852827061e+00	1.781034676351495039e-01	1.869797278637498295e+01	-5.043828384418350824e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	1.523251279817022796e+00	4.140815661314469764e+00	7.594785780908251738e+00	8.979965973087940867e+00	1.132908354098503878e+00	7.932193287662808068e+00	-1.613451701660802540e+00
