G	c	dx1dt	d2x1dt2	d2	m1	Fc	W	Fg	d1	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.324050220040057901e+00	2.501870559031354357e+00	1.492626096136273617e+00	3.334793027915063046e+00	7.012022716663444122e+00	6.121196030612463090e+00	1.136966845693966999e+00	5.621998097812766382e+00	-1.869547675226137962e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625449068596536151e+00	5.848007422691523516e+00	6.675767850525743397e-01	3.309248141261048382e+00	8.177885231858669002e+00	8.322233056565423226e+00	8.011948691813721712e-01	1.031206887705067210e+01	-1.319986428512097243e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.523763487896014013e+00	8.808303850404261226e+00	4.512237061158787532e-01	9.186598378977404167e+00	3.312437080485556518e+00	7.926406701291511148e+00	7.991119661373630167e-02	9.855866144886347513e+01	-6.104038966767787872e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.432961751031650799e+00	7.609440076078068493e+00	5.445131892369646787e-01	3.224155497018159178e+00	6.640880560582893999e+00	2.322619074368805325e+00	4.839421763432356638e-01	4.886493487069770936e+00	-4.020224410216328148e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.448581572108500026e+00	8.441840257590818908e+00	4.851562014499364861e-01	3.511601371881222011e+00	6.085562300723884377e+00	2.356848223511817331e+00	3.928637420221832710e-01	5.851337515793062494e+00	-1.045290253886637794e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.351225728805578896e+00	6.967723468256636465e+00	5.738952235136436375e-01	7.859177617704199648e+00	8.476832653388486349e+00	3.390096025695887416e+00	2.970771200257334432e-01	1.153751834440037527e+01	-1.046711463028450334e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.630098817426910429e+00	7.382694804827872659e+00	5.609096216206064245e-01	4.996165900213232369e+00	9.124927291233786875e+00	4.211705598995413524e+00	4.676928877972559295e-01	9.132427448775217727e+00	-1.025129813333114509e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.808116346725885393e+00	8.674402403990455923e+00	4.611991582914403143e-01	8.093031614259780682e+00	1.112276752166137195e+00	4.691615299813388873e+00	3.302445008433819301e-02	1.460557787323278944e+02	-2.154560709190681683e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.445425798464731848e+00	3.211970527578249968e+00	1.250968169900953164e+00	1.602622936417902322e+00	7.138201613894915809e+00	7.179422606519739958e+00	1.856090214198964805e+00	3.530241130782242553e+00	-3.654117186194380640e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.290000704059817593e+00	5.424179783292874646e+00	7.400395773416639233e-01	5.389178600223284654e+00	1.458462605300872239e+00	1.534725709617688283e+00	9.245691559315954988e-02	1.580670488865647272e+01	-1.308487130945295840e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.299878541123292486e+00	3.089944678570707204e+00	1.344546536467288389e+00	1.255282867199901231e+00	5.934955835988318107e+00	1.294650663308959615e+00	7.390143700820454020e-01	1.680586855462053553e+00	-3.001392896743603211e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.662911864759962555e+00	9.990793486712510330e+00	3.967873514358259968e-01	1.629008822859039141e+00	3.684925147852683658e+00	4.555239290244405659e+00	4.480177863779587488e-01	1.002409017432797711e+01	-4.319676370359977757e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.547453790434571985e+00	9.464527146148121517e+00	4.263411647575430230e-01	9.186499226574969867e+00	3.808421719868377853e+00	7.254865515361439421e+00	8.559896635202718373e-02	8.453578274426442363e+01	-7.897806274385384129e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.857211880980678576e+00	1.368926303316420512e+00	2.955183086024327554e+00	2.287952679640952613e+00	4.207703705073153166e+00	2.763365741262062247e+00	6.911509740721735184e-01	3.730288923730370243e+00	-1.484641272226352671e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.602923113438775804e+00	7.270664207451181582e+00	5.436278761079342825e-01	5.763762027779704589e+00	6.697633055747655106e+00	6.849605089188623985e+00	3.034065450437458122e-01	2.215270541972130758e+01	-1.104456211720238196e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.693330395946694100e+00	9.373112459983858002e+00	4.237303723324125082e-01	4.745916547032149602e+00	4.032965012119855253e+00	3.225311435493467105e+00	1.766221874422374272e-01	1.808406836234560799e+01	-3.830552743734244592e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.793794517795652244e+00	2.711593651203589417e+00	1.517193982016027398e+00	4.176437109285558336e+00	7.486753287788093125e+00	9.018200897357822043e+00	1.137963085096148630e+00	8.330680461933386738e+00	-1.618356021176738269e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.654002048424889182e+00	6.113721175618718640e+00	6.573849250898093910e-01	9.061572506112730352e+00	4.685821793550202230e+00	8.977377980221806553e+00	1.602905529736177170e-01	5.506966165389703605e+01	-1.506138891321682494e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.946524893129399914e+00	9.202267065628840115e+00	4.393481636523500211e-01	1.118169312201789278e+00	1.528997405340568161e+00	3.742491210472820740e+00	2.816169619157087300e-01	1.298340802058879540e+01	-1.533319876506862578e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.677619833176506425e+00	1.325548455710814810e+00	3.062629852371597572e+00	7.006208574454947602e+00	8.078307327564626661e+00	3.035245336900756374e+00	6.329886237273053551e-01	4.643921233451178132e+00	-1.776495872904195750e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.455911113425622183e+00	7.300006306092438280e+00	5.526255485377220555e-01	9.583675174006533126e+00	3.479053546426769117e+00	4.635409824430692716e+00	9.867231923363822821e-02	4.619611369955990199e+01	-9.298647125004352865e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.341968497265206839e+00	3.680655227744447977e+00	1.087710547711067566e+00	6.049907431530391122e+00	4.869629283920298590e+00	3.202655222585879979e+00	3.747845173925273832e-01	8.098280567670654406e+00	-2.289724007758135171e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.550452203761682135e+00	9.329507960709305436e+00	4.302101687938546526e-01	9.406706843806388108e+00	7.149301927656358302e+00	7.071290743618089181e+00	1.650737380925278996e-01	4.382352906927209091e+01	-5.559081116515533771e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.263441967398248877e+00	9.729854619157896067e+00	4.086518058947308796e-01	1.537611356317793776e+00	3.950415971468228093e+00	8.380156969940980360e+00	5.464616356659905971e-01	1.575796179863982616e+01	-2.350591638365867042e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.130554962037783717e+00	9.553804923821877182e+00	4.213070690354820957e-01	4.747448399275377540e+00	1.490386241697370995e+00	6.989578936000942377e+00	7.010606707101232904e-02	1.064872875751371026e+02	-3.652899503606716475e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.020386005323471679e+00	5.308885429422792512e+00	7.868498138944126641e-01	3.402559875055066740e+00	4.421185862468447247e+00	8.408942011048374354e+00	4.748897034900732561e-01	1.777064736344923901e+01	-7.258548052096864822e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.811342744064965871e+00	8.703692300775923485e+00	4.598860088272501145e-01	7.548995826322316915e+00	9.461388288472170061e+00	4.507343471116029399e+00	2.741453306487924291e-01	1.673300962756357180e+01	-8.174352465955218860e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.641157732261509850e+00	8.544723860787096115e+00	4.716515256786972254e-01	9.886889828680535786e+00	6.805120102429710549e+00	2.349034860159257221e+00	1.516280249722209150e-01	1.540773629906719577e+01	-9.431653777807749717e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.321606082489852341e+00	3.857753015001637031e+00	1.037554158707292951e+00	3.422535440481097258e+00	6.991038099670676687e+00	7.647856334219419239e+00	9.645413305129438841e-01	8.235335879739222875e+00	-1.586812489137756410e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.463105799099039261e+00	8.501230666811782299e+00	4.701173846248817290e-01	6.828597568790089944e+00	6.680281056491842229e+00	4.191660025271207957e+00	2.307462795883962470e-01	1.886579744720646090e+01	-3.969703223654092589e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.455544078312374090e+00	1.341305374528941829e+00	3.013802829999043364e+00	2.799003884911644757e+00	2.808459885275706114e+00	7.064670802914041481e+00	9.173876382856939182e-01	7.475354806273735164e+00	-4.450017821190240142e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.547248828059612169e+00	6.330649451000815553e+00	6.253239049284703421e-01	6.239750476461358275e+00	4.711058955542898552e+00	3.516962825349303046e+00	2.328454038052540365e-01	1.436765654481131627e+01	-8.835544796332597817e-02
