G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	d2	d1	Fg	Fc	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.536529394589734920e+00	1.563001033523751460e+01	6.836954947400884386e+00	1.146814159794431021e+00	-4.496604158132856632e+00	1.186250838527928977e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	5.267902003112375553e+00	1.565052365242790700e+01	2.562938550123859738e+00	1.654108911107055047e+00	-5.113214905960773393e+01	1.508468827938443155e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	8.682367161394417110e+00	1.084006995638590354e+01	8.856384025446107700e+00	1.377943079672547144e+00	-9.222403442469436996e+00	1.797399291835658914e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	4.071655492226863515e+00	3.381980267347911706e+01	6.517564152314371917e+00	1.057650371286249280e+00	-2.464289470458646658e+00	2.912574111883102432e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	8.824590911085904210e+00	6.948240666922312414e+01	2.414852346363961288e+00	1.186866051969287961e+00	-2.764996143779191229e+00	3.934911508320445250e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.794008761114281647e+00	1.332012424382135052e+01	9.658187400239281573e+00	1.042131349777231097e+00	-8.846395049564461655e-01	9.831050546950338287e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	7.980805892493511244e+00	5.161588713600909983e+01	5.660121402796109535e+00	1.091097934697671468e+00	-1.240843547621158782e+00	2.411628312012276467e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	8.627587810329838902e+00	6.119444687211043288e+00	1.653079227570352083e+00	-6.477372009519554164e-01	1.608571866050316146e+01	1.026007003644155304e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.637612374445747587e+00	7.833032927060398443e+00	6.637295819854966972e+00	1.177721133054289160e+00	-8.084362587037135839e+00	3.989485410444366664e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.872646089153040094e+00	1.420515509827636258e+01	3.282344339975056258e+00	1.458871650879537185e+00	-4.936299553817291574e+00	1.770276209023079446e+02
