G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m1	m2	Fc	Fg	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.371148243395853505e+00	2.668646117851522614e+00	3.354627198875521632e+00	7.058495520339398865e+00	6.131911266242104475e+00	2.690861948926445635e+01	4.538315803851681984e+00	6.830679134558123700e+00	1.346229980265816195e+00	2.017044734710080611e+00	7.488481429591848482e+00	9.545337928894005453e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.561111975517363248e+00	5.874210300810489116e+00	3.219620247044574946e+00	8.178285910467007369e+00	8.257631868010268050e+00	7.876990998462953542e+01	5.271578258849096699e+00	2.548421950386446255e+00	2.669431293038293518e+00	1.286660093278067629e+00	7.170714006359277803e+00	1.249848445857451695e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.585364477249744830e+00	8.850668771869278473e+00	9.160141125529097650e+00	3.251835430244137903e+00	7.844122842913853866e+00	5.951796004580067745e+01	8.688450214053007770e+00	8.851465730919199970e+00	8.476863309604679486e+00	8.639042712346851616e+00	1.851116216263670733e+00	5.540910611620998294e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.397003429284578324e+00	7.594731068824657427e+00	3.243996888367696840e+00	6.617700732421536891e+00	2.386895669029795108e+00	1.519689001852119148e+01	4.060881754813413735e+00	6.516571373037192139e+00	7.897870246319715015e+00	1.269017200431337677e+01	9.305987869133010904e+00	7.342203072911773765e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.396263077866895852e+00	8.258474750386117336e+00	3.441161445110390904e+00	6.132406856002159401e+00	2.342908739007152796e+00	5.633339026722842036e+00	8.829323198436366482e+00	2.406722999333236857e+00	4.162144146206894213e+00	1.131893039573263149e+00	6.119084656750321649e+00	8.013346658550544177e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.410398150884621504e+00	6.926326742241668555e+00	7.841658913377901108e+00	8.490164141692817523e+00	3.414459492823562314e+00	8.196789440812034755e+00	1.786973776487172261e+00	9.658867572740764018e+00	4.392345958162179542e+00	2.367094664077492894e+01	4.270100485716197269e+00	6.443852016879582090e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.526406560353067876e+00	7.230722153534522967e+00	5.054375378583181089e+00	9.154168272841376464e+00	4.246419192752820315e+00	6.490863953441485812e+00	7.997964016844015589e+00	5.664747636229076733e+00	5.803829696029249696e+00	4.118792614512818417e+00	7.809642306711792159e+00	9.127079608769156138e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.786297607840326762e+00	8.657429061088553368e+00	7.991253690885628203e+00	1.118067594461311653e+00	4.679458705610151092e+00	4.113581940598878361e+01	8.631424049993645653e+00	1.652669356239154119e+00	1.008478341117485577e+00	1.855424682222000521e-01	3.302673908863581698e+00	3.927965975677140342e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.424706766327412666e+00	3.253429196007331825e+00	1.581322320894104516e+00	7.069823195390565473e+00	7.110155253413815934e+00	4.566195434725860736e+01	2.644908455825752291e+00	6.645232047263146313e+00	3.170685481096149783e+00	7.989093132555112220e+00	7.245390976487843027e+00	1.796938564693973395e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.372308190818839257e+00	5.411292248382873815e+00	5.381351724487666743e+00	1.468173731833857687e+00	1.511137395058080424e+00	1.111573347994898597e+01	4.869392455918998053e+00	3.283791539172022045e+00	2.878114650974153310e+00	1.952370793473150679e+00	1.358744011097382964e+00	3.653880950647764858e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.180511235347150745e+00	2.993307992007356422e+00	1.303114482764994309e+00	5.937561992056496152e+00	1.315113201437969392e+00	1.576198440686307878e+00	2.490041791980077690e+00	8.232814663633547525e+00	3.257999251685009146e+00	1.075341240991256875e+01	8.554426851272205923e+00	7.089443225545035698e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.721573079340139145e+00	9.889938253500840659e+00	1.561118716335033296e+00	3.585537665034652210e+00	4.526112929578110844e+00	4.405075559088071202e+01	7.359653072771779492e+00	8.361652755410375448e+00	8.246281114748905239e+00	9.379634438782749939e+00	5.033649715291192983e+00	1.791152242455488208e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.490792964453152791e+00	9.483204281048660533e+00	9.156053683687670031e+00	3.768598698167433536e+00	7.276493327544531375e+00	6.172611365136713601e+01	5.819577649886181980e+00	9.798770531771715753e+00	3.524932409560472379e+00	5.928049064404334878e+00	6.732889182901673486e+00	1.073518245622195666e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.910362434640460627e+00	1.351064026583833400e+00	2.258851264423829885e+00	4.177713203084373106e+00	2.735518343210939118e+00	7.951657090899768576e+00	6.709929841072979073e+00	5.514535073750083782e+00	2.716105591598122704e+00	2.242033888234647776e+00	2.990984934016312380e+00	7.027512873756435186e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.636980249315863833e+00	7.347503039691585691e+00	5.795834500703461956e+00	6.580249873075485034e+00	6.768279521895500750e+00	1.785347526359339909e+01	2.768990768368679856e+00	5.100077928493708335e+00	5.543271113105157077e+00	1.020169197866220934e+01	7.083583858272247014e+00	2.120829764527335293e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.649028825189483349e+00	9.316804543439884512e+00	4.707470043647191460e+00	4.002803567019016739e+00	3.339742625826005007e+00	8.882093003378445317e+00	2.897886921644088343e+00	7.778977048332629707e+00	8.782702133842937187e+00	2.353821682320174702e+01	7.961975387534988791e+00	1.314245055990024058e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.741607401032248426e+00	2.618739225695607686e+00	4.120620063758051899e+00	7.589645614420069464e+00	8.978471004618393536e+00	3.356310618237757382e+01	1.375441815358995123e+00	2.188225369007205767e+00	3.175358737435711287e+00	5.071535270165854925e+00	5.265377151457498073e+00	9.118893754403621932e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.720709907575792563e+00	6.100487368203969751e+00	9.096605125747968756e+00	4.637789337834485437e+00	9.050997204449151567e+00	5.182086727219792266e+01	3.886929666888990997e+00	5.934629745648988042e+00	1.716771302145805755e+00	2.609454299884768957e+00	6.552631283390573103e+00	1.719883910346003741e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.877032546332435992e+00	9.239181478533213365e+00	1.200601402443759014e+00	1.618226046737610391e+00	3.678428259203796902e+00	1.796027020608137192e+01	6.027543810595947349e+00	5.926123778905409978e+00	4.206505029528538664e+00	4.123485856431625685e+00	5.105076999681179117e+00	3.168645506251729360e-01
