G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m1	m2	Fc	Fg	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.277499528446201182e+00	2.655765226917488064e+00	3.431500875962141706e+00	7.091388271337232929e+00	6.187046413417260915e+00	2.706652815093057285e+01	4.493272752071573173e+00	6.821922877985904243e+00	1.401038316019264984e+00	2.011935412455160499e+00	7.404672076453849172e+00	9.468489017432026866e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.425220054706203499e+00	5.932490778932617559e+00	3.095029118928811496e+00	8.156929187707664397e+00	8.194842545667579969e+00	7.932863517076991400e+01	5.314222009568568161e+00	2.637266653727876164e+00	2.612003553410115586e+00	1.300100808363789717e+00	7.151304511967071953e+00	1.268000871939558571e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.510141060580423300e+00	8.859552197237716697e+00	9.087879837890804779e+00	3.238890067944475426e+00	7.806969351422588410e+00	5.884170634189975857e+01	8.634325708966606783e+00	8.886941874317171752e+00	8.453162508228572847e+00	8.736625258748855316e+00	1.865278713832728030e+00	5.671913692148006225e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.361917865023468899e+00	7.545929137464372438e+00	3.205857780224382836e+00	6.623376650450167880e+00	2.436496543289440098e+00	1.521280713254019545e+01	4.087708701270320155e+00	6.503821536378128876e+00	7.951913379051558373e+00	1.271447950701852214e+01	9.230488989373661468e+00	7.718394210183013859e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.435361928497621342e+00	8.185705158889277300e+00	3.388005098216079425e+00	6.098607930769547103e+00	2.424154222671404124e+00	5.345201990573005268e+00	8.858436036892294752e+00	2.437426108675735392e+00	4.188695458903978874e+00	1.176411828982704799e+00	6.082907410410681948e+00	8.044100980718729588e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.277181042301050340e+00	6.977206877896204418e+00	7.917960172336392155e+00	8.579556491569666932e+00	3.411661140703674544e+00	7.763139352668827264e+00	1.796225955491825177e+00	9.623765706658392816e+00	4.446629009560892243e+00	2.364582429991286361e+01	4.401787110214051779e+00	6.312698062559667367e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.608962585316846106e+00	7.263840824063562351e+00	5.117103120152721729e+00	9.225059650248113030e+00	4.097850364326715678e+00	6.135411309172241978e+00	7.964011539259309380e+00	5.725871759800668315e+00	5.847307908529565168e+00	4.172778861129983419e+00	7.748110425046714766e+00	9.128565008179494455e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.804816870383572081e+00	8.701761457802819066e+00	8.023084943491008758e+00	1.197005135022887190e+00	4.665258119274803938e+00	4.124186362503707670e+01	8.635671614717342237e+00	1.716644963371174004e+00	9.839495559716436857e-01	2.150556855649348731e-01	3.295645812975754652e+00	3.922989771396916847e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.483658478056829821e+00	3.193150343140698677e+00	1.553078101917961806e+00	7.103175210479521162e+00	7.119041183744788448e+00	4.574232250840428549e+01	2.651007548585643026e+00	6.648073155247787192e+00	3.288665145398093514e+00	7.992166226839334087e+00	7.196747294385555271e+00	1.169634791773076360e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.324701761666847943e+00	5.507099778021335545e+00	5.461857651895617671e+00	1.464926428964207883e+00	1.497444845439213079e+00	1.156756473130245233e+01	4.971317934731259491e+00	3.291340066327582026e+00	2.881399102019428504e+00	1.877995851809880712e+00	1.351115051631474939e+00	3.340232485709134225e-01
