G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m1	m2	Fc	Fg	W	p
1.000000000000000000e+00	1.000000000000000000e+00	3.981976142208585756e+00	2.497397483010381336e+00	3.113434985953923206e+00	7.211396641650365424e+00	6.379630689092919305e+00	2.898846419146574149e+01	4.931226834093400235e+00	7.228686867935834925e+00	1.141843591097420951e+00	2.068435509446582277e+00	7.447932064060278634e+00	1.233015091768948412e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.797315832349330122e+00	5.754607470307798067e+00	3.100108736986941338e+00	8.340752394986088447e+00	7.840961942425487052e+00	8.051064801430528917e+01	5.380346711899807843e+00	2.776014747741990973e+00	2.296107287238439376e+00	9.038582715927980793e-01	7.567868470785132473e+00	1.058175189425343277e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.778035869979146533e+00	8.650684702963170380e+00	9.412725387700339397e+00	2.858403589835201597e+00	7.567516277733031593e+00	5.891380898866984239e+01	7.968000729548434968e+00	8.896921634280680280e+00	8.660227740102596883e+00	8.552036243454445241e+00	1.344886913260771255e+00	6.021375180895403023e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.138590601194753305e+00	7.363997258807949642e+00	3.277083738595444551e+00	7.092582113844516201e+00	2.570851323071614125e+00	1.705862035301344193e+01	3.845100513968046307e+00	6.471169646843365264e+00	7.546905842027664235e+00	1.221728594161909065e+01	9.438574213988088601e+00	7.274111169971257951e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.606488036566102728e+00	7.583360625402582933e+00	3.228982266471424278e+00	6.076492013036455475e+00	1.879648940989756101e+00	5.794201780886828246e+00	8.638785575321467292e+00	2.550373473106791078e+00	4.398016728828931576e+00	9.043758040860419012e-01	6.258100712548391620e+00	7.979135157578958193e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.836770901198951478e+00	6.953237034778015691e+00	7.947543503460601677e+00	8.683743418360341693e+00	3.634652166976417131e+00	6.952873910028747773e+00	1.686192254292790960e+00	9.516332795164293756e+00	4.516255446553586239e+00	2.410727638550802610e+01	4.463307137958208770e+00	5.108777036771348090e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.917271634467541119e+00	7.249312431800464473e+00	5.272001818007001184e+00	9.350645826761205370e+00	4.372179343143410613e+00	5.763756883292789013e+00	8.089818758112867769e+00	5.800868715285028010e+00	5.781852571653840478e+00	4.045432727789208371e+00	7.672103208794314178e+00	9.033725748528544486e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.229727731249131040e+00	8.420973180863780883e+00	7.983834021336429387e+00	4.355709938441203466e-01	4.878160138523202072e+00	4.316944693570833635e+01	8.765448788393959134e+00	1.466249869542378903e+00	1.253218727054828063e+00	4.160013849272550246e-01	3.419010857530867753e+00	3.865952809589007000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.560358954275859134e+00	3.347255771237423350e+00	1.523482017838779790e+00	6.888369051898290074e+00	6.989465135497464843e+00	4.871671601320500145e+01	1.915656795665558132e+00	6.545233559635541987e+00	3.999960986084710513e+00	8.032135803324768730e+00	7.471779713300320758e+00	2.484777558747766624e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.324575708277617281e+00	5.793385378214922277e+00	5.668606386725871360e+00	1.693983786227002852e+00	1.648977060189060762e+00	1.160880992304397274e+01	4.808129616500882442e+00	2.999265600894306161e+00	3.001617514355299665e+00	1.789313305874194571e+00	7.327018047920083044e-01	4.896746493669655864e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.076343122312520828e+00	2.997443894126642583e+00	1.253052475427164358e+00	5.956577786717837775e+00	9.927848738962627984e-01	7.133537111039187639e-01	2.356217767237406058e+00	8.113630369218197913e+00	2.955215538595187041e+00	1.038418744862005028e+01	8.469644972209732003e+00	4.580028760063743487e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.724483509331390607e+00	1.025903363041996919e+01	2.007872484962405224e+00	3.775177043864006432e+00	4.414305728640218085e+00	4.386032999437378521e+01	7.738268429338879706e+00	8.174432273161230000e+00	8.650819728662543895e+00	9.225513410082465171e+00	4.790615713156959110e+00	7.396178762790639460e-03
1.000000000000000000e+00	1.000000000000000000e+00	8.254918330133444115e+00	1.011908788272410398e+01	8.948767292278407837e+00	3.785990143713539258e+00	7.284370045727297516e+00	6.064185357924819186e+01	5.980587947023471074e+00	1.027070853753782664e+01	3.566768897030439867e+00	5.999225359178232964e+00	6.908301122967820618e+00	1.153910812447354273e+00
