G	c	dx1dt	d2x1dt2	dx2dt	m2	d1	d2	m1	Fc	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.536529394589734920e+00	9.544735121276696432e+00	6.836954947400884386e+00	2.802167155733430448e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	5.267902003112375553e+00	1.281636560859433693e+01	2.562938550123859738e+00	4.864366421682000663e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	8.682367161394417110e+00	2.942540613730996402e+00	8.856384025446107700e+00	9.052567643075517978e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	4.071655492226863515e+00	3.889084445578940841e+00	6.517564152314371917e+00	1.376430473011430600e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	8.824590911085904210e+00	1.641482259607407679e+00	2.414852346363961288e+00	6.218659903542707035e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.794008761114281647e+00	1.614997515023836883e+01	9.658187400239281573e+00	5.554636052062181051e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	7.980805892493511244e+00	4.859186294358464941e+00	5.660121402796109535e+00	1.797064577841981858e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	8.627587810329838902e+00	5.943198946903495150e-01	1.653079227570352083e+00	2.041502804764436796e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.637612374445747587e+00	1.907006553882942868e+01	6.637295819854966972e+00	5.915758524916649463e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.872646089153040094e+00	4.570109798366707721e-01	3.282344339975056258e+00	1.303652131501074285e+00	0.000000000000000000e+00
