G	c	dx1dt	d2x1dt2	dx2dt	m2	d1	d2	m1	Fc	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	6.178494638128571026e+00	4.614497483093424002e+00	9.649836545781225183e+00	6.853816795229035641e+00	2.831140075596757910e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	8.196905068580001341e+00	5.252738073087538595e+00	1.281042904910956359e+01	2.553362765493986775e+00	4.886849300552485431e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	7.776353498999932334e+00	8.634155261917655366e+00	2.940744714388327630e+00	8.835031101951654975e+00	8.992083185843929627e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	2.388014034642587102e+00	3.972883584954926217e+00	3.832975216307861199e+00	6.581833220390882033e+00	1.420566238960353189e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	2.346736863317396171e+00	8.784484812273202436e+00	1.590298105841937648e+00	2.365673012028348676e+00	6.448720422752479919e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	3.405547599218369914e+00	1.770709064782641118e+00	1.614105823678385931e+01	9.675996588939504761e+00	5.545832714295841015e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	4.233904537139117963e+00	8.036172561896428590e+00	4.977998037976020917e+00	5.744419700694392894e+00	1.759207439891611813e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	4.769285295350038645e+00	8.566436887126297250e+00	5.958147011187807651e-01	1.617647404199118455e+00	1.946683688829251802e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	7.140480310446581491e+00	2.721600511460393168e+00	1.897592480530824233e+01	6.625346197016385830e+00	5.927954055805191302e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	1.617465715321025899e+00	4.799760207455497252e+00	4.738418268840687841e-01	3.406369558110339035e+00	1.435815062459030900e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	5.854575132042141306e+00	1.381174203843947623e+00	2.617407503099896893e+00	3.193170481993007570e+00	8.259046898165847139e+00	8.897512641540680889e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	3.592109191383432432e+00	4.619971349988984066e+00	7.454102220904407439e+00	2.205674733581368230e+00	8.332862633165413868e+00	6.872027237520367038e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	3.669153751088829463e+00	7.215947802878273976e+00	5.825874545109051894e+00	4.813931806952978398e+00	9.854187217589837289e+00	1.464613189616673949e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	4.106317417522418189e+00	2.773227804856023937e+00	6.627514680200069286e+00	1.763089137948127272e+00	5.485922743135969171e+00	3.155785905931428381e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	6.632589320115219955e+00	6.750022288750923138e+00	2.765342035973179069e+00	1.604843874113072744e+01	5.009483943528544536e+00	5.803804343921495956e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	3.995363895180734204e+00	3.247849432404991799e+00	2.884489967173598401e+00	4.561262200822121748e+00	7.855934023293728252e+00	1.508165282165946941e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	7.663879694689988753e+00	9.056261493274563534e+00	1.303566234095762111e+00	4.964094469729116099e+01	2.132231917687144485e+00	1.789226097817544598e+02	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	4.575525346491900791e+00	9.045212221129487418e+00	3.914573133139815919e+00	1.065962415014393194e+01	6.055607382084445156e+00	3.588528846012789586e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	1.610092805723061460e+00	3.618114003874509432e+00	5.992515402022251081e+00	1.008807920459825258e+00	5.889609797491097254e+00	2.578460261103846296e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	8.075469592024985488e+00	3.047362712343723246e+00	8.682193205521910429e+00	2.701239180739174461e+00	1.921303005968998834e+00	9.475003752759452169e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	3.508460552369207619e+00	4.658365836840515861e+00	6.991172852665747506e+00	2.475993251899297753e+00	4.687404081060385863e+00	7.661034613070766497e+00	0.000000000000000000e+00
