G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	p	d2	Fg	d1	W	m1	m2	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.299463407665665926e+00	2.682709314346150897e+00	3.291048934950922877e+00	7.140729255582748181e+00	6.197741998112785033e+00	4.617651703360382776e+00	6.862546826925711052e+00	8.453650945970874631e+00	3.025850161563019114e+01	1.390562387613991646e+00	4.268592829977824721e+01	-3.851618803912277400e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.547921773933774503e+00	5.865242963374164731e+00	3.195856005594738036e+00	8.140655218709014207e+00	8.300990824734173046e+00	5.244006247497916995e+00	2.568299792932164038e+00	4.320185640122450366e+01	1.970932116038513371e+01	2.727073018042252883e+00	6.056028589618749720e+02	-2.987833587665918778e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.559572616627940000e+00	8.903933353468652001e+00	9.178127664406654063e+00	3.200141469681838213e+00	7.756156988490354287e+00	8.648217088318348900e+00	8.879248397364710499e+00	2.585834146424608626e+00	3.779822143715842344e+02	8.370221366422697429e+00	4.267750679903207356e+01	-1.292750363738897192e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.406129135503583427e+00	7.611862026341022158e+00	3.312865324825396307e+00	6.556624475706692046e+00	2.402232666918127535e+00	4.119250591269417505e+00	6.476672335962805782e+00	2.997937952133027828e+00	4.149143422625907363e+01	7.884518098113313833e+00	4.506226262769965984e+01	-1.342612242061406391e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.365299931006597411e+00	8.272323139961031302e+00	3.402373019192746817e+00	6.231954670766888249e+00	2.306818541564230607e+00	8.824046222812480522e+00	2.500885795984800541e+00	1.527854994752588169e+01	6.112232037041088084e+00	4.207305487299994873e+00	4.406179101926458657e+02	2.448474529512565390e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.370643745891430232e+00	6.987066526959863744e+00	7.722312668424518023e+00	8.439276761458947007e+00	3.336977463741672700e+00	1.897402612881378126e+00	9.642417756236294935e+00	6.349211935052443412e-01	4.360659239284969857e+01	4.328897701374049056e+00	4.698483065131369152e-01	2.683984124182949472e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.579747896890207448e+00	7.309849508049344635e+00	5.020146154649147263e+00	9.153291833703191216e+00	4.227129380632895561e+00	7.944394953279910965e+00	5.658820420705101384e+00	1.085237420681608178e+01	1.026062182878533946e+01	5.806886376168600705e+00	2.379174470230282452e+02	-6.844889592746755014e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.803606512579555954e+00	8.573087275220858672e+00	8.046170908094115504e+00	1.056506843022144260e+00	4.626806550246552519e+00	8.532926844279144163e+00	1.584354095469742374e+00	3.233900799207044763e+00	2.108698357521917046e+02	1.029915378880927657e+00	5.825985865178575551e+01	-4.203067855961504051e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.372001349933550607e+00	3.188577576171961692e+00	1.500838224782217178e+00	6.987774326599887509e+00	7.167427748318527136e+00	2.620973529977190797e+00	6.630950846844393176e+00	1.246338365924822433e+01	1.877021961792686966e+01	3.194853311139030261e+00	6.418467098164626350e+01	-1.645683356730967262e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.373608029198385871e+00	5.361417550613078120e+00	5.323155324710631575e+00	1.450694814472572425e+00	1.538070183003903635e+00	4.916416960076603004e+00	3.307742719585100133e+00	6.642462239623625475e-01	1.766096270051442048e+02	2.893784928335891404e+00	-9.658772855374641253e+00	2.373486081106516679e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.259891387030106502e+00	2.907302759659814217e+00	1.311131681000010207e+00	5.888962077019503027e+00	1.249281290209836914e+00	2.438633233223190366e+00	8.274719966402294347e+00	1.812326106556250815e+00	3.770435456486891379e+00	3.286336458027538932e+00	7.761867807418389553e+00	-2.565626812504045873e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.745089313311302348e+00	9.885521271793974663e+00	1.557475301541761059e+00	3.551254116751999312e+00	4.487747112332410637e+00	7.286465453463526032e+00	8.445364792858804037e+00	9.070967554886362194e+00	7.065733397372446234e+01	8.262806717929853662e+00	2.807326214480600015e+02	-5.690684144177599713e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.524076099905023796e+00	9.529919473065447733e+00	9.190761447603625456e+00	3.869587400441364622e+00	7.253736839558181160e+00	5.830689280303327671e+00	9.838825831493128504e+00	1.913564849783840227e+00	4.071126162289237982e+02	3.438924805461395451e+00	1.311254927417642513e+01	-5.944536127298839574e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.870338742629465756e+00	1.353649766893563200e+00	2.185362329971146877e+00	4.199627751305828660e+00	2.736974219346424153e+00	6.637609599119987713e+00	5.531889247405971766e+00	6.056127976018754744e+00	1.916063012934865384e+01	2.750770096278949861e+00	1.968999725949159796e+01	-4.514800677767766501e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.691977688120295031e+00	7.320462531201472167e+00	5.773841954466729653e+00	6.642055982108450607e+00	6.828357230336779438e+00	2.785208414782488262e+00	5.070334449775708130e+00	4.150279805042490722e+00	2.389126269997969487e+01	5.553580419290832459e+00	4.345016125859800837e+01	-1.115522478558371944e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.776103446806811093e+00	9.389901459447289156e+00	4.765854393117647803e+00	4.051091608155520163e+00	3.376079793447291699e+00	2.887025564916679610e+00	7.745283230575891409e+00	1.008568586888250351e+00	4.839801387912338981e+01	8.713369400483768956e+00	1.675316548379687731e+01	-2.225266330461902697e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.695343515711115856e+00	2.632997481622027625e+00	4.060222369013336774e+00	7.588831479571680028e+00	8.977574273776442126e+00	1.400603253581560459e+00	2.245015290318764567e+00	1.041505271686237677e+01	8.612735221560447130e+00	3.245843617444705842e+00	3.076049639393946933e+01	-1.846900185662881100e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.658840126291932116e+00	6.130587746658452630e+00	9.180050060479524987e+00	4.616942864372735933e+00	9.047012092936167704e+00	3.822688475353139381e+00	5.973975750533008444e+00	3.047638925227675433e+00	1.335831199780089378e+02	1.735340252882014322e+00	1.712625072498556733e+01	-1.991865847103775593e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.897006058626642400e+00	9.303606559876538284e+00	1.137471523614040025e+00	1.628654565114981745e+00	3.578991169597231625e+00	6.108921522408679472e+00	5.857641283310953462e+00	5.052413316791813713e+00	4.466467123810457451e+01	4.133913584298678501e+00	1.236957064745689365e+02	-1.694162965666599074e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.668447298432381931e+00	1.298657668996742176e+00	7.021007070905108449e+00	8.062957452590987728e+00	3.140318227604504298e+00	8.711372627954222736e+00	1.844592932221357673e+00	1.692991083458060331e+01	1.281229401692338143e+01	7.685215681722683101e+00	4.673532434221270648e+01	-2.970299943341002091e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.501729758572904139e+00	7.391395327570803531e+00	9.649956440695978799e+00	3.541033347303289780e+00	4.677382631237680499e+00	7.044235260976232205e+00	4.797236209063654222e+00	2.646317843914147261e+00	1.687248947134801540e+02	5.926086987725033062e+00	1.602398737964490394e+01	-1.663825768510252203e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.198441965649891472e+00	3.651228423878552842e+00	5.978295805617964476e+00	4.901931070550737957e+00	3.249475607872608585e+00	4.971227409446665746e+00	8.618974442008266124e+00	1.429728157360830254e+00	4.926180729074059172e+01	8.320974419621199658e+00	9.812100264194743016e-01	5.936413049982209031e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.623424929661189342e+00	9.430714730350853614e+00	9.403965126135597430e+00	7.130758671203689225e+00	7.062136560975578625e+00	9.514581511852068019e+00	8.734782258762258778e+00	5.909662696693606776e+00	8.382517536457172014e+01	9.651982123939992775e+00	1.655647834193914036e+02	-1.723867484728242161e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.329627191787741580e+00	9.685298173714574688e+00	1.500410000883639627e+00	3.982823748510091022e+00	8.544898335733522643e+00	7.521609048592849511e+00	1.836045966292940257e+00	9.032180494373196211e+01	5.953094733709111352e+00	8.081812066743417233e+00	2.781156967342397820e+03	-4.875317464030801240e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.082600039879066500e+00	9.527186891111707467e+00	4.768761416285314247e+00	1.491120756769996891e+00	7.090855198047800734e+00	9.293305095857640197e+00	1.684339757850612962e+00	1.142621214034648069e+01	5.798527608386171295e+01	6.494485279223995988e+00	3.901373232741456718e+02	-2.801619489369909566e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.099450167856964811e+00	5.232182884728137751e+00	3.403178103425243073e+00	4.296600582835270465e+00	8.341152666725090370e+00	5.673123531667669361e+00	3.355550071635367892e+00	1.895373870022113394e+01	4.152842205286057009e+01	5.495934161621298664e+00	2.464683985310869048e+02	-1.974165378874829457e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.860101786419636305e+00	8.820667066772365672e+00	7.656665243112933616e+00	9.372760218973544610e+00	4.539462568881528881e+00	3.437887011192600539e+00	8.886919111622299638e+00	1.961854316538025778e+00	3.994323193908670078e+01	1.393701595678393579e+00	2.004349330586987676e+01	-5.500495734161026462e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.641111973731091744e+00	8.574339765194428864e+00	9.766350979109192920e+00	6.724774560756638486e+00	2.397640046806252645e+00	1.536438461624902052e+00	2.153863671883955000e+00	1.020047354408720963e+00	3.406801471658086911e+01	9.861260911680881591e+00	1.009050363786685800e+01	-6.914589135052750635e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.330218500265416992e+00	3.888085877357142284e+00	3.239403755476577995e+00	7.140975298642214142e+00	7.593964031352919086e+00	7.648528617609006375e+00	7.635935510417536598e+00	1.654415269955842049e+01	4.437045467825850409e+01	4.501402317470282632e+00	1.905408932656753791e+02	-1.659928753684705782e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.462940365739442861e+00	8.424048605564014025e+00	6.815525244570540764e+00	6.673775142500377733e+00	4.223732243725053515e+00	2.071416370405001928e+00	1.931099251705993947e+00	4.582591919188639729e+00	4.888294575177450696e+00	2.355314636158639896e+00	4.375530424738819590e+01	-5.254293326176565415e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.421568848039445498e+00	1.385208006106197764e+00	2.733228214960084390e+00	2.832935319765735205e+00	6.966980966164822320e+00	3.730595571295323154e+00	6.616244870600814565e+00	3.945787042242167697e+00	8.608287639392102619e+01	6.961682318828624538e+00	8.172130837943045734e+00	-3.161696943329005194e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.483045263938858493e+00	6.329948446061203882e+00	6.148943168038314866e+00	4.650000588602292595e+00	3.436107115200859763e+00	5.821169802768666912e+00	4.227974509881165410e+00	3.838097689353145991e+00	2.677392249128416424e+01	3.622162349688172966e+00	4.228635402484911765e+01	-1.098144474526933045e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.571036624284810612e+00	3.163730529672230674e+00	5.206333614250433506e+00	7.703875879733814713e+00	1.743998415178383832e+00	6.079080219215535763e+00	8.076218889033066617e+00	1.995616658641390373e+00	1.740776574055677273e+01	6.288965464194510524e+00	3.824993263266884824e-01	4.059504575298928444e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.513347804096694560e+00	2.029693099709402482e+00	9.717953446653664784e+00	1.839032471853295325e+00	9.878542843699255727e+00	6.364314401855618364e+00	3.153775651973549365e+00	4.047141925763792614e+00	3.012282838214820231e+02	6.244373356002101083e+00	-1.116083721312081245e+01	6.196854905378787635e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.647208950131886951e+00	1.617719433135423213e+00	6.476132403634451862e+00	3.489723720959279074e+00	2.511498210553814392e+00	2.447137146913938466e+00	6.772454170055770994e+00	5.048524654732124972e-01	2.434785285414696716e+02	4.989255368405745017e+00	-3.741957258179175128e+00	1.029895476703916756e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.374646739646962601e+00	7.319535304112311458e+00	4.223098206481803452e+00	3.617981522906169367e+00	9.899248484253512004e+00	4.429369507906088188e+00	3.138287455906666690e+00	1.183076667249226333e+01	5.999694691090256526e+01	8.485732450239444447e+00	1.803297709412901781e+02	-1.295275425753974474e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.859078903520712256e+00	4.025960612828055396e+00	2.132215770440673452e+00	4.913084811871486046e+00	9.751031940518876340e+00	6.496218184443192989e+00	7.388991785727412775e+00	2.091489252278370969e+01	2.342935669887268446e+01	3.492714694792288022e+00	2.355415816978529051e+02	-1.043785382853432075e+01
