G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	Fc	d2	W	Fg	d1	p
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	3.515609213800593835e+01	4.549825098561659509e+00	6.831353839211971923e+00	1.357075985615263880e+00	5.366163979338806067e-01	4.794855952400425849e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	9.636454141246032634e+01	5.263142511319516714e+00	2.555969716467507258e+00	2.673225134823267179e+00	3.429374318721244652e+00	1.052623586663576987e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	9.820867744469107663e+01	8.686325512904518931e+00	8.841417502751518498e+00	8.479424113336673230e+00	1.821154661091736404e+00	7.295596116035288787e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	6.834498344600845599e+01	4.056303881325618477e+00	6.515137106815733326e+00	7.897197015240675633e+00	3.028501753709182065e+00	9.098917901742430558e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	7.009576688503564412e+01	8.830588698273093229e+00	2.412196898742632989e+00	4.149590751532882926e+00	8.812619165684367317e+00	7.612971886392914200e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	8.244989621813199676e+01	1.798925014361009600e+00	9.652141399006110234e+00	4.389799946607416459e+00	2.112198255358310739e-01	1.146171262194466635e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	9.689102963138479652e+01	7.994212547278721104e+00	5.673420177171281331e+00	5.797374066944732895e+00	3.230440292479350717e+00	2.465000150095558809e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	4.993424992828129660e+01	8.638335373874545198e+00	1.648692314729674813e+00	1.002236631739332751e+00	1.305080652754899706e+00	8.522847759310814126e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	4.604622234304864747e+01	2.645328824270795298e+00	6.638295699785770054e+00	3.171344182372071607e+00	1.585025467154569379e+00	5.357344210235373083e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	1.602321912350970834e+01	4.875538392154016520e+00	3.283729369721472668e+00	2.870767538771447303e+00	1.584788262469188247e+00	2.720434406654744635e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	2.163780179976350482e+01	2.484897365219928211e+00	8.236755414249797624e+00	3.252367483833477735e+00	1.516718961203585625e+00	4.115078752829511899e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	8.017882211722343300e+01	7.352250332185446879e+00	8.354370433944389163e+00	8.251919538199063098e+00	9.286589891475166780e+00	2.547749316641759521e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.497944509141287739e+00	9.490314854603212780e+00	9.162707364795755538e+00	3.760287431086229759e+00	7.270912331221567548e+00	1.047893446086647344e+02	5.816004663862162971e+00	9.814238790845999816e+00	3.521390369563273559e+00	4.530560617483537222e-01	1.906055440811778908e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.914929053850585650e+00	1.363404093749103430e+00	2.257455239756435361e+00	4.168308712513414171e+00	2.745904242290583497e+00	9.319667018602011410e+00	6.722042384848725405e+00	5.518402143681917948e+00	2.722899088762149589e+00	2.936369695740395080e+00	9.226068677377637073e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.649006688809603105e+00	7.345012717754658915e+00	5.790749576792093123e+00	6.590090368007836652e+00	6.780200377436074177e+00	9.829132919857923412e+01	2.778404015409042582e+00	5.107303119148292936e+00	5.542776158733324188e+00	1.045218431507059620e+00	2.852182540534853388e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.647777766686205680e+00	9.334152245170653117e+00	4.704501957345954999e+00	4.001051120379443660e+00	3.329363842526603445e+00	6.853222988499435075e+01	2.908002949739320719e+00	7.783477796816148597e+00	8.793934353719766506e+00	1.395956699536726298e+00	1.751769059239674107e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.743361419487843733e+00	2.627154911724737474e+00	4.121532965377671331e+00	7.591780441828267278e+00	8.980945971009687057e+00	4.349251726339478097e+01	1.379887754089818230e+00	2.191467585629656600e+00	3.175200067234204671e+00	9.616010677293292952e-01	1.250199271259473619e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.722233684701656387e+00	6.101441831916686098e+00	9.095778387050506453e+00	4.634801574812615677e+00	9.072432515096814143e+00	8.369127188427127351e+01	3.897262018876658018e+00	5.917580438166154977e+00	1.714239141031310254e+00	2.467785525566428551e-01	2.340791169090216499e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.894180744782930859e+00	9.242929115263267548e+00	1.185310854123672986e+00	1.612748690365848336e+00	3.676957491358654462e+00	4.890651354821580554e+01	6.041118573770186018e+00	5.912179880149628808e+00	4.201663577690006868e+00	7.180716263577835434e+00	1.846296593183482670e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.621020644779410436e+00	1.304859208471634391e+00	6.966796783463580667e+00	8.051640152171465559e+00	3.073206970346877842e+00	1.456410909513654950e+01	8.725931314102249203e+00	1.800766108158584844e+00	7.726338990248539318e+00	1.070928764454121840e+01	1.464768390509146059e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.504576746422732647e+00	7.274248575828696772e+00	9.680531017412809192e+00	3.572348690698197604e+00	4.707384263977086647e+00	6.021354784941115668e+01	6.991486618678659504e+00	4.769315245293705097e+00	5.965633270582530123e+00	1.821895885236607615e+00	6.326927967787220268e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.262513616317438636e+00	3.677503804460518388e+00	6.050577046901822520e+00	4.886160672770053282e+00	3.163283732180992125e+00	2.972573033579383406e+01	4.916298710144714867e+00	8.679660942376283828e+00	8.349765916225580398e+00	1.568443308482256882e+00	3.331216739050677234e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.626641354903261227e+00	9.322206220002698274e+00	9.431765421992796661e+00	7.161169817575535390e+00	7.052447460881377417e+00	1.325562697676227231e+02	9.583291257636595617e+00	8.708457419747656303e+00	9.621292809733164475e+00	2.246466439697954343e+00	7.103173399745897996e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.289610481688938215e+00	9.743460653510574332e+00	1.479503037977942359e+00	3.994064587820899348e+00	8.427423783627851606e+00	1.210853900804792858e+02	7.474712592804111821e+00	1.901376153133267133e+00	8.132878167971467676e+00	4.367394372760139021e+01	1.025177169174496328e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.101832524972954808e+00	9.504953204099630071e+00	4.768255994465308234e+00	1.504954078090194880e+00	7.058584317777951256e+00	8.138182398100349246e+01	9.364922532591382520e+00	1.803658414981627711e+00	6.434948467310725562e+00	1.391918506484767093e+01	5.895203935415599972e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.069934047575687330e+00	5.270198473648513904e+00	3.340076093129196178e+00	4.371106253165115696e+00	8.421867220090190287e+00	6.738847336270015376e+01	5.734959670246292163e+00	3.371216081356686267e+00	5.426095410644907524e+00	5.557615883921902089e+00	6.973605582346763754e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.804598183835611547e+00	8.750730993313927897e+00	7.577700712108843106e+00	9.501256709578253634e+00	4.575740973095392405e+00	1.232081577638538192e+02	3.328131730843464808e+00	8.873195906988044612e+00	1.367746777866257313e+00	1.349438945458526773e-01	3.067270763058849752e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.628711416515850274e+00	8.598309626550477702e+00	9.830984036481428490e+00	6.778894211315714458e+00	2.412656052964121667e+00	7.895006981505315480e+01	1.475047447974537018e+00	2.162489837236820200e+00	9.855085632238116844e+00	1.372955972007683823e+00	2.367404183081553128e+02
