G	c	dx1dt	d2x1dt2	m1	Fc	d2	d1	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.428216541324684563e+00	2.628066470304298630e+00	2.335172161326868334e+00	2.831940563509530762e+01	7.866472383366791554e+00	9.645315106783868941e+00	5.937707866227208697e+00	1.508417497121165685e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.512031553025643404e+00	4.757801611553304610e+00	3.585477349872751685e+00	8.342664213561627662e+01	7.912805190373931374e+00	8.533384541866858797e+00	7.307340382715998395e+00	4.290985389391742899e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.281075839234754099e+00	8.569373090401860793e+00	9.425952730158050130e+00	3.074170783807560952e+02	3.245691312866180844e+00	3.537699896124708143e+00	8.564363539292740413e+00	8.034639969650390512e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.823780674182007289e+00	7.625358673995864756e+00	2.873443653370580719e+00	1.020998566191354797e+02	7.050592441676862165e+00	8.409810842356526095e+00	2.081419233062548280e+00	1.114572232206098912e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.629698283754711818e+00	8.685761507205629783e+00	3.251401345529203901e+00	1.020168931031895170e+02	6.428926909157987701e+00	9.882832553116589480e+00	2.879941762120378446e+00	-2.734463080262087842e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.234397516943841921e+00	6.373202061894250647e+00	8.091225720237620322e+00	2.074930234727399068e+02	8.901753939215419464e+00	1.534653844564847347e+01	3.145542711696541094e+00	-1.313458620611521743e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.901289239683758403e-02	7.438375389011041783e+00	5.553406106336118420e+00	1.509409197649793555e+02	9.642219556836588268e+00	2.681018265695454517e+01	3.598796131459155223e+00	3.663051493735824393e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.959786162921634656e+00	9.459706612113045310e+00	7.024402411119357481e+00	3.031050366127264510e+02	1.641735350168841423e-01	1.596098047685087229e+00	5.316402013083266098e+00	1.691942244742634927e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.254536488899558933e+00	2.890556288142873687e+00	1.935191006380826639e+00	9.366803171237897629e+00	6.300539739420557339e+00	9.672223638328338424e+00	7.165591329600703219e+00	2.413308851025986357e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.270053283661797927e+00	4.544175034842539596e+00	5.135441702878069670e+00	1.253870370821451985e+02	2.100520297590753316e+00	2.018417501931879521e+00	2.537913547825876748e+00	3.364364686366876356e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.152777807086194262e+00	3.152127462265875923e+00	1.923868200955290320e+00	1.171700687395192553e+01	5.516543243020419318e+00	3.806567104783360378e+01	1.057941732520124800e+00	2.801447827223774723e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.937673752327487620e+00	9.225885570331257668e+00	5.482951492381236136e-01	5.599205549506894641e+01	3.224566110985666700e+00	3.925280608857564690e+00	4.284843853774652267e+00	5.582439726553189985e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.491841317341993545e+00	9.040912397963005276e+00	1.050814595842465238e+01	3.611190686145808968e+02	3.077365331869536647e+00	4.141476022472285301e+00	7.821777567108950890e+00	7.165423274257367581e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.838854402157793277e+00	1.868508021316021894e+00	1.763912747866563491e+00	1.783272136511870443e+00	3.957413034542052621e+00	6.643958905573876805e+00	3.292014487810175805e+00	4.209329421669191773e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.344851731971018705e+00	8.394324848935715622e+00	6.581360878199904896e+00	1.560153762413709160e+02	6.402534140358460135e+00	1.184997142277915039e+01	6.857113062209934107e+00	1.479563473294455811e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.956758664144307325e+00	8.770535362883913777e+00	4.661659083825520078e+00	1.810355326994447296e+02	3.498967024679738635e+00	5.881588444222922263e+00	5.155156447278495868e+00	7.186701931786466657e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.219245918900722092e+00	2.214940023577283590e+00	3.674050695390183030e+00	6.304171042413111081e+01	7.024218234324852261e+00	9.747407615385604629e+00	8.821954978057577890e+00	1.743106258880152470e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.123683487775174683e+00	5.866801115408158296e+00	9.244886825475896686e+00	2.316936769164013015e+02	4.813250765359673444e+00	6.782997944870256646e+00	8.369739488331637389e+00	4.715070279011115417e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.171168073976814661e+00	8.934640527906747565e+00	1.764657779283030914e+00	2.682279266810940399e+01	1.177957103514890802e+00	1.519764232764309053e+00	3.129498332395651339e+00	4.161904421273590948e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.325943271852233707e+00	2.381034545782085399e+00	6.116757695359686053e+00	2.881238356428207226e+01	7.725618992523273221e+00	1.132158219015454570e+01	2.920294621453324524e+00	5.158971993846618309e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.935405841833962803e+00	6.981619262938027148e+00	1.005794282465904743e+01	2.935918105582622957e+02	2.388310371467266435e+00	3.686419028649120300e+00	5.529004583145862739e+00	3.520645453309195982e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.170161589541118818e+00	3.460428640849921855e+00	6.034789107419632259e+00	1.083836185091999198e+02	5.944122477112428804e+00	7.278264502411498249e+00	3.063283739082272472e+00	2.964077164470009240e-01
