G	c	dx1dt	d2x1dt2	m1	Fc	d2	d1	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.630668374670845466e+00	2.574625547087629585e+00	3.238908053456513780e+00	4.308944255056153594e+01	7.115005335759645888e+00	9.271446510318289924e+00	5.945612080075208361e+00	1.680683499002531445e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.637558235577490251e+00	5.513217172579021330e+00	3.207783588915728235e+00	7.709540804835259564e+01	8.047834477861059099e+00	9.320795070287827500e+00	8.040386208274844293e+00	4.351899079483516175e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.059048570149574431e+00	9.115341335622218821e+00	8.929741917078303004e+00	3.289180537652397334e+02	3.869055358149981139e+00	3.863339634265163802e+00	7.961936699727104383e+00	7.875353478421162734e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.299504226086077630e+00	7.676644637920883696e+00	2.752559269549292420e+00	1.059019852883973414e+02	6.177737173519789238e+00	7.986061535456094873e+00	2.340447833001434663e+00	1.363089739416435187e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.333027701526352526e+00	8.637796498330953199e+00	3.662597143510819997e+00	1.130797262005269630e+02	6.409781355656102519e+00	1.045081430423471858e+01	2.432457842048673324e+00	2.489952546606180595e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.466572813651463747e+00	6.875149907533111282e+00	7.827479707611250781e+00	2.171398288414407602e+02	8.465303002310792024e+00	1.443301418863307362e+01	3.007789080639637902e+00	3.230757475760838160e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.648578314464551386e+00	7.113876607268897700e+00	5.060794428087757701e+00	1.362620364476621830e+02	9.367271253257225538e+00	2.746298635334942162e+01	4.224448044217919751e+00	1.495559228789956618e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.857271360670480931e+00	9.028868412513643804e+00	7.717964006826719014e+00	2.838979182532914365e+02	1.138901308803448531e+00	1.467185560326570659e+00	4.956650143175322043e+00	1.640806385540943424e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.062452560783338384e+00	3.778820330393321214e+00	1.537081127707655481e+00	1.972829698267518239e+01	6.559420999065432412e+00	8.113627000146538037e+00	6.812538837789330337e+00	2.796757730079178383e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.457224632018071730e+00	5.407424659895614383e+00	5.690891178964349706e+00	1.102713690254105501e+02	1.492360357480438715e+00	1.571478095740785896e+00	1.514624815840805994e+00	3.145118788934675003e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.084003297345974781e+00	2.781499620283050866e+00	1.302749156774452022e+00	2.015502872198589301e+01	6.030552480943086380e+00	3.847781530481967138e+01	8.069563251456811637e-01	1.164320445428418394e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.571967314479833178e+00	1.011446751353516937e+01	1.571935957123157701e+00	4.838756440229482791e+01	2.995392592114392016e+00	3.667639431712716558e+00	4.171655888759469910e+00	5.223125000619990743e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.500773915831361549e+00	9.425876261379302790e+00	9.215232021700815679e+00	3.452212863272226286e+02	4.287182563409338343e+00	3.594296254155809223e+00	7.494437568928095317e+00	7.036634710583558494e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.650849106248564180e+00	1.521530921538714942e+00	1.911864776143132660e+00	1.782526055232844442e+01	4.260860707194503050e+00	5.726642143309002897e+00	2.656685318353708691e+00	9.207838636266838517e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.329170267103882530e+00	7.278056918660660735e+00	5.964315791992559568e+00	1.675770292424975878e+02	6.773518136082111063e+00	9.839582777563181892e+00	7.269777128712940240e+00	6.387010995845694428e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.942854283053457198e+00	9.762277538648735487e+00	4.353322090103549868e+00	1.709093078347747507e+02	3.690977281982645408e+00	5.847629871531860424e+00	3.456227994677004034e+00	3.724007698621716878e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.211009604157275987e+00	2.430609657019087155e+00	3.866678449166976783e+00	4.075461684714278476e+01	7.781220056291729747e+00	9.834962756329158395e+00	9.119281327213407451e+00	1.419854684730541328e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.873197360440198800e+00	6.245170137670416288e+00	8.808830193009395515e+00	2.099987493830028313e+02	4.935641303607710917e+00	6.248393806607768219e+00	8.768032417779471288e+00	4.890654939077209384e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.855906994886070471e+00	9.103458421299597703e+00	1.148034009701881519e+00	4.863883458958071060e+01	1.683811800800107950e+00	2.009822142871172446e+00	3.570702393756036042e+00	4.135033837429071824e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.440501344169355047e+00	1.227210567758151960e+00	6.876801129425117232e+00	3.565960996610709088e+01	8.051301991768196942e+00	1.096267149701144383e+01	2.870412234222662118e+00	3.457760869044118057e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.728377282667018733e+00	7.162165920817662013e+00	9.670211698267241474e+00	2.797987022594204518e+02	3.329958520011671919e+00	3.569188375830174564e+00	4.411565467543453245e+00	3.389738135619522641e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.058293581054771781e+00	3.881590655363833520e+00	5.791588196791014553e+00	8.717717578097926889e+01	4.836381459174974751e+00	8.729261447772142191e+00	3.345593833553924590e+00	3.617507607760724886e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.823026330252778493e+00	9.575015612009522670e+00	9.709001898939245478e+00	3.516733177164953759e+02	7.030404550406514907e+00	9.111685163688738598e+00	7.286903234112701355e+00	1.222950326326485815e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.552223512199548239e+00	9.894663608560229306e+00	1.700581390253669056e+00	6.131982326615614909e+01	4.146926766473291615e+00	5.036158821345103398e+00	8.543231665662148089e+00	3.405904405087731401e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.278443996235493429e+00	9.468361957822613917e+00	4.721152987487058361e+00	1.808749554688462808e+02	1.279236037425720784e+00	2.808476058523909025e+00	6.832307236911176140e+00	9.895885682796224714e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.109446960223309020e+00	5.306920117250342628e+00	3.209351404253443452e+00	6.199311956422867098e+01	4.518122737112850729e+00	5.282536311319336875e+00	8.509227493558480404e+00	6.621610046110706804e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.149912527435496212e+00	9.008092105115256487e+00	7.417438170378416018e+00	2.690199998567553052e+02	9.272950048434340786e+00	1.469179679590106780e+01	4.052016479590642817e+00	4.160768383382275615e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.539202702132611122e+00	8.859439844831756616e+00	9.746048180611646572e+00	3.413284033344320960e+02	6.704598936467063730e+00	8.554617091288736930e+00	2.767170868099217529e+00	8.764790633937036279e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.625400005785182067e+00	3.123583143092368619e+00	2.922187249165882239e+00	5.251534071458434028e+01	7.210056320125529439e+00	8.129008550740660866e+00	7.288010711144489839e+00	2.734605550938327578e+00
