G	c	dx1dt	d2x1dt2	Fc	m1	Fg	m2	W	p	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	7.208963639543232205e+01	6.141816882249848675e+00	4.541019814974282198e+00	3.536245017104612742e+01	6.836778300866514613e+00	7.840871931598244693e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	1.889808668720986873e+02	8.255822110410710124e+00	5.265228276086735271e+00	-5.457244352461232211e+02	2.548767205776064415e+00	-1.783647239121152595e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	1.061045186966596390e+02	7.832950200795565365e+00	8.695556609634298439e+00	-6.154446073077524559e+00	8.866185790569041103e+00	-2.204422874455252757e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	1.978088656907621612e+02	2.396632094308385419e+00	4.058483116214253172e+00	6.343479038384427504e+00	6.514948950628724589e+00	9.813300637710705709e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	1.997016733437874336e+02	2.341005115860546049e+00	8.834068865250703340e+00	1.426637059507159222e+01	2.412467594209704025e+00	2.333786107179637082e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	2.278552194185698738e+02	3.414362478195523742e+00	1.777252442425731882e+00	2.991262546293689706e+00	9.656283930181439601e+00	1.418739979351393510e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	2.598360667101916306e+02	4.239366731699734991e+00	7.984477701383476678e+00	1.490285829250198724e+01	5.672240536571023561e+00	6.062506386245718915e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	3.061238548744235288e+01	4.675761778083037612e+00	8.622905376039703640e+00	-2.690507618458728434e+00	1.654058251855242023e+00	-4.504305338981163254e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	9.008171190877328627e+01	7.118519480518819442e+00	2.631861775505803358e+00	-3.645997168677208151e+02	6.637552766808325622e+00	-5.345442513428549347e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	2.622298870944996807e+01	1.509654569507747679e+00	4.874963589212926607e+00	-1.638969663540369766e+02	3.282635839408188705e+00	-4.969857097470261209e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	6.962117986405361592e+01	1.308987266708068642e+00	2.491089169711135920e+00	3.182133487062968502e+00	8.225732254325366810e+00	3.737029104767579213e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	1.404414037269373239e+02	4.522039182380646949e+00	7.361598663355887417e+00	-2.812503408547792816e+01	8.363799123568142591e+00	-6.736100992608678339e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	1.337276743476878664e+02	7.280631149599698482e+00	5.821400120611479601e+00	-6.218720849835777109e+00	9.820216621754923381e+00	-1.907356618151587968e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.036401475488299440e+01	2.741085894859378147e+00	6.712697674932304182e+00	1.954335805455482955e+01	5.519908001703892175e+00	8.864975689719504004e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	1.880997403424764798e+02	6.781932727926480275e+00	2.761699566335328981e+00	-1.003151610751224752e+02	5.098081946217983607e+00	-2.940961449777571346e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	1.449179786931100864e+02	3.335585518041525699e+00	2.907887041272608108e+00	1.742076052141497655e+01	7.786013385778220552e+00	1.276971087655270765e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	7.544426019696824426e+01	8.972406675956651867e+00	1.370018363148451934e+00	-7.552414312462587098e+00	2.201536344776792387e+00	-5.796489348487121607e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	1.042807966052778283e+02	9.065651999360392566e+00	3.889991910583282753e+00	-4.079481940613446156e+00	5.928821176425579154e+00	-9.087951718199430706e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	5.859082595434489349e+01	3.666744579933914672e+00	6.043030919978058080e+00	-4.741694220125370229e+00	5.918620106365500178e+00	-3.548105571370683275e+00
