G	c	dx1dt	d2x1dt2	Fc	m1	Fg	m2	W	p	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	7.252092597920726291e+01	6.219227409249849181e+00	4.616981282281581223e+00	3.540063479996290852e+01	6.899564804082904956e+00	7.919055444798936527e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	1.877487179294742248e+02	8.240766619925544489e+00	5.260937660889593026e+00	-5.457461201638384409e+02	2.597489300517441979e+00	-1.790013229320093302e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	1.047558130632942124e+02	7.785083071848438507e+00	8.694258633418957771e+00	-6.202801002396878260e+00	8.853078352359752046e+00	-2.151907359432841726e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	1.979167434279329996e+02	2.298566519770745220e+00	4.017930484268439351e+00	6.489020057396081675e+00	6.610594485279080779e+00	9.050169902549338730e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	1.996570710129676058e+02	2.301185821780269869e+00	8.797075804107748809e+00	1.415500115020895500e+01	2.462323444422481966e+00	2.275305363927110580e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	2.274586238928816897e+02	3.391229401489571860e+00	1.770807793049666623e+00	3.031592483365680213e+00	9.637206433070737432e+00	1.346894105734344205e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	2.593943126702012592e+02	4.294337465739364923e+00	8.070348225223421323e+00	1.509375666000995686e+01	5.590201262486921507e+00	6.071779311573808791e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	3.232678308688652180e+01	4.615048154309911332e+00	8.623985739033633635e+00	-2.770745030221900773e+00	1.633510234065791655e+00	-5.052938205443602282e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	9.067658779146250936e+01	7.201907005759282221e+00	2.563822086363942265e+00	-3.646267774792526666e+02	6.663981402340095173e+00	-5.351685674441693408e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	2.857904947645079474e+01	1.437289905690196656e+00	4.887127989874214151e+00	-1.636161040796834243e+02	3.311276543654855242e+00	-4.969563029921189923e+01
