G	c	dx1dt	d2x1dt2	Fc	m1	Fg	m2	W	p	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	6.331013261434107164e+01	6.368932913293668285e+00	5.310579849837500532e+00	3.532937902329021540e+01	7.624485709059140248e+00	7.937373242381981164e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	1.583878640283776065e+02	8.853223599764280749e+00	6.040378997893316004e+00	-5.438276866305774320e+02	2.585985335777877037e+00	-1.767298925458986858e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	9.457331895079049389e+01	8.326891087001360603e+00	8.612686069550784751e+00	-4.291238958489795863e+00	9.261197029220912924e+00	-1.737950263768920145e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	2.042495313886828114e+02	2.723591433350957658e+00	3.682293795381183177e+00	7.896904708823700325e+00	6.542281023207079826e+00	2.770534325767518569e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	2.028429187179971507e+02	2.492808532834507318e+00	8.545583951850744597e+00	1.528879658211288017e+01	2.493844568788785132e+00	2.628785984779559826e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	2.387072797504274320e+02	3.096923406075631657e+00	2.020954485372158604e+00	3.388679981387241913e+00	9.046968012878208398e+00	9.741810499813627899e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	2.636887014367040933e+02	3.687112407394502078e+00	7.360435924323953216e+00	1.633363044798586117e+01	5.543168748465693518e+00	5.788449651884945979e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	3.881134465716456816e+01	4.027365427147108434e+00	8.379003761676839801e+00	-5.160848052754370308e+00	6.797733655137447872e-01	-4.040681062974635918e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	9.896542574127303737e+01	7.331866334563707177e+00	3.293181041382671648e+00	-3.633709154329962985e+02	6.566709798891046113e+00	-5.328501117342069904e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	2.655206127729804066e+01	1.781534448209436405e+00	5.238955933303473422e+00	-1.652859470850011689e+02	3.996864322290631932e+00	-4.947965143069572491e+01
