G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	W	d1	m2	Fc	Fg	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.536529394589734920e+00	3.487737002695788513e-02	-8.004974124507437949e+00	6.836778300866514613e+00	3.855752206793218839e+00	-3.386862956755854609e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	5.267902003112375553e+00	2.611501235935290502e-02	-2.444398803646524243e+01	2.548767205776064415e+00	1.437188509964408167e+00	1.081438647001804580e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	8.682367161394417110e+00	1.136295347357345054e-01	-6.491561687438387906e+00	8.866185790569041103e+00	-6.241056062267365867e+00	9.920943475685676249e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	4.071655492226863515e+00	8.562839903982759349e-02	-4.694522424168642516e+00	6.514948950628724589e+00	4.301963320271084079e+00	-3.280091604704958586e-03
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	8.824590911085904210e+00	2.044706269866524151e-01	-1.634051674163569556e+00	2.412467594209704025e+00	2.652687424055681120e+01	4.691279075728335690e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.794008761114281647e+00	2.026159547810938918e-02	-1.051404614921283009e+00	9.656283930181439601e+00	-1.138005018417034897e+01	6.803262512785825111e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	7.980805892493511244e+00	6.832063684798235503e-02	-1.289243317018327950e+00	5.672240536571023561e+00	-7.604122083920332287e+00	2.602401167017429628e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	8.627587810329838902e+00	5.542716836034166095e-01	-5.151512625880978469e+00	1.654058251855242023e+00	-2.116294734989504489e-01	3.074208706792293522e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.637612374445747587e+00	1.737503750479692244e-02	-2.872973551407106640e+01	6.637552766808325622e+00	3.486833137403254401e+00	1.024253910379644555e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.872646089153040094e+00	7.335141403041474106e-01	-2.061351530903323237e+00	3.282635839408188705e+00	-1.607260373592901637e+00	1.944049414413261956e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	2.486408805629983565e+00	1.065159155497313187e-01	-1.202079061558975814e+00	8.225732254325366810e+00	4.086216846806046021e+00	1.140889218292850726e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	7.354244136288627942e+00	1.510407095199818583e-01	-2.815440746902099534e+01	8.363799123568142591e+00	5.263241426045845550e+00	1.297287563418911827e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	7.275429733387385411e+00	5.824332182984757189e+00	7.095742410124311617e-02	-6.739764805361023292e+00	9.820216621754923381e+00	-1.249870344270336986e+01	2.140256384133282008e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.740090420146628958e+00	6.718079133500286737e+00	1.954957254493803476e-01	-3.540996935647037880e+00	5.519908001703892175e+00	2.727698299756244005e+00	-2.182828347203294439e-01
