G	c	dx1dt	d2x1dt2	dx2dt	d1	Fc	W	Fg	d2	m1	m2	p
1.000000000000000000e+00	1.000000000000000000e+00	4.357500358115993677e+00	2.592808769422041415e+00	3.371740908595260322e+00	6.991285660844211769e+00	6.234901052232936891e+00	4.592857319901242796e+00	6.885449155510530161e+00	1.646414459778925199e+00	6.764290486619411347e+00	1.467013345420690618e+00	-1.170872193280625417e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.471973279296310722e+00	5.868364445248919203e+00	3.211032147048340502e+00	8.143707920546406243e+00	8.219230797152782486e+00	5.313396052209465203e+00	8.871700552612304946e+00	1.630244571180504476e+00	2.593989775058379355e+00	2.711208477498904923e+00	-1.017266226126873008e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.648138423596377855e+00	8.827348874964640046e+00	9.203358267885249688e+00	3.275619335500151497e+00	7.787043422693407990e+00	8.605020833891760645e+00	1.045881271991241768e+01	8.636828139479311162e-01	8.775113253654245327e+00	8.482543497028405710e+00	1.715788749305153971e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.434304720904955310e+00	7.608734086078600356e+00	3.267590922465586800e+00	6.689503586856575090e+00	2.317439694105645653e+00	4.077296403842252559e+00	3.071942648190679748e+00	8.312868954521640541e-01	6.500872463920788213e+00	7.944708861734503635e+00	6.782607004408532703e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.373058174547453270e+00	8.219099213568977547e+00	3.460721327475089648e+00	6.101425173062343887e+00	2.430020895926468416e+00	8.790158102607891877e+00	3.776010006949639397e+00	3.125889704681044101e-01	2.419910804931995951e+00	4.130109466338556246e+00	1.368304490844180634e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.473207349880581329e+00	6.894815066466432718e+00	7.892167753894723248e+00	8.385403275506781995e+00	3.357024163268922390e+00	1.716066368914871187e+00	3.754692524362814421e+00	3.422858273631358972e-01	9.634567365926683280e+00	4.440596968751117757e+00	4.426911231133993851e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.601192694247800752e+00	7.289072988508716655e+00	5.126426935466839474e+00	9.127810615963147356e+00	4.248171582493783127e+00	7.968480399979681827e+00	5.064169140775263145e+00	2.089858089958485654e-01	5.655406745897103349e+00	5.849807416961027684e+00	2.512394182548323585e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.789460164839963952e+00	8.651005621965660808e+00	7.921241228607592610e+00	1.164093107900300517e+00	4.622868034333623477e+00	8.578279974760222970e+00	1.233456247447057130e+01	9.997649388701371764e-01	1.580637935160789320e+00	1.069124500367716779e+00	-4.764076364531658392e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.385643555755844858e+00	3.207918278877681661e+00	1.530296869813333460e+00	6.980437055236939692e+00	7.038383757697200593e+00	2.686872911741529979e+00	7.471167591607335901e+00	1.971499396019418926e+00	6.587781011301732548e+00	3.147653903756248095e+00	-2.112423774380868480e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.494949843457960448e+00	5.405806111296423744e+00	5.345057461674754151e+00	1.402811097729860901e+00	1.494198356835453101e+00	4.901266370577489262e+00	4.887073480729045905e+00	1.371319244501019829e+00	3.305894661664198431e+00	2.808775993909547353e+00	-1.418949602084030559e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.224291956056415387e+00	3.067595960053769222e+00	1.219563749142297704e+00	5.948168448427922250e+00	1.260973588842084991e+00	2.426272787439417655e+00	1.667695683259684758e+00	4.066516023264751256e-01	8.234855151868265111e+00	3.221756113293643420e+00	-2.748557742353574440e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.743061752210381954e+00	9.905355881031118415e+00	1.560414075074733509e+00	3.582416600697275300e+00	4.489522429984092788e+00	7.319705072208937402e+00	6.486845893253562423e+00	1.005061371670128656e+00	8.322835457640382018e+00	8.238109749106394375e+00	1.446718247472974284e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.565783089715310439e+00	9.529520837028274016e+00	9.191073419462675531e+00	3.793170102451334014e+00	7.383744729537959905e+00	5.797244162442503956e+00	8.837116729281202510e+00	9.012880362240831555e-01	9.882563990989877922e+00	3.606116076073899279e+00	-1.181979352062810307e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.927393418871398367e+00	1.312993321154241499e+00	2.252025696387997655e+00	4.110110937449555912e+00	2.764061959436614924e+00	6.713937842997349748e+00	4.249147110486878987e+00	2.152392096679601075e+00	5.450464228335869521e+00	2.840934858028006271e+00	-2.903590217808258345e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.609058951623971723e+00	7.407277858561944761e+00	5.762293804177221368e+00	6.574039728630872048e+00	6.824276989463455401e+00	2.823594427688611130e+00	7.214525235082389187e+00	3.526245259104536234e-01	5.074942195770629993e+00	5.556780720235142468e+00	9.169256269912819945e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.654979083915150362e+00	9.456194499112044127e+00	4.762059492037423958e+00	4.071149562915321596e+00	3.383372016766413637e+00	2.943610324620212104e+00	4.040388165900409057e+00	2.751914028848942984e-01	7.753773863168810010e+00	8.791306913885268415e+00	4.713257152212602996e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.794395369262930195e+00	2.581147532364095554e+00	4.133850974795177713e+00	7.529715510549573665e+00	8.969281138065289483e+00	1.376295386130423237e+00	9.189489469228831808e+00	1.437155417050716366e+00	2.225692601121092018e+00	3.153457578628450442e+00	-3.631166948575942133e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.614984641695811796e+00	6.045756467447541915e+00	9.117438434282302495e+00	4.720697277369484191e+00	9.037258270044290498e+00	3.884308153877384484e+00	9.806535169987306233e+00	9.493216000864033166e-01	5.924859618622677182e+00	1.750875668924403161e+00	-1.006605997347511483e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.871916056424400843e+00	9.249160368425398460e+00	1.260143393822021007e+00	1.557395511151429268e+00	3.689144178620884063e+00	5.940412548484116151e+00	7.502576624770412650e+00	5.143513696750708908e-01	5.910344449035050296e+00	4.324542096120001844e+00	1.720224429219456681e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.695917599780880192e+00	1.354219519491054458e+00	6.967302189591687345e+00	8.099818793615773060e+00	3.079119215680610644e+00	8.792295550566972651e+00	4.140299795234429148e+00	2.783493466244532755e+00	1.704936786821351635e+00	7.824254708675150383e+00	4.218788548247852432e+00
