G	c	dx1dt	d2x1dt2	dx2dt	d1	Fc	W	Fg	d2	m1	m2	p
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	4.538754077912353857e+00	6.800793478236524692e+00	1.638622984626795454e+00	6.842338735214126721e+00	1.351982686206623097e+00	-1.171243988691717419e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	5.248985476934725725e+00	8.895584887957099340e+00	1.627164728836453689e+00	2.543607220274156866e+00	2.679464307947452273e+00	-1.017651272470896373e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	8.685479483166165693e+00	1.050637657045102280e+01	8.542333031134272670e-01	8.849729976913222274e+00	8.484217925598203536e+00	1.716661434960904842e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	4.057026247663830354e+00	2.993377660627526193e+00	8.408947377365678655e-01	6.514259426697264210e+00	7.895690987161854579e+00	6.783883910735930556e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	8.825491637635892062e+00	3.784175795179941737e+00	2.904359998878681126e-01	2.408527332221137573e+00	4.156170801915128443e+00	1.368260130643528498e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	1.787012320523241771e+00	3.631780758046357693e+00	3.447146271217378932e-01	9.659519249903276261e+00	4.395540804832704040e+00	4.427347633769263524e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	7.988493277182023178e+00	5.126347428670488426e+00	2.126325786088563707e-01	5.660588264393029867e+00	5.785462262805141087e+00	2.512472096959179879e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	8.621723899153668214e+00	1.246612486786820817e+01	1.015835526314226023e+00	1.656154907495335893e+00	9.997802646249689396e-01	-4.766896601141469070e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	2.635668612339264083e+00	7.501565898285832645e+00	1.973334014739304587e+00	6.641643977801026111e+00	3.171078070102508306e+00	-2.112606416499879813e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	4.867231617384105036e+00	4.836052161532141014e+00	1.365321120162983348e+00	3.275410252394462596e+00	2.873037809919602559e+00	-1.419184404645915087e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	2.484840725910518966e+00	1.725438827550927590e+00	3.971687061232486715e-01	8.231225559018513493e+00	3.262129389796973200e+00	-2.748901181435010344e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	7.352257482767334373e+00	6.568953253324418817e+00	9.823325361712011983e-01	8.359142892504456412e+00	8.247149446957065422e+00	1.446644726950395032e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.497944509141287739e+00	9.490314854603212780e+00	9.162707364795755538e+00	3.760287431086229759e+00	7.270912331221567548e+00	5.817287777492174961e+00	8.818788579817953277e+00	8.951466137343696561e-01	9.814931584044735757e+00	3.513746890045414517e+00	-1.181915690146071540e+02
