G	c	dx1dt	d2x1dt2	dx2dt	d1	Fc	W	Fg	d2	m1	m2	p
1.000000000000000000e+00	1.000000000000000000e+00	4.629302474423911740e+00	2.370699739312849275e+00	3.949354150846201783e+00	7.040814096632677099e+00	6.129453521159459406e+00	4.441773977017945185e+00	6.419787259629680776e+00	1.617072148383102981e+00	6.681407476846194626e+00	1.797194556381745079e+00	-1.170879912581595228e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.706536727141150678e+00	5.992986801803766639e+00	3.131759590892654099e+00	8.562265066812367209e+00	8.367745723827281878e+00	4.958193780887572011e+00	9.345210328392052901e+00	1.591873492253817135e+00	2.371352698422128924e+00	2.817087296825178999e+00	-1.015691417097986360e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.736324742773260432e+00	9.531454682977139825e+00	8.885044532352530666e+00	2.387165469284266983e+00	7.897061018674393473e+00	8.198145395548134928e+00	1.016107680127524127e+01	8.820674457193272699e-01	8.495199833256535271e+00	8.730013661979764805e+00	1.715486310416723015e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.298100110689214937e+00	7.928795872065919070e+00	3.366929814024524070e+00	6.960220047928677545e+00	2.305301188903738030e+00	4.598615765121405019e+00	2.569573752464135552e+00	8.328679046258354868e-01	6.290681478830656204e+00	7.842012137631097168e+00	6.809659176490211685e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.680440664052745170e+00	8.697789803598476865e+00	3.584756638081188829e+00	6.394787423233350587e+00	2.841915211644484351e+00	8.840262736187000314e+00	3.722493031730029767e+00	2.402501102250969300e-01	2.415182872960962790e+00	4.122973554309600885e+00	1.367888709454926186e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.307565464767649566e+00	7.023547571733995909e+00	7.814216957687353471e+00	7.998575157310193084e+00	3.520686452875811057e+00	2.504072618150106067e+00	3.186654105885320831e+00	3.550265805338534419e-01	1.004557741441305474e+01	4.608053686132865145e+00	4.430733166484847629e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.054635011063992600e+00	7.322974035521393255e+00	4.986848354742477341e+00	9.406311486909984865e+00	4.459899696878581565e+00	7.760961541328672553e+00	5.657331919501783268e+00	2.336744965438518340e-01	5.406066177441365639e+00	5.991923056906102829e+00	2.515017782533092827e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.737460583966752736e+00	8.355288829197055733e+00	8.252370859276940251e+00	1.395905023156521985e+00	4.968350703065066654e+00	8.510302630722451411e+00	1.237415014946095759e+01	1.143371060830872032e+00	1.349047386390826997e+00	6.686911583654704394e-01	-4.785373820705425274e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.532752830851846326e+00	3.511768796202549225e+00	1.352631842063758194e+00	7.218231103676568949e+00	7.299243692956877361e+00	2.423668166144579139e+00	6.387538217109264949e+00	1.978761818632025271e+00	6.478446242909683406e+00	3.205285446301697760e+00	-2.114502589231296170e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.937875459762010699e+00	5.384468609548628493e+00	5.294009462549668754e+00	1.044525906966250250e+00	2.071931062110187405e+00	4.697353621668518997e+00	4.901488646636881441e+00	1.364767339042539218e+00	3.370577297622720625e+00	3.000632653384107229e+00	-1.422322669525719974e+01
