G	c	dx1dt	d2x1dt2	dx2dt	Fc	W	d1	Fg	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	4.549685007400194436e+00	5.698894796722906442e+00	1.115708371170147473e+01	1.220923434071936597e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	5.254089809311844661e+00	6.600030686737092367e+00	5.851141937548629102e+00	3.089999491564516809e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	8.698374686225065489e+00	2.348028902896609704e+00	9.481835748616944670e-01	1.010549732698574399e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	4.059251755501829706e+00	6.023520079256807769e+00	8.966070991092186304e+00	4.589269339719671825e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	8.829143206372663144e+00	5.886260182626265269e+00	1.647835746220093611e+01	1.256399559034736546e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	1.790485162730868440e+00	6.587876502012771418e+00	4.269992277848857931e+00	5.546898607536675935e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	7.996249920441880654e+00	8.621344065884729346e+00	2.051496490719483745e+01	2.913101483145000836e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	8.630156605047833551e+00	5.616371172664915701e-01	1.360744380342086834e-01	4.302926331748606614e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	2.631892288358916865e+00	4.370393902959216703e+00	3.519643092348399005e+00	4.717546661791439111e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	4.866726281622685946e+00	1.157205525613351993e+00	1.011275127357692316e+00	2.332591825652643724e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	1.312768540130596406e+00	2.481486487398042229e+00	5.409397180328850752e+00	2.039441786792197320e+01	1.436677421489534201e-01
