G	c	dx1dt	d2x1dt2	m1	m2	d1	Fg	Fc	d2	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	1.259496732765044813e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.616981282281581223e+00	6.014736678533239456e+00	6.899564804082904956e+00	-1.523044625377356454e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	1.235134524900207253e+00	8.118467095624289698e+00	8.240766619925544489e+00	5.260937660889593026e+00	6.365040146910138752e+00	2.597489300517441979e+00	-2.537660705214968573e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	1.640961103837926816e+00	3.189517433744827990e+00	7.785083071848438507e+00	8.694258633418957771e+00	3.404785013653085279e+00	8.853078352359752046e+00	-3.464730680571478274e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	1.242279951837453655e+00	6.626763828577174387e+00	2.298566519770745220e+00	4.017930484268439351e+00	8.409490565352221836e+00	6.610594485279080779e+00	-2.541930913054943915e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	1.259243568589156981e+00	6.149183962500944567e+00	2.301185821780269869e+00	8.797075804107748809e+00	9.663442458277856417e+00	2.462323444422481966e+00	-3.339233204342166346e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	1.604640625821581956e+00	8.487501121341773924e+00	3.391229401489571860e+00	1.770807793049666623e+00	5.866725495419897740e+00	9.637206433070737432e+00	-3.738046370615344927e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	1.417547769176505046e+00	9.139112723832143459e+00	4.294337465739364923e+00	8.070348225223421323e+00	1.203270170292625352e+01	5.590201262486921507e+00	-5.424880686016206255e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.593921648907348887e+00	1.202021655610217454e+00	4.615048154309911332e+00	8.623985739033633635e+00	1.400241127824822129e+00	1.633510234065791655e+00	-1.319389404503041874e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	8.937211343362752025e-01	7.089241603313586992e+00	7.201907005759282221e+00	2.563822086363942265e+00	3.803642843195307321e+00	6.663981402340095173e+00	-1.065335519561832598e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.442914841221229372e+00	1.573202409845798622e+00	1.437289905690196656e+00	4.887127989874214151e+00	2.367633005037525162e+00	3.311276543654855242e+00	-8.848927133779122300e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	7.670371142698152456e-01	6.008421830900613436e+00	1.439049172829825807e+00	2.534829736885894302e+00	7.805409956398049687e+00	8.307175163799769280e+00	-6.182480666830836924e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	8.785002619108251976e-01	3.680899009813482614e+00	4.621183166844911483e+00	7.358043046436238299e+00	4.416047266667685101e+00	8.300857771842148125e+00	-1.198064029730222586e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	1.618035012767205627e+00	3.702824696602768029e+00	7.282162482060938302e+00	5.898733609803107569e+00	3.386607632278603397e+00	9.786637117935988783e+00	-3.544592710755776466e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	1.041560501497945213e+00	4.208737102683922870e+00	2.651169081558188978e+00	6.760565648132291550e+00	5.901580837427906623e+00	5.452764614831227874e+00	-1.291550450300375417e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	1.497108723833004307e+00	6.568258953104088249e+00	6.770521410218030667e+00	2.710825605222531465e+00	3.739111927365720511e+00	5.021784194226484033e+00	-2.361451526468748057e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	1.400138798755220515e+00	3.916404322463208132e+00	3.317382214550583797e+00	2.875460161112637358e+00	3.803969073782478727e+00	7.747128494224779338e+00	-1.927187079765573969e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	1.364843681845285372e+00	7.675275728011094145e+00	8.905365218824428553e+00	1.385887111917115444e+00	1.955484680494149252e+00	2.212178807905623490e+00	-1.009901219766015430e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	1.622918584716381174e+00	4.624847790974027539e+00	9.077060642789202660e+00	3.807197672552654399e+00	2.926390671288640721e+00	5.964201776745769124e+00	-2.318325377764535347e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	7.472961816811332092e-01	1.558062187586774394e+00	3.630721427809218582e+00	6.056155087414038185e+00	1.981158678423513342e+00	5.864640027213500417e+00	-4.956319878598854700e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	1.559802705633113407e+00	8.031396681685693650e+00	3.031003240954921907e+00	8.624770640099782781e+00	1.203081809555490622e+01	1.761235284006016588e+00	-2.725506659349534857e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	1.641059223790293453e+00	3.528722318970904936e+00	4.690641480885077819e+00	7.058494435673138945e+00	4.198943414526605800e+00	4.665038312820835031e+00	-3.542495964359515028e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.172230325252923144e+00	3.728240391070931636e+00	6.096455053458181617e+00	1.516858846358923429e+00	4.857349444663392468e+00	3.133469285610020805e+00	4.968341581093262072e+00	6.013088438721270634e+00	8.691223477598263969e+00	-1.904045330066022359e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.626293109120901637e+00	9.194962663206332820e+00	9.456845314513040890e+00	1.657153501367031323e+00	7.156998726524049559e+00	7.164650698279015906e+00	9.605774246098651048e+00	8.285599276378285083e+00	8.665555857707596843e+00	-8.563521131554775820e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.316908599076862529e+00	9.659241458861918872e+00	1.448599150411121972e+00	8.250993517294419322e-01	4.085800934397087580e+00	8.405402063031177207e+00	7.436126903629286744e+00	3.796737810133508972e+00	1.983604220879758406e+00	-1.328800932032839341e+02
