G	c	dx1dt	d2x1dt2	dx2dt	d1	Fc	d2	W	m1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	7.162813247497169300e+00	9.215515876376626281e+00	9.125631336025680440e+00	7.048946745706731187e-01	3.705911503677516983e+00	7.599995211178309340e+00	3.489138678159480378e+01	4.685462262211959050e+00	1.173628905048628823e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.780277870909035887e+00	7.820516300167693835e+00	3.688053927631090634e+00	2.887564867232518817e-01	5.989127940991766152e+00	2.411835003681295664e+00	1.757493638923681090e+01	5.214440134474309652e+00	1.023271623042959177e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.324188783992514384e+00	7.334532782647372073e+00	8.052663903364774001e+00	3.479776074013192222e-01	8.201892476829492296e+00	3.700133956520666345e+00	1.198458281327000918e+01	8.600862917564034760e+00	6.426939117854757910e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.343108811859741847e+00	7.161569153076108307e+00	4.637410542796599699e+00	2.544085308904027176e-01	9.290637627060130299e+00	4.023621053539660153e+00	1.571029317478287979e+01	4.002320108403828236e+00	2.612405016320003881e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.582063089513550125e+00	2.934915657929233923e+00	2.058021771519485288e+00	2.095794169858843148e+00	6.889532876613557733e+00	7.237929618507007667e+00	-5.986882039445919901e+01	8.829097496196053996e+00	3.901985254138779879e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.530641456124331778e+00	2.923674061701908133e+00	8.495959836154055589e-01	3.732974280676584211e-01	5.731250928202817008e+00	1.549609274633348299e+00	2.048544893603208905e+01	1.583192403584795516e+00	2.673311465664998110e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.751884596100747871e+00	9.300187946415389817e+00	9.450480252788294067e+00	8.424133694665483230e-01	3.897263062461326033e+00	6.982483892886392596e+00	5.160356541971373900e+01	7.613771811364160591e+00	2.309937932357550494e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.753128329345083891e+00	7.469957396710133146e+00	5.307999902708119500e+00	2.880894540847685481e-01	6.313343706548601553e+00	6.734749343848813297e+00	2.292934693723155704e+01	8.937609914361415164e+00	9.088895146701672090e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.903386222931032989e+00	9.151122416992460984e+00	4.891591520866864329e+00	2.961667582952882682e-01	3.616680348236123610e+00	3.420505482426143828e+00	1.214132933134394676e+01	2.531545010834581166e+00	4.702015417387232610e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.339015740496921847e+00	2.105741090158498530e+00	4.719844341498912854e+00	1.452973226355724012e+00	8.055935092530411623e+00	8.757727674151269071e+00	8.724985887610762347e+01	4.918547927789194141e+00	4.258610492079387910e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.601458334506554060e+00	6.051575172227657617e+00	9.030582389251321729e+00	9.033863474709920016e-01	4.795741957797862831e+00	8.821528201165568461e+00	2.994604409767343611e+01	2.567083411990080499e+00	3.148650888723078189e+00
