G	c	dx1dt	d2x1dt2	dx2dt	d1	Fc	d2	W	m1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	6.689046733707538550e+00	9.399340022792891602e+00	7.919920153455559664e+00	7.961152336379302419e-01	3.455728048738996083e+00	8.642544210547121963e+00	3.641301638309548139e+01	4.747115526387009510e+00	1.161747532680917949e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.287932729144197541e+00	6.676780588755278245e+00	3.827882532041659402e+00	1.675842515275633993e-01	6.515490555412296381e+00	2.767185647705263651e+00	1.879756414136240750e+01	5.500273786836658019e+00	8.090814597564902400e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.944508758913138458e+00	7.278482266050380289e+00	6.696114539306678992e+00	2.095872763718890086e-01	8.092547110542664512e+00	2.841526719736315876e+00	1.177557070119451410e+01	7.624381416115934229e+00	6.165156298854586936e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.356298223831989169e+00	7.245687382461149184e+00	4.902103950022116408e+00	1.057262801740088132e-01	8.918991054157878295e+00	3.949001091994428947e+00	1.188433250281835107e+01	4.081110218457234318e+00	2.582088997747392867e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.849920935078000817e+00	2.534476402055121369e+00	2.233288518767543085e+00	1.998648074364243632e+00	7.847474115010291129e+00	7.240625940517329440e+00	-5.934108730967582090e+01	9.052506387895002504e+00	3.965966364126184374e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.382031458252346745e+00	3.469233707494275620e+00	1.778749777568697121e+00	1.373935937522544615e-01	6.561267198252419774e+00	4.035564784534005911e-01	2.058894834590257616e+01	1.747678319111001466e+00	2.283319245535311293e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.226394705461839152e+00	1.071721563012025591e+01	8.734071775229656609e+00	9.473593765397239075e-01	3.872499316918171619e+00	7.457873392319355865e+00	5.084207126503547158e+01	8.185936262455573598e+00	2.198767883805714263e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.588770751490419464e+00	7.652765000524958339e+00	4.778656334652250592e+00	4.366028056908219934e-01	5.395184544740485144e+00	5.813028863730789197e+00	2.224881392637722399e+01	7.898137608396002207e+00	1.076246877628108933e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.021007367496712170e+00	9.925258137922837065e+00	5.024810631418473506e+00	6.661343316788911895e-02	5.349728592610920153e+00	3.896485355797855377e+00	1.466053451200540536e+01	2.214349882761492694e+00	5.028639699630873316e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.028834404659302315e+00	3.605619156150170035e+00	4.982166533100540029e+00	1.305490119898008894e+00	7.583629479494472747e+00	9.469470410542450978e+00	8.508624376983004822e+01	5.436043535101259039e+00	2.466377811916164120e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.068325576794124210e+00	5.660304543927004772e+00	8.676131957017032548e+00	9.460402852277808305e-01	4.473545126893900381e+00	9.336444015068090962e+00	3.174381428406029926e+01	2.489808911029508742e+00	3.240247287165623380e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.472899523996470617e+00	2.960243039524301789e-01	6.461763086231575137e+00	2.756308304785120900e+00	7.774412840958583537e+00	2.701417793873092332e+00	1.792055470300552855e+01	7.544304522835536098e+00	2.597181466956288709e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.490717202213970083e+00	7.633753550741311678e+00	9.335773219114402721e+00	9.570460913752397714e-01	3.773154754688659462e+00	4.794539675665568268e+00	1.794615653859364812e+01	5.520865497463702809e+00	8.399170180161407373e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.752949549266985318e+00	3.541577606363477848e+00	6.406079390313580646e+00	5.964582513151819310e-01	5.101696354896599672e+00	2.884862674704125940e+00	1.033154216668894421e+01	6.728513331355714833e+00	4.317006748641790459e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.128320412572666243e+00	8.572776890442639797e+00	1.021493715903547184e+01	5.424667172625646794e-01	7.677513852110288362e+00	6.489397499580841000e+00	2.356822795421124184e+01	1.516269611657601990e+00	1.943647197282495132e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.375117647401205900e+00	5.225446822061256213e+00	2.550812548168937433e+00	1.492401239359209431e+00	3.869911440442308059e+00	8.234452739903641572e+00	-4.504625059532304476e+01	3.365876537642719324e+00	1.160331366153861055e+01
