G	c	dx1dt	d2x1dt2	dx2dt	d1	Fc	d2	W	m1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	7.576915087463573784e+00	8.861007444529549915e+00	9.158331922749608722e+00	8.586889008158878900e-01	3.252348693344105257e+00	7.839974182313301121e+00	3.468750914929310625e+01	4.541728870076418012e+00	1.111085288807932514e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.413665257924980434e+00	8.259908834855131943e+00	3.438574209945894467e+00	2.904062644177326513e-01	6.145313045740695479e+00	2.343095915648671035e+00	1.746864110774679091e+01	5.262450499788538849e+00	1.010784912620155929e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.405324002706849651e+00	6.922138108883440388e+00	7.831766296205295852e+00	3.459734588148771217e-01	8.493501536233821980e+00	3.424218722878836552e+00	1.224536658247616572e+01	8.689441598585029070e+00	6.150387677547146659e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.519141076391451017e+00	7.231637905887861706e+00	5.048365801137156161e+00	2.106511113962236392e-01	9.159100669439673936e+00	4.253418204760000876e+00	1.465974363279404891e+01	4.063221524697357090e+00	2.945797347248110487e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.410765899022026204e+00	3.252787047021409084e+00	1.599167120635005324e+00	1.974659713441726749e+00	7.072168810344358292e+00	7.125650399000262425e+00	-6.012425430914814228e+01	8.828376622828221443e+00	3.855995612586682597e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.186079894366759202e+00	2.988843614405717997e+00	1.295454980783707244e+00	3.958141547809815863e-01	5.941242124893154397e+00	1.315312443675197063e+00	2.073920250359977047e+01	1.803177567982015672e+00	1.634025194013670079e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.488882311488804788e+00	9.503876633546031627e+00	9.164162160211352770e+00	8.948699774269708307e-01	3.759174324330171846e+00	7.270594814236372549e+00	5.213666251873301150e+01	7.982862418285121109e+00	2.346680453122703724e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.637345194134323556e+00	7.357201920718075883e+00	5.800711910298139706e+00	3.590593576442625001e-01	6.591410915092977163e+00	6.774178955538318725e+00	2.298080364590169111e+01	8.627262744769311098e+00	9.636627700121001894e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.647815286375863053e+00	9.336276347148640298e+00	4.695850932079369322e+00	2.829749308183422962e-01	4.006554534132868106e+00	3.339741261027743491e+00	1.277993617430855622e+01	2.631417342786285030e+00	4.622158721313168073e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.736299535644744374e+00	2.626836941125059610e+00	4.124319988703001094e+00	1.424599775258973189e+00	7.589999024921799453e+00	8.969654188151608309e+00	8.656934273466616503e+01	4.876404658155902183e+00	3.874144829215963259e+00
