G	c	dx1dt	d2x1dt2	d1	m1	d2	m2	Fg	Fc	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.278727066305657356e+00	3.362529227269506205e+00	7.046510438920880581e+00	7.216045279127780709e+00	6.158977576974193902e+00	-1.239347223597260239e+01	-1.849791794836552015e+02	2.207922121711669305e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.247888137924778817e+00	3.228111660505414982e+00	8.172540729210112431e+00	8.104108267669904109e+00	8.258865286458794586e+00	-2.423818866856023391e+01	-3.910051253305878163e+02	5.354936197284012422e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	1.714868415945896230e+00	9.146384317726019120e+00	3.256439049751909121e+00	1.736756885516173909e+01	7.840397210543536666e+00	-2.473869633185888972e+01	-3.906380386411501604e+02	1.215204791734422400e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	1.685508069968241207e+00	3.251896550426094379e+00	6.618770731215303904e+00	1.277008184057409146e+01	2.375392051991081832e+00	-2.214805351893325280e+01	-2.751841154324919216e+02	2.872794791823936578e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	5.805563028205621423e-01	3.437395880821720429e+00	6.151782065343351036e+00	3.638869548269215670e+01	2.330482818078352558e+00	-3.892804884482595185e+01	-2.427914246222697443e+02	-1.978460613350702246e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	6.970443616750552351e-01	7.839543450901332200e+00	8.499834268303112950e+00	9.592677316003766919e+01	3.410224676123519316e+00	-5.221715121163226314e+01	-5.703268370508883436e+02	-5.829217936646402620e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	4.166737069362194124e-01	5.045627802004317708e+00	9.160066038077991024e+00	1.097172569637284880e+02	4.248593643255595964e+00	-1.025976662992464412e+02	-4.639665883745456654e+02	-9.426139959712475047e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	2.031302688465518091e+00	7.994274154151257861e+00	1.109458890075406545e+00	4.367430279643982338e+00	4.683184668801013473e+00	-1.509787916359186255e+01	-1.695020293644420235e+02	1.362139674311957265e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	3.948638077233836530e+00	1.580938104534566291e+00	7.058516506795751155e+00	2.847706265430691719e+00	7.122001841128161814e+00	-1.213319663294417872e+01	-1.795855610970621399e+02	1.754454952593134820e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	2.728243775201186772e+00	5.394607519556850583e+00	1.471815779731958429e+00	2.870152892061172967e+00	1.511362553618170068e+00	-1.008356617553950585e+01	-1.261648513449965776e+02	7.649490610477296570e+01
