G	c	dx1dt	d2x1dt2	d1	m1	d2	m2	Fg	Fc	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.161943116752802041e+00	2.734555616788662213e+00	3.518487924085726970e+00	3.742147872224292904e+00	6.880667023867019338e+00	2.500136950631633326e+00	5.932054669401844116e+00	-1.160250588052499765e+01	-2.328379494773892873e+02	2.045864510285224469e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.620865810779672955e+00	5.827883696239981148e+00	3.532064245768143262e+00	2.452412051972117535e+00	7.139375656130640735e+00	7.293988370647648267e+00	8.239113527999919029e+00	-2.958961127661050483e+01	-4.300480240959809635e+02	5.666334732460428825e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.306263395295191643e+00	9.024883893503329091e+00	1.489925347273564515e+00	8.500245226387892927e+00	3.300780537005412185e+00	1.898486581484084468e+01	8.548610128904700289e+00	-2.476315934241452865e+01	-3.925017534814983833e+02	1.222861139576818204e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.086177652912054370e+00	7.839932606925028580e+00	1.640423251258685600e+00	2.453634557170730535e+00	7.343914997412244183e+00	1.600354249256195160e+01	1.622900925248003556e+00	-2.385148652186493479e+01	-2.356354904516051931e+02	2.080690400191636513e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.937451263341116281e+00	7.323422347987421865e+00	9.169350184997852038e-01	3.562888278806526365e+00	5.173679963328959630e+00	3.680561240913742438e+01	2.696183921141555473e+00	-3.480788312451934985e+01	-2.099302565338774684e+02	-1.449318576890668453e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.137628550495702662e+00	6.214269200005397842e+00	3.599854383173474726e-01	7.341276375805857235e+00	8.565104593271163580e+00	9.889733673605852005e+01	3.307082767738164009e+00	-5.487875110302708492e+01	-5.866334088652145056e+02	-5.520013184355605063e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.760152374161480626e-01	7.654048949235193078e+00	7.282518798368220470e-01	5.721489447325920352e+00	9.516656067025216714e+00	1.105414612147926334e+02	4.995087948826332003e+00	-1.022620252375944432e+02	-4.250495560996291715e+02	-9.360564008789272350e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.431815204628085425e+00	9.490769513975205740e+00	1.875976394204586617e+00	8.396026413344170436e+00	1.551335623771314065e+00	4.588051219093307154e+00	5.392602597368909123e+00	-1.631678958380533118e+01	-1.779473755574204574e+02	1.368340953338576753e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.458044229940509418e+00	2.708827915379085294e+00	3.715854834345316604e+00	1.698796954490126909e+00	6.662238738273676297e+00	1.518434327678783502e+00	6.895512543457253507e+00	-1.362263278902108432e+01	-1.889459201874666974e+02	2.009923408761774510e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.393906807243755708e+00	5.548857884359371440e+00	2.719501446475106832e+00	5.555971154300521242e+00	8.698433149961741773e-01	-2.270144194114610769e+00	1.449782028254569255e+00	-9.091849733923057286e+00	-1.228829801760939517e+02	8.546510793812440454e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.327638277009413503e-01	3.439877763581683290e+00	4.890333805536581369e-01	8.812490603543741141e-01	5.621934721593703443e+00	1.241086554448934010e+01	1.798337555331785742e+00	-1.563231064459426278e+01	-3.457586279411681573e+01	-3.300517272600389518e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.488378644421809227e+00	1.002116795968727914e+01	1.452190443005869414e+00	1.142746539095819802e+00	4.233357757375029173e+00	2.736947557746443493e+00	5.062804892606465046e+00	-1.850410703148410718e+01	-2.109856089150592027e+02	2.871286917172080777e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.035807619828386095e+00	9.358141489846916627e+00	1.809099819483965810e+00	9.550541162234610582e+00	2.835542747357351345e+00	2.226585107370753747e+01	5.927721183892411538e+00	-3.235117962516997636e+01	-4.829678534139788439e+02	1.315786612060061032e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.458643795575384594e+00	9.984377301905111857e-01	4.442447223803030809e+00	2.757551586935396148e+00	3.518377944542935509e+00	1.329449412032768230e-01	3.225451610972920324e+00	-9.275042963803943330e-01	-8.095798968455903832e+01	1.155869912069577410e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.719465965872584601e+00	8.454612728478133832e+00	1.047635741302189949e+00	6.179550950383513097e+00	6.343282894448483589e+00	5.847901342368859190e+01	7.670370439026870102e+00	-7.039468426800331713e+01	-4.219785992169749989e+02	-1.971628437249596288e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.455790787414014353e+00	9.380757448223317141e+00	7.333128588778515811e-01	4.440021075282477803e+00	3.478282230130358865e+00	3.259073981179080448e+01	3.477682330076897976e+00	-3.898494241845304487e+01	-2.162470184800968696e+02	-8.655608410459167956e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.586332020431109324e+00	2.841552619601009244e+00	3.382046218805731641e+00	3.910015524998856407e+00	7.571732443801333368e+00	9.503220307948406997e+00	9.492331127296829152e+00	-1.939135732943912771e+01	-2.276032195428200282e+02	1.784286095265955652e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.035735152287427852e+00	6.291931382090279357e+00	2.242673522311317225e+00	8.584016483551822674e+00	5.406482466544568766e+00	2.208118118106254713e+01	9.757741300383388605e+00	-2.291962874261644245e+01	-4.394858836886263589e+02	8.371299179904190169e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.344891405100093529e+00	8.787433667055543296e+00	1.258545820149239658e+00	1.620613567974927838e+00	9.635066797999911614e-01	2.195759054549702327e+00	3.796285779062133603e+00	-1.969848362041033951e+01	-9.316064542826676131e+01	6.083327074807503010e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.472364759460242034e+00	1.333786336789246407e+00	5.674685073325067108e+00	5.891059768506511141e+00	7.974605073638005415e+00	9.973863945361939543e+00	3.513451070249824060e+00	-1.292852232452347039e+00	-1.056727167812283597e+02	4.370708270516369254e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.328684010070051436e+00	7.097513783917300145e+00	2.122622470466377642e+00	8.453447432382750648e+00	3.567358360497468794e+00	1.819859576093282527e+01	4.708646019021052176e+00	-1.911717804357623862e+01	-3.482136518825465146e+02	1.048628484016349631e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.154589694155054858e+00	3.486911667354088973e+00	6.256769864989539798e-01	4.934500166868774684e+00	4.713777822282312790e+00	2.019369134216243822e+01	3.136368549601472822e+00	-1.960596739977956915e+01	-1.696658095394763563e+02	-4.978315422910449151e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.476897623500960322e+00	9.495895066675473117e+00	6.483995845874455100e-01	8.248283803322564722e+00	6.314534251655720354e+00	8.506921070384986194e+01	6.691116420850153013e+00	-7.673373038069745178e+01	-8.085718441613142886e+02	-2.009474278928555435e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.532380885306380947e+00	9.230137763173095422e+00	3.773892469770973035e-01	2.219686824194137653e+00	3.646826508969086333e+00	8.979016156426139261e+00	8.528826585451925624e+00	-4.608729019387941861e+01	-1.725560198686563069e+02	5.766189584005409152e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.690982797126163284e+00	8.828155837352511526e+00	1.255038751767912908e+00	5.203586374348829757e+00	1.165610159251932343e+00	4.791161607837642222e+00	8.085590268146846782e+00	-2.295898097750904299e+01	-1.309731985269179688e+02	4.410915088232265191e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.276131273463555260e+00	5.547601730868889192e+00	2.860678033862805059e+00	2.679596843449495225e+00	4.708228894818659249e+00	1.043719043924427492e+00	7.927569755298661036e+00	-1.704267932252068007e+01	-2.223395169577904085e+02	5.081913113791983960e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.002324779185666870e+00	8.462640607673350246e+00	1.459316099830022972e+00	7.518896220318437074e+00	9.727171266105157699e+00	1.104169206255204614e+02	4.908936928305196012e+00	-7.928630269185556756e+01	-7.614191935405307277e+02	-7.525784730133234746e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.035500184564738468e+00	8.409006971311997702e+00	1.167971249236795295e+00	1.064103217677187274e+01	5.935510147973925399e+00	5.070934573694511016e+01	2.581675298610393909e+00	-2.634657159590751618e+01	-7.129922186949684146e+02	6.023383873290009660e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.025010979341048234e+00	2.798884697420530365e+00	3.299507626830041396e+00	3.584962808295596215e+00	6.833740895149486683e+00	5.480948801312774954e+00	8.444889532377880315e+00	-1.864117725258192593e+01	-2.164049413247183224e+02	3.272930908840686470e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.117284369258245924e+00	8.996017221399226216e+00	2.259107509352855370e-01	8.055056306556627632e+00	6.419732454734354832e+00	1.368572836240162758e+02	5.150039872917768768e+00	-9.801380788946944733e+01	-5.123962098366583859e+02	-1.193094915764114603e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.657089299212261224e+00	1.624587090056223371e+00	9.570940117103395650e+00	2.719784912529016108e+00	3.849079192179680753e+00	-9.291480227434756323e-01	6.537988289012717225e+00	1.859273569282330785e+00	7.310244979600781789e+01	3.137434782923051557e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.585306616990700412e+00	6.760338603190353624e+00	4.575301500385672848e-01	5.726216349810604456e+00	4.923244878807780722e+00	3.861832848854573541e+01	3.123023314830560171e+00	-2.984000651214681454e+01	-2.605323404179505928e+02	-5.763550688832062008e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.515610883046821566e-01	3.285554815087076808e+00	6.849648559911463153e-01	4.578441571028115220e+00	7.175200323520057211e+00	3.993926047827451953e+01	1.448050779700920110e+00	-1.566552855723703352e+01	-1.903045679332513771e+02	-1.046544302178721786e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.441711884998021276e+00	1.241751506167685370e+00	8.558319365437313309e+00	9.761103724998907438e+00	1.491846201179862774e+00	6.841562532345406566e+00	9.669495276060384725e+00	2.592377535905524333e+00	9.961877141673691938e+01	1.910666428324886681e+02
