G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	W	d2	Fc	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	9.203052066682678500e+00	6.141816882249848675e+00	-5.273989088878440867e+00	4.545384576481003691e+00	6.836778300866514613e+00	-7.204165042102907535e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	2.423530027560034839e+01	8.255822110410710124e+00	-1.199264999498555362e+01	5.272479983937445880e+00	2.548767205776064415e+00	-6.105571095296047801e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	2.695321321116792124e+00	7.832950200795565365e+00	-5.542895244086190054e-01	8.695800720138109341e+00	8.866185790569041103e+00	-5.864066171403393213e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	1.303269499698583012e+01	2.396632094308385419e+00	-1.810306692536663675e+01	4.059553360915796993e+00	6.514948950628724589e+00	-1.369156042124508055e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	4.293386843417919430e+00	2.341005115860546049e+00	-5.611928722237112588e+00	8.826864704753441870e+00	2.412467594209704025e+00	-4.210129858948560511e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	2.621441105065206667e+00	3.414362478195523742e+00	-3.262007187676921660e+00	1.790330406314633249e+00	9.656283930181439601e+00	-6.690862252172816227e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	2.768843733847543120e+00	4.239366731699734991e+00	-2.982426298892857375e+00	7.985974082188767476e+00	5.672240536571023561e+00	-1.767015796569996056e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	1.237314686667349228e+00	4.675761778083037612e+00	-1.506167857952157296e-01	8.624896209464457897e+00	1.654058251855242023e+00	-7.610347956125933067e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	2.851081145189326449e+01	7.118519480518819442e+00	-1.416160872965537543e+01	2.632122731487372302e+00	6.637552766808325622e+00	-2.629520092314410817e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	2.000581168366774687e+00	1.509654569507747679e+00	-9.722484767006251971e-01	4.876703286822879235e+00	3.282635839408188705e+00	-3.119648380598360404e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	5.396174556784358423e+00	1.308987266708068642e+00	-1.223249998499826496e+01	2.483621201763360986e+00	8.225732254325366810e+00	-8.732806241533251068e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	2.232923041934538588e+01	4.522039182380646949e+00	-8.846385433795997955e+00	7.366751393654422664e+00	8.363799123568142591e+00	-7.471715684193516616e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	3.488797603570828798e+00	7.280631149599698482e+00	-8.977947287374161700e-01	5.822255772131677887e+00	9.820216621754923381e+00	-5.979110783064418655e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	5.394901710791076610e+00	2.741085894859378147e+00	-4.117216530891250059e+00	6.718022596185877049e+00	5.519908001703892175e+00	1.383048329724508108e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	3.006517478908139029e+00	6.781932727926480275e+00	-1.467617511618118042e+00	2.768384447959975958e+00	5.098081946217983607e+00	-1.965480694816495699e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	2.268709246124720469e+00	3.335585518041525699e+00	-1.353355796363103769e+00	2.902655414200440820e+00	7.786013385778220552e+00	-2.418388230848873022e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	6.869006483526608697e+00	8.972406675956651867e+00	-2.914959986038794693e+00	1.374957661804591780e+00	2.201536344776792387e+00	-1.875410619669778001e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	2.914525839541100893e+00	9.065651999360392566e+00	-7.573418054597869098e-01	3.904577291547904228e+00	5.928821176425579154e+00	-5.142410959717738450e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	6.604315344687111455e+00	3.666744579933914672e+00	-1.443645148013455337e+00	6.033844306796789070e+00	5.918620106365500178e+00	-6.521980234021983236e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	4.178205886834741811e+00	3.063334118294914088e+00	-5.476442566772734111e+00	8.713001764372226177e+00	1.810175079959737143e+00	-4.911011049508089599e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	3.575281594704617039e+00	2.397325279885033744e+00	4.707713693463406734e+00	-9.030721019999702337e-01	7.006205012208567062e+00	4.757037479306749361e+00	-3.307739843996643003e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.253530493387425615e+00	3.680012648666501907e+00	6.029807267174340346e+00	4.904091794858275399e+00	1.834941227950797948e+00	3.158400806941634276e+00	-1.412014751475904273e+00	4.920346440251176290e+00	8.683786056002436027e+00	-1.775939500772161637e+02
