G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	W	d2	Fc	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	9.217620522106157566e+00	5.891497177301700638e+00	-5.263457114023014860e+00	4.670845477162441028e+00	6.814079551759095743e+00	-5.587794679950799548e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	2.408188596108313817e+01	8.726744236557518519e+00	-1.227235111590150751e+01	4.516145004843828303e+00	2.525837854213339728e+00	-6.928546148357607848e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	2.362692019819491840e+00	7.449507108699926938e+00	-5.198306120055733448e-01	8.939534653146541388e+00	9.362632128181729740e+00	-6.634454951873627238e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	1.289310450101162253e+01	2.352085719640259587e+00	-1.846244903547579597e+01	4.279802679661924181e+00	6.266257324826442598e+00	2.725986737088154754e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	3.424836500872525669e+00	2.390488152193771310e+00	-5.855795232110928339e+00	8.727461482441022156e+00	1.779936190393361706e+00	-9.503722620168186808e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	2.325778088473354988e+00	3.173186806709712648e+00	-3.003868167193798566e+00	1.251667166978630341e+00	9.747383886685291543e+00	-7.243202007027568357e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	2.354014778754407455e+00	4.080480978929633906e+00	-3.110896020589521083e+00	8.057698742379114876e+00	5.991949707937195946e+00	-2.164358520039673195e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	1.117396611823349151e+00	4.893060465948545712e+00	1.431620618550098201e-01	8.717534705098049841e+00	1.715895528567869643e+00	-6.606861513991009183e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	2.767217184478341707e+01	7.509878901444386301e+00	-1.420466399128144097e+01	2.515530287514624153e+00	6.778089970477068071e+00	-1.983924493037709169e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	2.077453025515978435e+00	9.342152660053810731e-01	-1.404194398570396185e+00	4.924332208444362813e+00	3.483432866541011474e+00	-5.025323969350813513e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.555334045909417817e+00	2.617571943543568480e+00	1.656352898060207579e+00	6.224351410429409093e+00	5.742261076479433513e+00	1.361141250092086974e+00	-1.186743917383303426e+01	2.783513420901346347e+00	8.263407659469349298e+00	-8.073475096341194046e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.327244847490439028e+00	9.912885195753197820e+00	1.457698896005978018e+00	3.966724956627352139e+00	2.228245337022011796e+01	4.496335685252311087e+00	-9.261889786241363609e+00	8.017098993289536679e+00	8.511708201773684479e+00	-1.150056490983834223e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.295891110047316275e+00	9.525151677548125306e+00	9.477087007477404512e+00	3.521919166899499132e+00	3.672476636915774861e+00	7.303722347703376805e+00	-1.090507608084996249e+00	5.858426912571268907e+00	9.957294688655265347e+00	-6.292343112443638375e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.960001903277911683e+00	1.085415304121849500e+00	2.362983420104185051e+00	4.054025191035004916e+00	5.205877955327048667e+00	2.654647565493339467e+00	-4.173957803166663538e+00	6.809505654740509506e+00	4.984106917930214209e+00	1.506105059440418188e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.720998743356403793e+00	7.020074015774738108e+00	6.026992973584919255e+00	6.774448027228070046e+00	2.423969632861041390e+00	6.422079565359219977e+00	-1.144123397823882726e+00	2.542409980852664120e+00	5.125582460016422814e+00	-1.809011393169913973e+01
