G	c	dx1dt	d2x1dt2	dx2dt	Fc	Fg	d1	m1	W	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.324050220040057901e+00	2.501870559031354357e+00	3.314028038615841609e+00	7.034171959726844392e+00	6.121215345832491295e+01	1.092823909970237217e+01	6.126841764545581270e+00	4.278404210633022231e+00	9.648483530195962032e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.625449068596536151e+00	5.848007422691523516e+00	3.152318781550356608e+00	8.254876507928294416e+00	1.562379288363186731e+02	1.068095842266936302e+01	8.201078887413119745e+00	5.029589309955783349e+00	6.025696848042923648e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.523763487896014013e+00	8.808303850404261226e+00	9.154011839542327778e+00	3.283923944699122632e+00	5.001153998845364868e+01	1.592137284993678747e+01	7.841695078123958496e+00	5.730969760938141810e+00	2.570363935160114579e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.432961751031650799e+00	7.609440076078068493e+00	3.340618651420790286e+00	6.602533302839329821e+00	8.480846169618462227e+01	5.293192005985137172e+00	2.423085472648251137e+00	1.348579487412381983e+00	2.961270874424253066e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.448581572108500026e+00	8.441840257590818908e+00	3.452086499139788156e+00	6.208511626625244695e+00	2.890396513676908086e+01	2.044242039955411983e+00	2.303718493721214511e+00	1.341762100742942776e+00	4.575562017928583458e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.351225728805578896e+00	6.967723468256636465e+00	7.816274907015728246e+00	8.519584389427159010e+00	4.064499161600573274e+01	5.372184570160571937e+00	3.411542072627931521e+00	2.471413896503248164e+00	2.486160964640325588e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.630098817426910429e+00	7.382694804827872659e+00	5.089296570428975208e+00	9.104300599196694321e+00	2.755995479014577398e+01	2.022499902338626310e+00	4.212776972286180310e+00	2.900974262398954728e+00	1.032989173414521744e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.808116346725885393e+00	8.674402403990455923e+00	7.981653152680952878e+00	1.210034905164663499e+00	1.954664753501910113e+01	1.630569990707347827e+01	4.687503651298224661e+00	3.356286729383072931e+00	3.554163291280266321e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.445425798464731848e+00	3.211970527578249968e+00	1.691441688674936383e+00	7.080225832854731394e+00	9.136322632821480738e+01	6.440579400626712747e+00	7.087350323287902931e+00	3.005711739675292815e+00	7.163386308855895095e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.290000704059817593e+00	5.424179783292874646e+00	5.387924704870451720e+00	1.467539698438697693e+00	2.153767053746366145e+01	1.476691392400006464e+01	1.469843134443621802e+00	1.072536760035631698e+00	2.599745562148093541e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.299878541123292486e+00	3.089944678570707204e+00	1.341201406840362598e+00	5.893414794652647615e+00	1.402894389150184651e+01	9.848708803755241714e-01	1.275016908368553636e+00	3.935376920283546465e-01	5.167351389271065187e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.662911864759962555e+00	9.990793486712510330e+00	1.522212205536555452e+00	3.652547394764827260e+00	7.086474756119368124e+01	3.153724286533045262e+00	4.554611126092730444e+00	-1.199932697924644742e+00	-3.069176572843594840e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.547453790434571985e+00	9.464527146148121517e+00	9.185715915479182314e+00	3.788991460889635565e+00	6.438646647925915545e+01	1.632490941775246540e+01	7.269203340295086413e+00	5.250991884361322803e+00	3.184694752777235749e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.857211880980678576e+00	1.368926303316420512e+00	2.268398043192294544e+00	4.210689555047589572e+00	2.465086458364709898e+01	9.743866576827002746e+00	2.717582181561295496e+00	1.841359097988065852e+00	4.675586683734642435e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.602923113438775804e+00	7.270664207451181582e+00	5.788666068700397460e+00	6.564157462950586108e+00	3.589629959201602816e+01	4.362432593914018497e+00	6.787778897070130490e+00	4.671950193349362124e+00	3.294946820386359576e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.693330395946694100e+00	9.373112459983858002e+00	4.672155104878490839e+00	4.051602685420351513e+00	2.152438242097792909e+01	2.362540922219417805e+00	3.315874757584595045e+00	2.065816047546005674e+00	4.577169872035551634e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.793794517795652244e+00	2.711593651203589417e+00	4.090860137564620302e+00	7.643651353040758600e+00	5.562151724504752082e+01	1.186935766617424015e+01	9.036135822788271099e+00	6.442288627481858931e+00	6.097712818692024683e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.654002048424889182e+00	6.113721175618718640e+00	9.114090640204688398e+00	4.604542993141371277e+00	5.360080562136568005e+01	1.681092117096382665e+01	9.008163517962307409e+00	6.646856811063440951e+00	1.407362250303022222e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.946524893129399914e+00	9.202267065628840115e+00	1.231138396004644919e+00	1.538471803934545301e+00	1.486185367422415737e+01	1.448316545577764236e+00	3.665400599103186163e+00	-3.178427370282839171e+00	-5.388299644452744133e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.677619833176506425e+00	1.325548455710814810e+00	6.967085693506501087e+00	8.085310486350254067e+00	5.858996530620365206e+01	3.859304786702432466e+01	2.993426960214790711e+00	2.260020984355989526e+00	3.722598943902287516e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.455911113425622183e+00	7.300006306092438280e+00	9.686411844017802864e+00	3.486653742803119016e+00	4.548403073754808901e+01	1.711325397490978872e+01	4.682841682584516718e+00	3.340715788154156929e+00	1.793127108333097794e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.341968497265206839e+00	3.680655227744447977e+00	6.039420133592899198e+00	4.903131104767026294e+00	2.180865559161880896e+01	7.516699840443249236e+00	3.073295399477777856e+00	2.270058817980983079e+00	2.481343893146985025e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.550452203761682135e+00	9.329507960709305436e+00	9.436842423766542254e+00	7.144783893386057905e+00	5.182517349635129023e+01	7.399829630910275569e+00	7.092106062176097403e+00	5.127321549585054150e+00	6.151120557379941545e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.263441967398248877e+00	9.729854619157896067e+00	1.459253036537212722e+00	4.058076333093464605e+00	3.386199961478711629e+01	1.148970011279176529e+00	8.476333220864169959e+00	-3.143085120974439484e+00	-4.699110877692864960e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.130554962037783717e+00	9.553804923821877182e+00	4.770132253204566020e+00	1.488004795339384012e+00	1.520550970738013774e+01	4.939847206060997920e+00	7.100542520834498994e+00	4.577538509980244363e+00	1.458433533297788074e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.020386005323471679e+00	5.308885429422792512e+00	3.490396512298240772e+00	4.425230263008266718e+00	7.102688702713402336e+01	1.020532387040299938e+01	8.420726698953439282e+00	5.326464962561827221e+00	4.060574828484428167e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.811342744064965871e+00	8.703692300775923485e+00	7.594596040043624541e+00	9.472201152280677050e+00	5.272891037828171079e+01	4.660859996790093440e+00	4.525003377440558694e+00	3.297980447391568593e+00	3.944844253626415309e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.641157732261509850e+00	8.544723860787096115e+00	9.867304859410387152e+00	6.829742847369007386e+00	7.658501880740735146e+01	1.270914694106715714e+01	2.363258602725580637e+00	1.740847079158878152e+00	1.408077233122877203e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.321606082489852341e+00	3.857753015001637031e+00	3.332956697127173573e+00	7.154846362905879609e+00	8.863071965342854241e+01	1.083885848758060000e+01	7.724906204675809462e+00	5.091047610574769955e+00	2.202994736305755623e+02
