G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d2	m1	m2	p	Fc	d1	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.374739754671117531e+00	2.691978523706527682e+00	3.386301623862065124e+00	7.125152217701943513e+00	4.952323399903208467e-01	6.167492807182792802e+00	4.608528489826033692e+00	-1.440702362126107232e+02	8.484862496101034424e+01	2.416867409769823212e+02	6.816681770372075455e+00	1.431217820191719693e+04
1.000000000000000000e+00	1.000000000000000000e+00	9.594132609297359338e+00	5.881152358039933858e+00	3.170110324091506282e+00	8.162058304608546422e+00	3.944667010957436104e-01	8.250778950146626656e+00	5.307325449243943893e+00	-2.839945792826803768e+02	3.625372607560638585e+02	8.934092154438358193e+02	2.502058492824671188e+00	1.293731047469568512e+04
1.000000000000000000e+00	1.000000000000000000e+00	7.622439913424772229e+00	8.854515274899503297e+00	9.090303587885577130e+00	3.198193201534814900e+00	2.814553544089527293e+00	7.824906632520405303e+00	8.692466849946201890e+00	1.223163351832180979e+03	-2.341361300859336097e+03	-2.436402124424040494e+02	8.890592105124053290e+00	-3.442302368892836967e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.397102410846837728e+00	7.609231916196361745e+00	3.248870671749068073e+00	6.537867626908808738e+00	4.789263075295938088e-01	2.448970266742537039e+00	4.153377234575449606e+00	6.680668770580489024e+01	-1.257429663275687375e+02	-8.064735070688446683e+01	6.513196695986219531e+00	-2.638342901736399199e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.410681469277284883e+00	8.232995363018888568e+00	3.451087060261535555e+00	6.103913676562982005e+00	5.531150220375775639e-01	2.294018508160382108e+00	8.874740727173110244e+00	9.842566873753598955e+00	-3.014862336952857191e+01	-3.919483338481493107e+00	2.460096257488548321e+00	-2.595575250265642353e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.442944033228654721e+00	6.974753783924563244e+00	7.826452633308568885e+00	8.473271174376220571e+00	9.162979372594567407e-01	3.428543084884137393e+00	1.769170473310570202e+00	-2.510848646803142614e+01	1.815767474243736856e+01	3.007476549247823261e+00	9.680241489839991331e+00	4.276595573404158301e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.476283170609872020e+00	7.170637392593227410e+00	5.031674322623379325e+00	9.199173171749055911e+00	5.722490115442960823e-01	4.328907346116887211e+00	7.915457529129422909e+00	2.867941651383386770e+01	-2.373192982068686163e+01	5.720034003132876244e+00	5.622150993192977175e+00	-4.872850553256330954e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.887351864941223312e+00	8.619870893532700862e+00	8.084858086989127557e+00	1.048735161130183835e+00	7.201336197779273363e+00	4.637610911081019971e+00	8.605160294137627730e+00	1.747311750090346152e+02	-3.375402306689336456e+02	-1.754139244304424849e+01	1.714527682205058579e+00	3.336318040663644524e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.299236112840349122e+00	3.281008863865833902e+00	1.611819036603065580e+00	7.150289692823540655e+00	2.056413056516642190e-01	7.101103725191113547e+00	2.659035939683334515e+00	-5.926770174467024788e+01	3.484528122495249391e+01	2.778065525779089739e+02	6.594105327022137253e+00	1.350622539104810858e+04
1.000000000000000000e+00	1.000000000000000000e+00	7.451424458098204084e+00	5.341800634668111059e+00	5.496954733651928215e+00	1.394137120758092152e+00	3.677789437436661757e+00	1.637871407741571916e+00	4.905882279698015047e+00	3.310590719329179876e+01	-3.556121148102674567e+01	-7.997010401177413463e+00	3.312806530213226797e+00	-6.857323362130068745e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.182814869587420548e+00	2.903376064867130513e+00	1.372590226805105118e+00	6.065940085285774330e+00	2.312470383357905779e-01	1.337894174176059048e+00	2.564062715226074651e+00	8.447096269677402347e+00	8.641817550790428015e+00	-8.022890942131592595e+00	8.302957889199783281e+00	-7.926033763399168492e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.783451387318686798e+00	9.892521179325381553e+00	1.657927515231304660e+00	3.682103357589538994e+00	4.354115835822258695e-01	4.499622757160419262e+00	7.299388393215245685e+00	2.290672816493524522e+02	-5.179594366491015762e+02	-4.108240114571455024e+02	8.339477548616191172e+00	-2.361617118077613486e+04
1.000000000000000000e+00	1.000000000000000000e+00	8.511675938497798910e+00	9.402157450694453189e+00	9.098608990168715493e+00	3.768631259059667116e+00	2.456241614882237023e+00	7.318191782538936430e+00	5.794037056131905672e+00	-4.942550015424494063e+02	1.028853270160707325e+03	1.305685869762899927e+02	9.873409749930113222e+00	1.279646218698475423e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.929780451495338944e+00	1.282586835447407259e+00	2.285961175129498812e+00	4.087430693028896833e+00	5.507316655999739963e-01	2.709974330203909432e+00	6.653302518632335349e+00	3.453037435836871083e+01	-4.749141107220687275e+00	-4.320977059826186917e+01	5.538455259239979611e+00	-3.825032724412440075e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.666422664777591933e+00	7.392267059181143907e+00	5.767945554249483742e+00	6.588631727446396802e+00	8.634755829671164618e-01	6.688300174883528904e+00	2.694933760023763725e+00	-2.408298305523569738e+01	3.030755921584184520e+01	-7.952940158168635421e-01	5.140955783464259632e+00	2.071871205579673472e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.694429107940725654e+00	9.315842337173583232e+00	4.608014002119563024e+00	3.985508536627607512e+00	1.165093911889281131e+00	3.413205189139659090e+00	2.871269490995471685e+00	-1.155001479081881826e+02	1.801558008940488662e+02	8.403855902183140714e+00	7.735762785002904707e+00	2.721259254606242735e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.720382849643873779e+00	2.696691751112857194e+00	4.208694021975111887e+00	7.525309508561133676e+00	5.465883562911697524e-01	8.914691916542354377e+00	1.393588939100100399e+00	-1.153212327737499621e+01	1.179552960740374701e+01	1.361972186672190510e+01	2.203893370206298385e+00	-9.122570614809566791e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.778814406265605719e+00	6.044481371757843391e+00	9.082283432146253332e+00	4.656499913660027801e+00	1.936457035530281479e+00	9.194753009417572898e+00	3.940927910313931193e+00	-8.286566368062648280e+01	9.941898642368046524e+01	1.871760620386729812e+01	5.845643100801054537e+00	2.645054113082719027e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.828810269055450632e+00	9.234167963572383897e+00	1.138151534636780760e+00	1.570591905178417624e+00	7.455968619186659208e-01	3.648931160435522791e+00	5.985673532854984380e+00	9.411354607136985351e+01	-1.666378621679242542e+02	-3.617884549065225031e+01	6.009319375530284724e+00	-1.155965648346894795e+03
