G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	m1	Fg	d1	m2	W	d2	p
1.000000000000000000e+00	1.000000000000000000e+00	3.981976142208585756e+00	2.497397483010381336e+00	3.113434985953923206e+00	7.211396641650365424e+00	6.379630689092919305e+00	4.933476851406415342e+00	-2.404556588226613201e+01	7.228686867935834925e+00	1.141843591097420951e+00	7.510091791421500851e+00	-8.907981786741894226e-01	4.089201129796818179e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.797315832349330122e+00	5.754607470307798067e+00	3.100108736986941338e+00	8.340752394986088447e+00	7.840961942425487052e+00	5.571209937906282939e+00	-8.262014449685992190e+01	2.776014747741990973e+00	2.296107287238439376e+00	6.901554350066025911e+00	-3.492898358766546307e-01	2.902100319851648891e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.778035869979146533e+00	8.650684702963170380e+00	9.412725387700339397e+00	2.858403589835201597e+00	7.567516277733031593e+00	8.582616070643421580e+00	-2.345010169577836905e+02	8.896921634280680280e+00	8.660227740102596883e+00	1.800223944738594817e+00	-1.046994950927978840e-01	6.678423983463452487e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.138590601194753305e+00	7.363997258807949642e+00	3.277083738595444551e+00	7.092582113844516201e+00	2.570851323071614125e+00	4.396557777996606298e+00	-9.346021165305020872e+01	6.471169646843365264e+00	7.546905842027664235e+00	8.968582653944135785e+00	-1.731253958490573674e-01	3.903640097687146522e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.606488036566102728e+00	7.583360625402582933e+00	3.228982266471424278e+00	6.076492013036455475e+00	1.879648940989756101e+00	8.856505498006647770e+00	-2.193339018420081459e+02	2.550373473106791078e+00	4.398016728828931576e+00	5.949625765191491666e+00	-2.557593045621462391e-01	8.079990297558460099e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.836770901198951478e+00	6.953237034778015691e+00	7.947543503460601677e+00	8.683743418360341693e+00	3.634652166976417131e+00	1.561850721178568158e+00	-3.555397174849357356e+01	9.516332795164293756e+00	4.516255446553586239e+00	4.595136664398256521e+00	-1.024443542010888136e-01	2.860332702174192718e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.917271634467541119e+00	7.249312431800464473e+00	5.272001818007001184e+00	9.350645826761205370e+00	4.372179343143410613e+00	7.860579355093335607e+00	-1.675316115660571370e+02	5.800868715285028010e+00	5.781852571653840478e+00	7.760238703963988627e+00	-1.606471091596890499e-01	2.321446519281225278e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.229727731249131040e+00	8.420973180863780883e+00	7.983834021336429387e+00	4.355709938441203466e-01	4.878160138523202072e+00	9.004624623275010009e+00	-2.168572499149078965e+02	1.466249869542378903e+00	1.253218727054828063e+00	3.476524373934271495e+00	3.730668247114095948e+00	1.095051126198570302e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.560358954275859134e+00	3.347255771237423350e+00	1.523482017838779790e+00	6.888369051898290074e+00	6.989465135497464843e+00	3.207702123335179234e+00	-2.995700398892015670e+01	6.545233559635541987e+00	3.999960986084710513e+00	7.272593946339377169e+00	-3.233405983024503216e-01	7.250955276439458430e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.324575708277617281e+00	5.793385378214922277e+00	5.668606386725871360e+00	1.693983786227002852e+00	1.648977060189060762e+00	4.960847411715223920e+00	-7.853233282492944056e+01	2.999265600894306161e+00	3.001617514355299665e+00	1.253894451423340994e+00	-4.015079253212410770e-01	5.802142222236374636e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.076343122312520828e+00	2.997443894126642583e+00	1.253052475427164358e+00	5.956577786717837775e+00	9.927848738962627984e-01	2.334091716310649822e+00	-2.313234761950217688e+01	8.113630369218197913e+00	2.955215538595187041e+00	8.283444501912047286e+00	-4.737421861986003679e-01	6.534461658610820223e+01
