G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	m2	d2	d1	Fg	Fc	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.299463407665665926e+00	2.682709314346150897e+00	3.291048934950922877e+00	7.140729255582748181e+00	6.197741998112785033e+00	4.617651703360382776e+00	6.862546826925711052e+00	-1.222059125445345895e+00	1.467013345420690618e+00	-1.316167069272964119e+00	-6.732999844841287995e+01	-1.487238188554894407e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.547921773933774503e+00	5.865242963374164731e+00	3.195856005594738036e+00	8.140655218709014207e+00	8.300990824734173046e+00	5.244006247497916995e+00	2.568299792932164038e+00	-7.157281528812888816e-01	2.711208477498904923e+00	-4.094402622185184248e-01	-1.442813954776455603e+02	-8.719428007771675482e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.559572616627940000e+00	8.903933353468652001e+00	9.178127664406654063e+00	3.200141469681838213e+00	7.756156988490354287e+00	8.648217088318348900e+00	8.879248397364710499e+00	4.167038888213769332e-01	8.482543497028405710e+00	5.374415755389943428e+00	9.658341176483615342e+00	5.031423481719155433e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.406129135503583427e+00	7.611862026341022158e+00	3.312865324825396307e+00	6.556624475706692046e+00	2.402232666918127535e+00	4.119250591269417505e+00	6.476672335962805782e+00	1.340917725971843666e+00	7.944708861734503635e+00	-2.519528624383278181e+00	4.149301083490999531e+01	1.399652424137836704e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.365299931006597411e+00	8.272323139961031302e+00	3.402373019192746817e+00	6.231954670766888249e+00	2.306818541564230607e+00	8.824046222812480522e+00	2.500885795984800541e+00	8.879416608875921879e-01	4.130109466338556246e+00	3.998473232127642607e+00	9.856997832808650273e+00	1.019267892356505456e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.370643745891430232e+00	6.987066526959863744e+00	7.722312668424518023e+00	8.439276761458947007e+00	3.336977463741672700e+00	1.897402612881378126e+00	9.642417756236294935e+00	-4.370401388093140049e+00	4.440596968751117757e+00	7.898789205185035023e-01	-3.917164785659709025e+01	-5.638475118355651148e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.579747896890207448e+00	7.309849508049344635e+00	5.020146154649147263e+00	9.153291833703191216e+00	4.227129380632895561e+00	7.944394953279910965e+00	5.658820420705101384e+00	1.324204672699129004e+00	5.849807416961027684e+00	1.647468747779843534e+00	1.395545822527681068e+01	3.711322748009348516e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.803606512579555954e+00	8.573087275220858672e+00	8.046170908094115504e+00	1.056506843022144260e+00	4.626806550246552519e+00	8.532926844279144163e+00	1.584354095469742374e+00	3.635869726218152742e-01	1.069124500367716779e+00	-1.236304623836751881e+00	1.965844770545350340e+00	-1.747452411923537952e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.372001349933550607e+00	3.188577576171961692e+00	1.500838224782217178e+00	6.987774326599887509e+00	7.167427748318527136e+00	2.620973529977190797e+00	6.630950846844393176e+00	-5.655308599794367730e+00	3.147653903756248095e+00	-6.505848478481586206e-01	-1.145158660128406154e+03	-1.236812816022532161e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.373608029198385871e+00	5.361417550613078120e+00	5.323155324710631575e+00	1.450694814472572425e+00	1.538070183003903635e+00	4.916416960076603004e+00	3.307742719585100133e+00	1.136998067958321146e+00	2.808775993909547353e+00	-1.442343034354043541e+00	1.932741162931651768e+00	9.323642431851570933e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.259891387030106502e+00	2.907302759659814217e+00	1.311131681000010207e+00	5.888962077019503027e+00	1.249281290209836914e+00	2.438633233223190366e+00	8.274719966402294347e+00	1.947349935541504706e+00	3.221756113293643420e+00	2.776239729884215279e+01	1.298357635979934344e+01	4.051139672168459072e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.745089313311302348e+00	9.885521271793974663e+00	1.557475301541761059e+00	3.551254116751999312e+00	4.487747112332410637e+00	7.286465453463526032e+00	8.445364792858804037e+00	1.600922213993431820e+00	8.238109749106394375e+00	-1.007859107458069392e+00	1.614549646486554764e+02	1.789209261475288884e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.524076099905023796e+00	9.529919473065447733e+00	9.190761447603625456e+00	3.869587400441364622e+00	7.253736839558181160e+00	5.830689280303327671e+00	9.838825831493128504e+00	-1.212871728042637098e+00	3.606116076073899279e+00	5.257784406557051149e+00	-3.041761327736503873e+01	-2.131287136206099149e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.870338742629465756e+00	1.353649766893563200e+00	2.185362329971146877e+00	4.199627751305828660e+00	2.736974219346424153e+00	6.637609599119987713e+00	5.531889247405971766e+00	1.619184873716760231e+00	2.840934858028006271e+00	-4.132202142867080319e+00	2.570913407310655074e+01	3.154204875854637891e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.691977688120295031e+00	7.320462531201472167e+00	5.773841954466729653e+00	6.642055982108450607e+00	6.828357230336779438e+00	2.785208414782488262e+00	5.070334449775708130e+00	-3.689402576110955678e+00	5.556780720235142468e+00	1.759792610484536279e+00	-7.509595665952308252e+01	-2.311126322598650518e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.776103446806811093e+00	9.389901459447289156e+00	4.765854393117647803e+00	4.051091608155520163e+00	3.376079793447291699e+00	2.887025564916679610e+00	7.745283230575891409e+00	-5.851396185622611545e-01	8.791306913885268415e+00	4.266577925302053487e+00	-3.876047163356175052e+00	-2.334566255947198599e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.695343515711115856e+00	2.632997481622027625e+00	4.060222369013336774e+00	7.588831479571680028e+00	8.977574273776442126e+00	1.400603253581560459e+00	2.245015290318764567e+00	-6.059349511647698527e+00	3.153457578628450442e+00	8.199669019623362587e+00	-3.741196163388707987e+02	-3.302811536029008153e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.658840126291932116e+00	6.130587746658452630e+00	9.180050060479524987e+00	4.616942864372735933e+00	9.047012092936167704e+00	3.822688475353139381e+00	5.973975750533008444e+00	-3.920619896678541050e+00	1.750875668924403161e+00	5.141847393723673054e-01	-1.022654016589954011e+02	-4.345708019934549498e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.897006058626642400e+00	9.303606559876538284e+00	1.137471523614040025e+00	1.628654565114981745e+00	3.578991169597231625e+00	6.108921522408679472e+00	5.857641283310953462e+00	1.156073848072948440e+00	4.324542096120001844e+00	-1.162083663229167341e+00	2.745970330181474850e+01	2.141271031102436240e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.668447298432381931e+00	1.298657668996742176e+00	7.021007070905108449e+00	8.062957452590987728e+00	3.140318227604504298e+00	8.711372627954222736e+00	1.844592932221357673e+00	5.640544131172938735e-01	7.824254708675150383e+00	2.291921810547845606e+00	7.304007359842388247e+00	1.126361828210103333e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.501729758572904139e+00	7.391395327570803531e+00	9.649956440695978799e+00	3.541033347303289780e+00	4.677382631237680499e+00	7.044235260976232205e+00	4.797236209063654222e+00	7.920297613663878078e-01	6.016998049458008424e+00	1.873523507937188137e+00	8.521755806699777835e+00	3.859159702678818604e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.198441965649891472e+00	3.651228423878552842e+00	5.978295805617964476e+00	4.901931070550737957e+00	3.249475607872608585e+00	4.971227409446665746e+00	8.618974442008266124e+00	1.544946291757119727e+00	8.411139687525375663e+00	2.196696797913783250e+00	9.019265597441247451e+00	5.529476376749553879e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.623424929661189342e+00	9.430714730350853614e+00	9.403965126135597430e+00	7.130758671203689225e+00	7.062136560975578625e+00	9.514581511852068019e+00	8.734782258762258778e+00	1.149515080497453878e+00	9.680785793912484394e+00	1.665534861515088894e+00	2.466725518221872449e+01	1.093699620155189649e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.329627191787741580e+00	9.685298173714574688e+00	1.500410000883639627e+00	3.982823748510091022e+00	8.544898335733522643e+00	7.521609048592849511e+00	1.836045966292940257e+00	-1.302318851938738531e-01	8.131436337924863977e+00	-2.892966774240783856e+00	-1.195480444266434539e+01	-5.430238316736991422e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.082600039879066500e+00	9.527186891111707467e+00	4.768761416285314247e+00	1.491120756769996891e+00	7.090855198047800734e+00	9.293305095857640197e+00	1.684339757850612962e+00	2.139894343776560237e-01	6.394886197882970968e+00	-1.916050433198581615e+01	1.760891551184773807e+00	1.072651051650281850e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.099450167856964811e+00	5.232182884728137751e+00	3.403178103425243073e+00	4.296600582835270465e+00	8.341152666725090370e+00	5.673123531667669361e+00	3.355550071635367892e+00	-7.646284672324104026e-01	5.438962539645522121e+00	-1.134525097157643048e+00	-7.041927398334244970e+01	-5.249229299492673562e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.860101786419636305e+00	8.820667066772365672e+00	7.656665243112933616e+00	9.372760218973544610e+00	4.539462568881528881e+00	3.437887011192600539e+00	8.886919111622299638e+00	-1.675706086793368410e+00	1.383180355346818491e+00	2.945627419489365573e-01	-2.538445466780706639e+01	-2.259013404037368957e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.641111973731091744e+00	8.574339765194428864e+00	9.766350979109192920e+00	6.724774560756638486e+00	2.397640046806252645e+00	1.536438461624902052e+00	2.153863671883955000e+00	-6.937364422667871011e-01	9.781254345675460371e+00	2.346076069236488149e+00	-7.164949507095686343e+00	-3.566179345336503559e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.330218500265416992e+00	3.888085877357142284e+00	3.239403755476577995e+00	7.140975298642214142e+00	7.593964031352919086e+00	7.648528617609006375e+00	7.635935510417536598e+00	-3.627238584362305063e-02	4.443160488305178291e+00	-1.457471216754722354e+00	-4.841911238424321695e+00	-7.675254164350249653e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.462940365739442861e+00	8.424048605564014025e+00	6.815525244570540764e+00	6.673775142500377733e+00	4.223732243725053515e+00	2.071416370405001928e+00	1.931099251705993947e+00	-9.757753300392086881e-01	2.325938111453986323e+00	4.288945631594683894e-01	-6.379888748149349809e+00	-1.372735586843189104e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.421568848039445498e+00	1.385208006106197764e+00	2.733228214960084390e+00	2.832935319765735205e+00	6.966980966164822320e+00	3.730595571295323154e+00	6.616244870600814565e+00	-2.945439655221618658e+00	7.054532358444159712e+00	-1.911303111535123112e+00	-1.355443595324600210e+02	-2.259171687380381854e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.483045263938858493e+00	6.329948446061203882e+00	6.148943168038314866e+00	4.650000588602292595e+00	3.436107115200859763e+00	5.821169802768666912e+00	4.227974509881165410e+00	8.693675298018744835e-01	3.529232829646827163e+00	1.020590734890936435e+00	6.393186090746434402e+00	1.618760715468698663e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.571036624284810612e+00	3.163730529672230674e+00	5.206333614250433506e+00	7.703875879733814713e+00	1.743998415178383832e+00	6.079080219215535763e+00	8.076218889033066617e+00	2.901989416751119322e+00	6.289535789302753699e+00	1.752204495270388129e+00	1.133187592137519317e+01	6.306592295778439450e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.513347804096694560e+00	2.029693099709402482e+00	9.717953446653664784e+00	1.839032471853295325e+00	9.878542843699255727e+00	6.364314401855618364e+00	3.153775651973549365e+00	-8.519892324737097233e-01	6.243520737175806801e+00	3.017437817061238192e+01	-1.549168482324473750e+01	-2.809324864256418408e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.647208950131886951e+00	1.617719433135423213e+00	6.476132403634451862e+00	3.489723720959279074e+00	2.511498210553814392e+00	2.447137146913938466e+00	6.772454170055770994e+00	1.249360868519640289e-01	5.096906872217542350e+00	-1.566021066399516215e+00	2.007003073585689190e+00	1.587615626710003447e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.374646739646962601e+00	7.319535304112311458e+00	4.223098206481803452e+00	3.617981522906169367e+00	9.899248484253512004e+00	4.429369507906088188e+00	3.138287455906666690e+00	-1.929949021569086431e+00	8.434224404983012846e+00	-2.075983101877904247e+00	-1.327912692195021407e+02	-1.169022303332088342e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.859078903520712256e+00	4.025960612828055396e+00	2.132215770440673452e+00	4.913084811871486046e+00	9.751031940518876340e+00	6.496218184443192989e+00	7.388991785727412775e+00	-1.829293461940798782e+00	3.410119781250685378e+00	-1.941543827649865328e+00	-1.624443117463713691e+02	-1.497223771758971793e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.859905420235571372e+00	7.522498316980942512e+00	2.375543759029041802e+00	9.915108542262611735e+00	8.055602783270192191e+00	9.668303593646218275e+00	8.778006188753092687e+00	7.463856477743402440e-01	4.969470701980289284e+00	1.044797393441222511e+01	4.657862291685377443e+01	5.623982075462267716e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.163061352953518757e+00	1.570280292732896710e+00	2.881016129681612803e+00	1.593749304698848235e+00	6.938071717957082107e+00	7.570272310546200423e+00	2.113941892042430659e+00	8.486073002631341899e-02	5.812023994027940788e+00	-1.411242642339562536e+00	1.435709331126536981e+00	1.255183807699252085e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.951205806181552482e+00	3.764590597757254908e+00	3.275115107431111561e+00	5.742194453334364290e+00	6.186074775324081010e+00	9.298213196307525408e+00	8.814735858724009887e+00	1.465663671084753927e+00	6.983635613721067337e+00	-4.083537352664038167e+00	7.623983707626464934e+01	1.438551120545353683e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.158285390825461114e+00	5.851138352549070554e+00	8.707158054443016937e+00	2.726515309158117795e+00	8.837565740279933024e+00	7.911325346748872001e+00	6.317986618626447282e+00	-3.912118314062299484e-01	8.069386125915187336e+00	1.209041411540070499e+00	-1.444611735257626872e+00	-8.681023950808206990e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.527257761989395668e+00	8.186877721299163468e+00	6.063408503716528841e+00	9.730168351831036233e+00	3.597146386358426096e+00	6.302141313491496533e+00	2.159863734786048095e+00	4.604657178075173274e-01	4.565511461307576901e+00	7.677692897614871725e+00	1.474661897290146584e+01	1.659191332441979227e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.213305681826652993e+00	3.924578603844360636e+00	5.750633822162177999e+00	1.990539116620350546e+00	5.144109669820183584e+00	2.696321569983321620e+00	4.835236726132711382e+00	-2.183168702348824652e+00	6.822527930826839615e+00	1.538623729095564441e+00	-5.885885243630324837e+00	-2.021936586461388075e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.209646795277340203e+00	6.645917382393925266e+00	2.052635755729773859e+00	4.561070966524571446e+00	6.665512875200519716e+00	7.023407773407972066e+00	2.471165214766150253e+00	8.554970554170135411e-02	2.321215524209527370e+00	-3.000445190222063019e-01	8.869710713394168167e+00	6.267616712709209281e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.258290621200824244e+00	9.035676947460146380e+00	8.673084422354051526e+00	7.624234267898640560e+00	4.724442540239741639e+00	6.565866940467746993e+00	7.249993920927272129e+00	1.048765007505781499e+00	9.385070261518743351e+00	1.730650649131027619e+00	1.253424535019255970e+01	8.303436065128170185e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.057863681892117214e+00	6.483826020970668402e+00	7.456393731940603509e+00	7.345423224493216274e+00	4.833536920861973840e+00	6.386116455696234873e+00	7.840306001427210347e+00	9.603451091307525500e-01	4.449218938954786928e+00	8.212916780331264377e+00	3.173970117401098534e+01	1.624584177268586700e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.829227263672998038e+00	3.078529738799385740e+00	1.591282355329705966e+00	4.914500874114041018e+00	3.981529785036512337e+00	5.374143286435799638e+00	1.917302187399658520e+00	2.444343341531561020e-01	7.576127654339562589e+00	-3.484658175451467166e+00	1.323029773861195757e+01	-1.929760230689891998e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.636049968999069293e+00	1.241626275305044658e+00	7.429344371456501506e+00	4.048615707062811708e+00	6.103907168412797013e+00	5.746404804140510691e+00	5.471579469039460797e+00	-1.654098611756697479e-01	1.179561525550884227e+00	6.812333257509602946e-01	-3.109049833074910119e+00	-1.281568543819465944e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.907331450850172416e+00	8.823634690067674313e+00	5.849554510585407208e+00	4.581741132294399499e+00	8.577341674631082213e+00	4.107221806287352450e+00	8.322641479783788654e+00	-4.824013010130935086e+00	2.885654162588400684e+00	-9.971847703470189117e+01	-1.924949370329860869e+02	-7.465342311568289233e+02
