G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	Fg	d1	Fc	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	5.741403792582970844e+00	4.765281264590969457e+00	1.552942474910114612e+00	1.734927024169337306e+00	7.624485709059140248e+00	4.531270538053072672e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	6.803609187410531334e+00	5.869606370712850740e+00	1.770546492055732557e+00	1.505583560772427276e+00	2.585985335777877037e+00	1.890467468651736427e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	7.293151370248018850e+00	9.179865734570178404e+00	8.819212260648711110e-01	5.846492608374700417e+00	9.261197029220912924e+00	8.935502545298835697e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	2.688531431437466868e+00	4.400969807366182707e+00	4.892763582696733060e-01	1.530868361788667142e+00	6.542281023207079826e+00	8.071423479758070563e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	2.497918722687129556e+00	8.977487716061641976e+00	1.923641865845223675e-01	6.657698564982448275e+00	2.493844568788785132e+00	8.228264954571190559e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	3.939343582393980636e+00	1.474283284118466097e+00	1.962801999644359752e+00	3.047835962140967858e+00	9.046968012878208398e+00	6.506132221787516157e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	4.437691327559587506e+00	7.424573869502955503e+00	3.678552495115958720e-01	1.370117321821097889e+01	5.543168748465693518e+00	6.609260337647979155e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	5.077004987614191833e+00	7.974521282630821162e+00	4.772738468667712675e-01	3.122203963352384815e+00	6.797733655137447872e-01	2.778976748321339563e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	7.533820497828559226e+00	2.852495892783703191e+00	2.870377093212725494e+00	7.188380285211720677e-01	6.566709798891046113e+00	8.737228007748946146e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	1.521276608608663983e+00	5.146484225469892593e+00	4.049741841586957380e-01	1.336493071715624703e+00	3.996864322290631932e+00	2.668566918398834753e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.475649932941291542e+00	3.452481343700120053e+00	1.330206870356937410e+00	5.379764741748747525e+00	1.327032767898320254e+00	3.089853150697166484e+00	1.915667670138558876e-01	1.006218234730078542e+00	8.656417433764175939e+00	1.793602353830250629e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.953416716172428735e+00	9.676884434784422950e+00	1.407488083511695187e+00	3.700820740280154286e+00	2.942752857410152245e+00	7.667613387934624214e+00	4.251294396916483476e-01	8.672216513361867829e-01	8.421459172513712232e+00	5.884211417123713650e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.681859350000953768e+00	1.003013728643115066e+01	9.372465319781220217e+00	3.612305559550969214e+00	6.916835300391520391e+00	6.394656944998794224e+00	1.558152491958448849e+00	3.505219263944981734e+00	9.700618251834002947e+00	1.058780877643972662e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.858512726646287305e+00	1.914911802053490320e+00	1.980964864944235071e+00	4.819513297843222688e+00	2.406800820746564984e+00	6.646289883334292270e+00	5.761992009479435239e-01	2.358288913609289494e+00	5.222903635641243270e+00	1.308083465930326983e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.665106857007771612e+00	7.823785782629857799e+00	4.806594921828363454e+00	6.299398366994702236e+00	6.714275506115187753e+00	3.191280781641936848e+00	2.363628864749028224e+00	3.296900127369375877e+00	4.594962665417602565e+00	5.440200089832120112e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.159473625552993603e+00	8.952416110459029852e+00	4.187604511070081692e+00	4.914279615844835192e+00	2.831702523545892802e+00	2.356287970363586837e+00	9.366880463169154902e-01	2.799133847183613355e+00	8.226618294190302549e+00	6.507831179869012495e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.080543349898945849e+00	1.969253178731785514e+00	3.547498921548409179e+00	7.427715140170112917e+00	9.485461213877176334e+00	1.340456885892270522e+00	6.356181371890086140e+00	6.349026104445223417e-01	1.357211298285232459e+00	5.337387579173425989e-01
