G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	Fg	d1	Fc	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.536529394589734920e+00	1.352924304056162486e+00	1.745565214837006218e+00	6.836778300866514613e+00	4.376965288443570579e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	5.267902003112375553e+00	1.569075232520496188e+00	8.954452743803504866e-01	2.548767205776064415e+00	1.629058519918567816e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	8.682367161394417110e+00	9.034603043619005014e-01	5.247143813932080292e+00	8.866185790569041103e+00	8.189614514935608103e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	4.071655492226863515e+00	5.870526154023545384e-01	1.031168787036877754e+00	6.514948950628724589e+00	1.933278153676115663e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	8.824590911085904210e+00	2.673449835115304096e-01	6.328808782444453662e+00	2.412467594209704025e+00	3.511227499003240216e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.794008761114281647e+00	1.899460824615462284e+00	2.919996357649921492e+00	9.656283930181439601e+00	7.216980354372019013e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	7.980805892493511244e+00	5.300514254162880246e-01	1.324092832122802932e+01	5.672240536571023561e+00	1.099141768445069667e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	8.627587810329838902e+00	5.406668929750674257e-01	3.916852904721183304e+00	1.654058251855242023e+00	2.704843392978078520e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.637612374445747587e+00	2.698492036922503612e+00	3.235622415486335557e-01	6.637552766808325622e+00	8.466335692336145469e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.872646089153040094e+00	3.103680721316154356e-01	1.783294675299895715e+00	3.282635839408188705e+00	2.318515353212490526e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	2.486408805629983565e+00	5.274492854846227763e-01	1.363651604167833931e+00	8.225732254325366810e+00	2.435415639563741075e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	7.354244136288627942e+00	6.157168694553161181e-01	5.967644013739547004e-01	8.363799123568142591e+00	4.780751633503748654e-01
