G	c	dx1dt	d2x1dt2	dx2dt	d2	W	Fg	m1	m2	d1	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	5.741403792582970844e+00	9.808371745197717928e+00	5.310579849837500532e+00	6.822351147998304555e+00	2.704797120796196275e+00	-2.498677618510780629e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	6.803609187410531334e+00	1.033756961530397156e+01	6.040378997893316004e+00	3.400518681995665204e+00	4.267161272343689693e-01	-3.763243274893143031e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	7.293151370248018850e+00	2.640775880006342646e+01	8.612686069550784751e+00	9.679152655906824165e+00	5.802363669482129005e-01	-2.285731524559624361e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	2.688531431437466868e+00	1.031797206174593207e+01	3.682293795381183177e+00	7.203537226044636199e+00	1.673197316597608841e+00	-3.359512905689910678e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	2.497918722687129556e+00	1.037683482218889175e+01	8.545583951850744597e+00	2.866342694655994450e+00	7.270081872090319308e-01	-3.680648646075321828e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	3.939343582393980636e+00	2.222232879739997102e+01	2.020954485372158604e+00	9.833681899070393584e+00	1.882444378378167471e+01	2.133466493269260766e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	4.437691327559587506e+00	1.311603174056234877e+01	7.360435924323953216e+00	6.291932239955387196e+00	4.219396110230369423e+00	-1.024643847625793969e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	5.077004987614191833e+00	1.795411824066437489e+01	8.379003761676839801e+00	5.622082234915097843e-01	-3.176613196059126509e-01	-3.478183578214347094e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	7.533820497828559226e+00	4.353770837058386967e+00	3.293181041382671648e+00	7.179918948352496777e+00	2.750874751434711385e+00	-2.759426830330703684e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	1.521276608608663983e+00	1.588864507200936771e+01	5.238955933303473422e+00	2.668988065836630508e+00	3.852809347414444807e-01	-3.457211262099924021e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.475649932941291542e+00	3.452481343700120053e+00	1.330206870356937410e+00	5.379764741748747525e+00	1.327032767898320254e+00	5.342479123333066404e+00	1.198797766781321439e+00	7.736739850130213370e+00	1.672159001404421730e+01	7.807265817597186519e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.953416716172428735e+00	9.676884434784422950e+00	1.407488083511695187e+00	3.700820740280154286e+00	2.942752857410152245e+00	4.280084544054030715e+00	6.628322939119248858e+00	8.738926894977566917e+00	4.404085755463006957e-01	-2.887734426867845983e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.681859350000953768e+00	1.003013728643115066e+01	9.372465319781220217e+00	3.612305559550969214e+00	6.916835300391520391e+00	2.712970740527060087e+01	7.002533924785538488e+00	1.031573522009908750e+01	7.083096932042635130e-01	-1.699325038726717585e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.858512726646287305e+00	1.914911802053490320e+00	1.980964864944235071e+00	4.819513297843222688e+00	2.406800820746564984e+00	5.905841524486158178e+00	7.365042079697609267e+00	5.185157837291447080e+00	1.075310221541568856e+00	-3.291335121099805860e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.665106857007771612e+00	7.823785782629857799e+00	4.806594921828363454e+00	6.299398366994702236e+00	6.714275506115187753e+00	1.751413353886866986e+01	2.448578313841934140e+00	5.446126645549616008e+00	4.426149094469225886e+00	1.314161412501169357e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.159473625552993603e+00	8.952416110459029852e+00	4.187604511070081692e+00	4.914279615844835192e+00	2.831702523545892802e+00	1.175097320699416592e+01	2.089132019924318406e+00	8.087503012966145377e+00	4.203632258302040015e+00	2.297641816072165000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.080543349898945849e+00	1.969253178731785514e+00	3.547498921548409179e+00	7.427715140170112917e+00	9.485461213877176334e+00	1.110542269054960407e+01	6.879738140648549161e-01	2.023250643532803927e+00	2.950201636646528236e+00	-1.853409490073065991e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.807780828261956962e+00	5.169738611736012679e+00	8.212761408937538476e+00	4.061589464328135612e+00	8.581055614634555795e+00	2.257172247981955593e+01	4.177942753502083661e+00	6.005931096471323727e+00	9.350683952720411085e-01	-7.756422482239193616e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.184376964432770407e+00	8.874721676833111417e+00	1.400380414337051960e+00	1.054186742834234636e+00	4.276074156557692518e+00	1.361370891395344396e+00	7.122280510934051456e+00	7.048183449758006702e+00	4.960867898270937548e-01	-1.440395903774200015e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.503121976649959279e+00	1.100894845333132865e+00	6.878711433759707283e+00	7.716895405485121984e+00	2.546407649611265978e+00	2.239438444754133073e+01	9.771061815779253479e+00	1.652091309809063047e+00	4.999754753143525465e-01	-3.937948458322654055e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.964184118651953526e+00	7.117433554151809894e+00	9.865983832932124997e+00	3.772426926809682612e+00	4.372860040638386181e+00	2.780154646436487198e+01	6.137897542491121960e+00	4.627444174536948118e+00	3.818433348118392412e-01	-2.989972706847640271e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.552692723055931756e+00	3.649881016227745523e+00	6.329054402201029106e+00	4.564696859038746446e+00	2.794494022890143814e+00	1.857019685401447973e+01	4.756301451689427751e+00	8.761163768874320468e+00	3.869197312355321383e+00	2.471677616023259194e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.684526188473862707e+00	1.028365428061048625e+01	9.849097891366172419e+00	6.724839743387040158e+00	6.781158510339643897e+00	2.772396226494149829e+01	9.107889191761701753e+00	8.605859985616527652e+00	2.178217732391689587e+00	-9.118192304132465287e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.280764468673652345e+00	9.550612139736674777e+00	1.695008915663090310e+00	4.473791914349464882e+00	9.076580108871713293e+00	1.435028399355789297e+00	7.548340219022871445e+00	2.323154858206851081e+00	2.460092616424047751e-01	-2.244228840054438123e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.216348041077174535e+00	9.471264599301514764e+00	4.228234138783159679e+00	-2.290822825753100478e-01	6.879667887177346230e+00	9.348683346580003217e+00	8.641242855717688798e+00	2.615724264950709532e+00	1.131763380766764027e-01	-2.965766568508966028e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.720564220340415673e+00	4.256773301641070262e+00	3.661413920606213956e+00	4.132578351155834717e+00	8.254843689665236184e+00	9.880597748644479594e+00	5.448845951572985236e+00	3.230076933638464709e+00	7.087435399681587533e-01	-3.361227219207860717e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.359507852858567567e+00	9.997839085591598618e+00	7.699861527871207478e+00	8.777764039342862645e+00	4.168876701170739274e+00	2.333521590399172041e+01	2.854343375099741120e+00	8.406822328960465995e+00	9.037414933860508981e+00	6.387198838117758015e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.907432402342102762e+00	7.868884808200058423e+00	1.104097335154216353e+01	6.305428454394764515e+00	2.265344588110779434e+00	2.820530601617264210e+01	1.762699101800248247e+00	3.234429654837676082e+00	2.091389023329925045e+00	-8.036729961884727658e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.987513963800303429e+00	3.478669978880068125e+00	3.313142791351427530e+00	7.175263324739471926e+00	7.759456905491657785e+00	6.741971931097648252e+00	7.252302794980842293e+00	7.545144933923781494e+00	7.029446711474032217e-01	-3.318658341610796203e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.648843596664253619e+00	8.847280280299163024e+00	7.098995328963575879e+00	6.579439244195595116e+00	4.127073543291904123e+00	2.034132760463971934e+01	1.888092200512475394e+00	9.832650638562855372e-01	4.087997945082694429e+00	2.150115779135940652e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.740897220582308336e+00	1.470029397741089872e+00	2.730519293153509608e+00	2.630928297002401273e+00	6.959574335682686907e+00	4.945213633441160717e+00	4.005275238961946371e+00	7.621276752280176758e+00	6.382671717875809669e-01	-2.461022993292298899e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.036156236574535150e+00	7.280559024213487440e+00	6.114970874905274023e+00	5.408930593902114836e+00	3.989221942194011827e+00	1.727438993714491389e+01	6.693354733302955495e+00	4.817226953699782932e+00	1.475863429712950925e+00	-1.734629936823365970e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.380787712339127449e-01	3.470634350639735910e+00	5.165114734485594106e+00	7.751086168862840964e+00	1.880122141170547323e+00	1.310235113015538211e+01	7.240501901031268339e+00	8.971320701314962065e+00	6.857656349021320707e+00	1.828688675324703805e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.854994516304198982e+00	2.039882386325973851e+00	9.508063976333318124e+00	2.890042470456760881e+00	9.306355193895704758e+00	2.562468093027849392e+01	6.655425550302534354e+00	3.883413075597433650e+00	-1.542337781443975375e-02	-3.011463876133839701e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.649787179083341826e+00	2.273418927475812090e+00	6.574673959657674871e+00	3.886211127239901586e+00	2.359370037632813055e+00	1.859625519565053864e+01	2.447704680195323057e+00	8.191631657953273304e+00	1.163545242518191136e+00	-1.719435573400837747e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.716796720930377163e+00	7.912652677247891120e+00	4.488871799963890297e+00	2.963555714562119636e+00	9.602552410801177274e+00	9.681365496127597225e+00	5.139753657952954136e+00	2.557072102827133708e+00	7.238408738024779687e-01	-3.239169366011013906e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.140908047540519554e+00	3.691618069303443939e+00	1.795225089991864031e+00	5.935166945108757197e+00	1.007931951468957443e+01	2.816344961480631515e+00	7.195075566445933823e+00	6.990127537146380021e+00	1.777569928045382053e+00	-2.314864115431779723e+00
