G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	Fc	Fg	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	2.090386541731954484e+00	5.857934779238797240e+00	4.400019079217063478e+00	3.207428457173787661e-01	4.515549869186640031e+00	7.397388208956416022e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	2.545662592566760640e+00	8.055832462772160696e+00	1.182281422035095453e+01	8.560266968574052615e-02	4.939670349769079039e+00	3.036936539285001846e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	3.318530691700966595e-01	8.234352183100233091e+00	6.743256101820851889e+00	1.739958552485997567e-01	8.525777998833813598e+00	4.522254188076765935e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	2.008971537903916804e+00	2.645454133268259511e+00	1.041945567281465301e+01	3.908510019903082416e-02	3.576940032983472406e+00	3.350471974418720578e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	1.669121234929598740e+00	2.673705876099407241e+00	1.047644151161724757e+01	2.343068582611567141e-01	8.574236249115948283e+00	9.688372341156705758e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	1.108091989136306577e+00	3.762913115237260353e+00	1.260748471816957661e+01	6.138573272221468091e-01	1.910027489413243629e+00	5.191895688794501496e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	1.678217113238527514e+00	4.122672031814904159e+00	1.447334911918555278e+01	6.496714179623569452e-01	7.978086884601005124e+00	5.868023327022322988e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	1.410305894926186798e-01	4.756663840064401683e+00	1.833925541724246155e+00	1.256152626670299643e-01	8.566595907749265493e+00	8.404735311078430637e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	4.322274323505146398e+00	7.137929504876832532e+00	5.482900140240681175e+00	1.046732200638412769e-01	2.418803596263006561e+00	2.474859030128238491e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	2.757306980691149323e-01	1.689747489449522799e+00	1.742724245541459993e+00	1.218360941414423915e-01	4.386933754049424650e+00	2.367241032800554645e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	5.897770695627836623e+00	4.559742695515608624e+00	1.233300121649659298e+00	3.485658300930122078e+00	6.297423002964093186e-01	2.539445010374602685e+00	8.857029973849921411e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.853258430166103921e+00	1.000870602632729955e+01	1.371628603137864388e+00	3.544397690935713108e+00	2.323128846555534643e+00	4.552516339500513709e+00	7.862851765715730856e+00	2.169064473066844440e-02	7.463444220868944434e+00	-3.828028877028637478e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.558015580335133876e+00	9.236329949147659590e+00	9.257299353337213432e+00	3.337822195995070462e+00	4.713725981645857654e-01	7.294156178673760316e+00	8.721325491965368215e+00	1.346118237834854070e-01	5.546135081445483728e+00	5.333399637755328548e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.772552091971206778e+00	1.482971381037684999e+00	1.720504333049172274e+00	3.882201533332452215e+00	1.927369538013927075e+00	2.885878368156255203e+00	1.299448060008960626e+00	6.656057904173883211e-01	6.571582642192707269e+00	3.763623268333523342e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.478040678814608988e+00	7.428980091833762955e+00	5.460844786958421793e+00	6.573221830108399999e+00	1.024777626719182155e+00	6.952123207117453241e+00	1.130349312895986635e+01	3.971197240291627351e-01	3.191403816703276775e+00	1.325141200480318382e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.383406643891166965e+00	9.277517460116685655e+00	4.829261142928119810e+00	4.308070999490610120e+00	8.483646026790491179e-01	3.363964301659380318e+00	7.005945603037768699e+00	1.846778482273341848e-01	3.223773507489263057e+00	3.634631255111679948e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.631354844251960756e+00	2.865177532026740970e+00	3.932581402667221226e+00	7.434454900144245038e+00	1.982093560750141981e+00	9.008543547063609935e+00	4.447066380441072830e+00	5.177424080001782336e-01	9.662848830130000843e-01	4.180377545386935623e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.491247932277187438e+00	5.952469172271389830e+00	8.866600996374156551e+00	4.532495546061613645e+00	5.184390703295754799e-01	9.122732237521693932e+00	6.209802022681913947e+00	2.985017324933580962e-01	3.875391295551261273e+00	1.721676211472605544e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.150025424714101518e+00	9.314586639610324070e+00	1.581783664217808250e+00	2.097264782282805662e+00	1.291506285797231923e+00	4.124018830396273927e+00	3.494279908373499222e+00	1.431100447241028320e-02	6.436809417566290215e+00	3.461843535850468723e-02
