G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	Fc	Fg	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	2.102823143580514476e+00	6.154878417298478510e+00	4.344935182142485530e+00	3.255738320267438368e-01	4.534724673207691126e+00	7.427254307079174112e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	2.532449501047494334e+00	8.242108689681218792e+00	1.131453981581740464e+01	6.045578161107537790e-02	5.272114639525494084e+00	2.876131952122780167e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	3.531978977484057647e-01	7.848843253413464005e+00	6.766746714380391658e+00	1.454821765386074273e-01	8.688707297270070740e+00	3.810074359519820764e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.039780824103141210e+00	2.384317058566439052e+00	1.036892372573318077e+01	7.257687912502253091e-02	4.059025211425942636e+00	2.469529292427727007e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	1.782925119065661645e+00	2.345524857000421459e+00	1.046804571448481624e+01	2.190511061824397532e-01	8.822624407996395135e+00	1.275692782475015274e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	1.084018516483913341e+00	3.410864077593033006e+00	1.282950952166003944e+01	5.948183833520698238e-01	1.789753750756989170e+00	5.300583367206017726e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	1.815750073261428232e+00	4.254700317086139272e+00	1.480356972669087234e+01	6.819778577188048141e-01	8.003662017572780840e+00	6.009054764393080283e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	1.367563040546054265e-01	4.678312202964433730e+00	2.155785397837714168e+00	1.115130042041955483e-01	8.633087737756952151e+00	9.787240970122497163e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	4.447849755043109532e+00	7.112840299626165042e+00	5.365996338276508126e+00	8.275805254348841955e-02	2.627859675905723336e+00	2.257448061948498452e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	2.743157499284102352e-01	1.503777095409589482e+00	1.489636985557194482e+00	1.449976490946873753e-01	4.881371173337123004e+00	1.719045119072561301e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	4.560357955964707166e+00	1.304100148712630691e+00	3.210243908402187873e+00	6.354677662073966449e-01	2.496044312385470310e+00	2.329778802697659135e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	3.591939611616764783e+00	2.295985108121649798e+00	4.528218779065047883e+00	7.987114728868779601e+00	1.707834210846966017e-02	7.357894377700418431e+00	1.082466796848606944e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	3.763077397587175188e+00	4.135683802360127226e-01	7.277591451955983892e+00	8.366084962384732648e+00	1.210909903025930018e-01	5.819812504752910343e+00	6.058758176369860138e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	4.172242290836678080e+00	1.852658645270607085e+00	2.744463866139024155e+00	1.195926433614851403e+00	6.900710417867017554e-01	6.717828134084344427e+00	2.803797030195344320e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	6.599313812512714428e+00	1.137960235743437742e+00	6.772897693124122043e+00	1.127856101026192626e+01	3.690356267357504105e-01	2.779204629214398814e+00	1.337364479102525827e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.644762138877613467e+00	9.328360177412056586e+00	4.702721844463183309e+00	4.008037714705738885e+00	8.520779261238993207e-01	3.332151140581913307e+00	8.119030879348622776e+00	2.328120142650729196e-01	2.901344168370345145e+00	4.035098801142077640e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.733480893400627387e+00	2.625078557455822637e+00	4.123294940393868124e+00	7.598242246203957606e+00	1.837802559991247531e+00	8.971059754109139917e+00	4.708371126502557402e+00	4.855232783789093509e-01	1.374276970545927457e+00	4.142838444485548166e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723337275764564858e+00	6.106075204458422334e+00	9.097508893072104641e+00	4.648281460333716808e+00	5.096192650969019189e-01	9.067486283002645919e+00	6.718621228372701815e+00	2.842380185674640569e-01	3.896258937475630013e+00	1.767669925691545529e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.893479999448049789e+00	9.239142923269975327e+00	1.201348211771952501e+00	1.615297292406683072e+00	1.351260766479447817e+00	3.672945093456264409e+00	3.286258708343615442e+00	2.982944103750381076e-02	6.029840031816008583e+00	4.308271188846554689e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.619675188993521697e+00	1.298653875389027101e+00	6.969875814054750762e+00	8.055554360207063169e+00	1.155581004976376169e+00	3.070724978362709301e+00	2.267814305290895671e+00	1.712330642583996143e+00	8.733437952844537833e+00	3.991501318691462785e+01
