G	c	dx1dt	d2x1dt2	p	d1	Fg	m2	m1	d2	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	2.108984225349548769e+00	5.891497177301700638e+00	4.550220109965910531e+00	-1.874849859523173734e+01	6.814079551759095743e+00	1.408057179479432932e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	3.616198910602355987e+00	8.726744236557518519e+00	5.020893015393417258e+00	-2.144617309868115029e+01	2.525837854213339728e+00	-2.814871051748400177e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	2.099539919935168442e+01	7.449507108699926938e+00	8.725658481652667220e+00	3.565049437500471896e+01	9.362632128181729740e+00	3.697617314920248077e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	2.978959111896198220e+00	2.352085719640259587e+00	3.744541858937630696e+00	1.813970480972939114e+01	6.266257324826442598e+00	-1.943533107951372330e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	4.349438423450265878e-01	2.390488152193771310e+00	8.621037229663182089e+00	7.424594433462783805e+00	1.779936190393361706e+00	-6.317754328369101557e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	1.918748970924377906e+00	3.173186806709712648e+00	2.002751949393435371e+00	-1.453593763123912552e+01	9.747383886685291543e+00	1.290673243839597717e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	4.068336847920757116e-01	4.080480978929633906e+00	7.872251898214870813e+00	2.018352710863111810e+01	5.991949707937195946e+00	-5.314931310595739689e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	6.323893813556393440e+01	4.893060465948545712e+00	8.879538353025052899e+00	3.271679082300902319e+00	1.715895528567869643e+00	8.187372399072340556e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	5.434735068558079751e-01	7.509878901444386301e+00	2.594250490505680240e+00	-5.302947862131082601e+00	6.778089970477068071e+00	6.338531511346434399e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	2.716295911365804727e+01	9.342152660053810731e-01	4.497633605407895807e+00	2.610591629208413700e+00	3.483432866541011474e+00	1.408661125549368620e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.555334045909417817e+00	2.617571943543568480e+00	1.656352898060207579e+00	6.224351410429409093e+00	6.178695695489230255e-01	1.361141250092086974e+00	2.809991103936036794e+00	1.534599200637196148e+01	8.263407659469349298e+00	-4.778223196263642336e+01
