G	c	dx1dt	d2x1dt2	dx2dt	Fc	Fg	d2	d1	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.580469866391284839e+00	2.721625477773165436e+00	3.093289846347807792e+00	7.010264325491320392e+00	3.216501665034533630e+01	-7.263807182448095423e-01	6.101435608729842919e+00	4.250602586054006871e+00	-1.705447175578116425e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.588347898455239715e+00	5.892626849651580123e+00	3.285017546173973901e+00	8.120793251110955069e+00	7.785773340190175418e+01	-4.982621792614272405e-02	8.289775197376487270e+00	5.066471898562076248e+00	1.161955483834849145e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.536679337700704195e+00	9.152460123667857772e+00	9.372679070244213761e+00	3.276676882791895729e+00	2.426015046685928667e+01	-3.717992505197398878e-01	7.750308088049854938e+00	9.086660304649806008e+00	-3.270112543254918513e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.314816861448338869e+00	7.474600770823538909e+00	3.419750645992614579e+00	6.926530035670254826e+00	4.197885701638651312e+01	-1.469862534184584457e-01	2.262416306849603043e+00	4.322269711082286747e+00	-7.956150588103692023e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.231498052246176478e+00	7.708060406769464024e+00	3.124479276933497918e+00	5.903540274914068853e+00	1.343859874021640266e+01	-6.089299882672385422e-01	1.904019591426791891e+00	9.159688000911270223e+00	-7.669004558660414084e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.754450774949904091e+00	6.827836803827810108e+00	7.875130733296354713e+00	8.888172455988685883e+00	2.252792331316647889e+01	-1.446426871843532469e+00	3.505416143578832688e+00	2.145069888974670658e+00	-7.275206564935800202e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526165737831344238e+00	6.778084698864883961e+00	4.860664391936308171e+00	9.268795246074098770e+00	1.559860600083562154e+01	-2.586731129736130619e+00	3.725552343449346715e+00	7.863270680667194590e+00	-2.629190440780197946e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.452114355688072678e+00	8.758383256567093156e+00	8.269528303543550507e+00	1.117173908670420213e+00	7.992985145532276903e+00	-1.769861217712480062e-01	4.684564655834606128e+00	8.709072582145097385e+00	-4.433570856584846176e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.306129547529747192e+00	2.781404336045111059e+00	1.543759787834284358e+00	7.394565135449347792e+00	4.646418521290740955e+01	-3.504964548438575522e-01	6.627279547845912333e+00	2.657162202558974506e+00	2.422057054610183002e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.407383723470233328e+00	5.129901562224316258e+00	4.968629582173926806e+00	1.146574900633618777e+00	8.127715075584108106e+00	-2.957904472938618912e-01	1.523878765366553978e+00	5.054036156693957338e+00	-4.722466067885728869e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.428220429349306819e+00	2.890098828815205412e+00	1.241838702659415095e+00	6.081029413959542218e+00	8.473700231128542981e+00	-4.716780538037997239e+00	1.310387845039582055e+00	2.410176511997547788e+00	-1.085699483098231433e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.565569232860399396e+00	1.031847395395713995e+01	1.690455118273161306e+00	3.705165921187339340e+00	3.390191091449167970e+01	-5.240766518302490684e-02	4.637045021296329672e+00	7.384940809929185335e+00	-4.505176816884899904e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.346453125891429181e+00	9.198101319371485118e+00	9.225302902654842541e+00	3.507790926932223829e+00	3.246190880985688665e+01	-4.119485585745038536e-01	7.509314498850707231e+00	5.837954628209311103e+00	-8.504380495634902282e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.917393095608926679e+00	1.358291842663839732e+00	2.111910377781094805e+00	4.301306884843443257e+00	9.350980083209501359e+00	-1.847991453271663920e+00	3.026226067995103186e+00	6.863914497373715840e+00	-9.320902813482199178e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.872786949814296165e+00	7.511501551345888039e+00	5.630202354421752098e+00	6.668313904860945662e+00	1.563425159496054917e+01	-9.697720104020560727e-01	6.335049421970575523e+00	2.948251848395500474e+00	-2.212689540567021496e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.280234466784369030e+00	9.740037859737959991e+00	4.427227661189468755e+00	3.958070862724288652e+00	1.130161137819788131e+01	-5.003999500855931259e-01	3.322600973046923034e+00	2.931407569095946464e+00	-5.659177469019542883e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.874936960368039252e+00	2.841527777130658183e+00	4.017106447647138978e+00	7.827829227698082093e+00	2.736902280776382668e+01	-1.206378358879902635e+00	9.522449491721626913e+00	1.407487720482428095e+00	-1.498832262177252073e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.597225390047014137e+00	6.415785807203881141e+00	8.862262056051635639e+00	4.485990448917594797e+00	2.533597179793499521e+01	-6.699773946183631423e-01	9.093646229591890062e+00	3.960573684721222509e+00	-3.908169046234462485e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.799708701221201856e+00	9.479808419058226576e+00	1.464234408731928117e+00	1.688346319521287331e+00	9.925144813082507511e+00	1.094095678255426057e-01	3.449169339521568123e+00	6.489365856787236098e+00	4.627877611174173733e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.162719578967790213e+00	9.691868396744345304e-01	6.725318847161944724e+00	8.018198599064785270e+00	3.238035118273575819e+01	-4.105575997067501426e+00	3.048237395823287788e+00	8.246860231034194300e+00	-8.067162247050590906e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.453508442584093174e+00	7.376833569854563066e+00	9.704310519465321860e+00	3.405445686074942468e+00	2.460404370783399131e+01	-4.954006360618294358e-01	4.597245330545580266e+00	6.736355152289898562e+00	-7.966620213495653857e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.459676538094231368e+00	3.912202722644079866e+00	6.056506011557861946e+00	5.031017099924495639e+00	9.451517023286552188e+00	-2.629488348310172530e+00	2.844378955395618025e+00	5.103363299983670665e+00	-2.429433964335792240e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.823851030844221732e+00	9.053507755849986793e+00	9.692484465759715562e+00	7.112767370469513573e+00	2.858433086144566104e+01	-9.027646800427561180e-01	7.288152851776914076e+00	9.652085324092317009e+00	-1.120933365739400678e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.977923888660215290e+00	9.578259485511502191e+00	1.771076514244276368e+00	3.593408561417623215e+00	1.488324947397711639e+01	-3.505793502511737880e-02	8.593729057098746793e+00	7.545281381641879115e+00	-1.107524352669441825e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.605237646105133642e+00	9.274984208392174523e+00	4.961285045280964923e+00	1.021778560055598639e+00	7.261240526364824532e+00	-3.091750593455319107e-01	6.694379110398878119e+00	9.554586866194247463e+00	-2.221692240670551044e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.288754087557077099e+00	5.482839050212143128e+00	3.438857486423294585e+00	4.578862635524640901e+00	3.529267282442988574e+01	-1.824914767451519537e-01	8.393750940063252841e+00	5.806991940827884058e+00	1.018444423241472996e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.503839700622637832e+00	8.739112776865955112e+00	7.287875749888444332e+00	9.169658908490857741e+00	2.937164799382444258e+01	-9.189394318002581663e-01	4.418654560694969646e+00	3.176722241359876797e+00	-3.988127610368197296e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.177756332537271078e+00	8.511698805959920122e+00	9.536577401967292644e+00	6.851230237603355810e+00	3.946177587577006562e+01	-3.019919268453407080e-01	1.970663190568578305e+00	1.647928199072827615e+00	-3.532026362340226378e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.609426468512792141e+00	3.515397791904710356e+00	3.075290059346318827e+00	7.058186101539627444e+00	4.392160199151430078e+01	-4.507932640425403314e-01	7.256236136141097859e+00	7.540493197215604404e+00	2.062791542780628706e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.142181086720792216e+00	8.441493033653294731e+00	7.095163697088958443e+00	6.590789336670601628e+00	8.112652279592554194e+00	-3.809278480853979687e+00	3.899489689616464361e+00	1.968952522625585289e+00	-1.317566558271595056e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.258848506460410910e+00	1.175189589066857110e+00	2.803123805544254665e+00	3.320538297536514527e+00	1.950963120060702849e+01	-6.777162337422462102e-01	7.025524238850276326e+00	3.914348296465337107e+00	-9.005308802147835578e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.069012987850138430e+00	6.434115705042141364e+00	6.327793419333950453e+00	4.813636925846169312e+00	1.130191288608255284e+01	-1.309249068813241879e+00	3.311073173290969507e+00	5.970822629737765119e+00	-1.285040016852784106e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.136314309965187785e+00	2.752154313041442091e+00	5.452248742862031428e+00	7.962984576457665220e+00	1.261611117045716490e+01	-5.699433504523233829e+00	1.469834367058665547e+00	6.138661675868092971e+00	-1.048607033935005290e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.199999428837257298e+00	2.134587981495245312e+00	9.547625298769551350e+00	1.989446935107739067e+00	1.625082267838075012e+01	-9.324502256041129478e-01	9.826507837677088020e+00	6.876270042581277053e+00	-6.466265412349024189e+00
