G	c	dx1dt	d2x1dt2	dx2dt	Fc	Fg	d2	d1	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.274057688439908631e+00	2.611094311556829251e+00	3.350343768445537496e+00	7.936019777009828857e+00	3.065684466284761456e+01	-1.026928410093943089e+00	4.939114282483125784e+00	4.122524333761441895e+00	5.925477425911702678e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.011099864100127377e+01	5.225592582543468367e+00	3.325133408221590425e+00	7.608268426055445843e+00	7.815103663687214919e+01	3.082121486923272702e-02	8.040922613284367415e+00	5.226783137677019297e+00	1.851436609642369113e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.210762335894376207e+00	8.521581114766087595e+00	9.684951509325685493e+00	2.918548524325168092e+00	2.921779941519303492e+01	-4.606088921040640827e-01	7.978754645804779777e+00	8.808956479116377025e+00	-2.659686888302921659e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.645314033811166254e+00	6.610268590306091596e+00	3.894978992056649325e+00	6.235876078749359230e+00	4.368706952859996306e+01	-3.191546024948438420e-01	2.742193204604312484e+00	4.317458571435979664e+00	2.502820554379974194e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.738190870439986657e+00	7.746739856275169700e+00	3.232337643288422768e+00	6.313615798732968187e+00	1.508130049869332190e+01	-7.727969091120356904e-01	1.601188957242959621e+00	9.656378930989857778e+00	-9.533806742325513284e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.846539086634405802e+00	7.165963601204835776e+00	7.057331946667476430e+00	8.525858370553796917e+00	2.234102225344955528e+01	-1.383204916852088795e+00	2.680770101554598828e+00	2.493190811405302298e+00	-6.776087014535173481e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.943470291937145822e-01	7.203923409775318198e+00	4.944180326335097853e+00	9.263087948039283148e+00	1.585900253380251002e+01	-2.628981104079335829e+00	3.962112580232893144e+00	8.099943299056601376e+00	-2.470253229650445093e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.109213904142084317e+00	8.518374182706939024e+00	7.869319942756648700e+00	6.327052423209391652e-01	1.251073376166010220e+01	-1.694860684678391460e-01	4.677920846675265309e+00	8.605163677878614692e+00	-6.494003281491867341e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.894953594703003397e+00	2.805796575560456585e+00	1.745440452103221851e+00	7.870009671766516668e+00	4.309187612421605706e+01	-4.453391632946326895e-02	7.666753032297728865e+00	2.853603802169886627e+00	7.067628010073884193e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.858675097405887655e+00	4.418811495770598619e+00	5.848092059181949409e+00	1.220730527250678765e+00	9.413843057783488177e+00	-3.212473361779308867e-01	1.901063361979143718e+00	4.539430923427473452e+00	-7.256408181346806430e+00
