G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	Fc	p	W	Fg	m1	m2
1.000000000000000000e+00	1.000000000000000000e+00	3.834422548126843466e+00	3.379057645324374359e+00	2.781714954348343483e+00	7.665232046378427810e+00	5.689610408540100472e+00	-1.295300227531190629e+01	-6.431022029647475620e+02	4.668630994849651827e+00	7.050319623219840182e+00	-7.700146454182824129e+01	3.807205308801938637e-01	-2.727960396045481048e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.996087123480485559e+00	5.598239071238995557e+00	1.956209375359605485e+00	7.895887836038704144e+00	7.350712843872029723e+00	-5.059019359685985506e+01	-2.664937758526330072e+03	5.647558550109621045e+00	2.621089732938231887e+00	-9.272477009365860567e+01	2.523924790784903394e+00	-1.454671423129123286e+04
1.000000000000000000e+00	1.000000000000000000e+00	8.201462977641917007e+00	8.812775324570379709e+00	8.835912409178174443e+00	3.612579844845905885e+00	7.198455952353358001e+00	1.690948870435009965e+01	1.067804055149606938e+03	8.099538658732678087e+00	1.006437710531503171e+01	2.828246455616185884e+01	8.996490022059676406e+00	3.418161758234575700e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.634540886554984418e+00	7.346261252343285086e+00	3.258885308620617760e+00	7.173361585952536146e+00	2.977409228263726337e+00	3.476430075145974286e+01	1.429240175477352977e+03	4.225602969287460375e+00	6.160970365217725231e+00	1.871778406899396998e+02	7.172953868206166206e+00	2.727006628796117639e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.444589427961565864e+00	7.712392312058497623e+00	3.795809612423449941e+00	6.980175192984190424e+00	1.833644291567024132e+00	1.509129904658152910e+01	7.458914693369092674e+02	8.027243797797165570e+00	2.333065870976056111e+00	1.145280461797840310e+01	4.045179132012365564e+00	1.366634456168611678e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.323000452885815470e+00	6.355877670639471511e+00	7.516727365002721761e+00	7.762874721549931856e+00	2.512590546693540539e+00	-3.344902075044711154e+01	-4.444270230036620887e+03	2.375208207307982988e+00	1.008496316180412933e+01	-7.700019330733433662e+02	3.955342341246432358e+00	-4.408481410276667702e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.175562718422400454e+00	7.402239456940162832e+00	4.736206572165935214e+00	8.397933934846971482e+00	4.206469178451150981e+00	-3.646294417640759633e+01	-3.337792174262724075e+03	7.677770006603235942e+00	5.287398645099159467e+00	-1.172381484806883236e+02	6.760059483526297264e+00	-6.275929609564009297e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.025802491972740427e+00	8.628080274044680920e+00	8.559467277908964888e+00	1.740187981118531013e+00	4.989137595577486373e+00	5.168006983874272819e+00	4.596993167107211775e+01	8.537940623450698041e+00	2.704994632462078386e+00	1.573541207017022270e+00	1.215120872500509153e+00	1.293640960765909995e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.401237957567217585e+00	3.671211929680712416e+00	8.532678427494073681e-01	7.608320142803094654e+00	7.138328103507203259e+00	-1.928989730683485249e+01	-5.029648462292644808e+02	3.110538830108354080e+00	6.644007180461910522e+00	-1.714457100426147917e+02	3.625412226254688175e+00	-4.079911389318861893e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.771346644912648038e+00	5.270161006776257651e+00	5.297986960205702367e+00	1.132556193291348379e+00	1.840419746307088600e+00	2.551900277374472559e+00	1.763193268923368962e+01	5.296214882620102316e+00	3.584040010327424586e+00	-1.047036625117078756e+01	3.030371422115492930e+00	1.365243495526951278e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.385187843058794943e+00	2.874248481585815362e+00	1.831085077880877154e+00	4.187421777508051335e+00	1.941184109496682408e+00	-4.112423552307937769e+00	-3.430309826734251999e+01	2.749513392756812724e+00	8.243584068691312439e+00	-3.493081286656179429e+01	3.660813523663572600e+00	-3.645181343644232470e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.049915767695214441e+01	1.031501235689700202e+01	1.172717938566450346e+00	3.632481794372484529e+00	4.838367537688808895e+00	9.706946503232250834e+00	1.084488128495205501e+02	7.924229689930074372e+00	8.914515246434252305e+00	1.881104062213011474e+01	8.830359129898361914e+00	1.452511839942910228e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.419610956943881064e+00	9.289524811679489957e+00	8.311172149663237363e+00	2.939510892447154244e+00	7.190561468176143833e+00	1.608956941875683100e+01	1.183042083855273631e+03	6.042540253644229864e+00	9.232362222392808349e+00	2.823757288407507460e+01	3.537523337854631578e+00	3.327630174286452529e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.452879169147202720e+00	5.539747402460877268e-01	3.195671201023772223e+00	3.728561728627052929e+00	2.444431089979910876e+00	-4.973298044861437894e+00	-1.637560798398880593e+02	7.512052717960878034e+00	6.371876184234305462e+00	-2.121923665224117883e+01	2.439967507150948567e+00	-3.496438107757291505e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.460131803675833506e+00	7.821680140164778194e+00	6.233129162408696189e+00	6.689718314449638825e+00	7.193393588282400941e+00	1.246490791645776568e+02	9.507712541267845154e+03	1.829815679966188213e+00	5.220661841744963283e+00	7.515157160754326924e+02	5.038826419590672678e+00	2.644360251304701160e+04
1.000000000000000000e+00	1.000000000000000000e+00	3.675459304006237993e+00	8.950530763675443424e+00	5.158361083063930153e+00	4.177319262668759414e+00	3.488415522885807363e+00	8.876096737133782000e+00	3.619408065055671386e+02	2.873033372404748764e+00	8.139467563525778715e+00	5.454607984718452940e+01	9.730202989922117851e+00	5.545391137079375312e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.650583909460790810e+00	2.662388145077461132e+00	4.076776345996551143e+00	8.450316483021357072e+00	8.505919942518794130e+00	-1.873928517961913442e+01	-1.094584264303867258e+03	1.317480771860816358e+00	1.790576013566637759e+00	-1.072710662886432971e+02	3.610499336625174305e+00	-5.264962752536287553e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.846590283685879186e+00	5.762967709807773176e+00	9.452232067302572815e+00	4.438970177198963363e+00	9.770501363909502857e+00	6.639563599028728902e+01	5.540447018357166598e+03	3.778476529188522726e+00	6.105692385073440143e+00	2.283001145874423798e+02	5.193394246111335821e-01	1.457904789615841219e+04
1.000000000000000000e+00	1.000000000000000000e+00	4.929561589288815604e+00	8.698376827711539860e+00	-1.786953965404307620e-01	1.086669553199455684e+00	3.818383742279965354e+00	4.372230848705595641e+00	5.162837366284227514e+00	6.310600361815936310e+00	5.389663199777174007e+00	2.699275670244836167e+00	4.076980860980370380e+00	8.261418511879001016e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.034888382260707118e+00	2.492253417155874118e-01	6.732648673143790674e+00	8.550403166154453061e+00	3.425582359086301487e+00	-4.662362213463848271e+00	-4.928869287712042251e+02	8.838816297165191571e+00	2.444782763596116126e+00	4.801704063873705408e+00	7.951110635386395842e+00	-6.593519539664115428e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.388168657632354197e+00	7.465465546335014579e+00	1.019376491215606251e+01	3.775947372030714178e+00	4.488205296462520089e+00	1.312535514695744965e+01	9.242800609937875151e+02	7.454858252207991143e+00	4.060229423919079927e+00	1.206054155844996600e+01	6.849423026391670000e+00	1.480098728628299796e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.716296792201634780e+00	1.788053567304908054e+00	5.270743781235477599e+00	4.698324971352037416e+00	3.780678902222939897e+00	-2.217958048360337742e+01	-1.277522601071436384e+03	4.269072775440872825e+00	8.763430130593972578e+00	-1.043343347037188096e+02	7.762164263837037836e+00	-1.436475526844584010e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.685166603340756630e+00	1.004185518024064194e+01	9.247280935875361152e+00	7.186188097934086194e+00	6.187918200278109460e+00	5.353993221372681433e+01	7.433816658922907664e+03	1.083562968800602277e+01	8.494087356074883743e+00	1.827921014026262299e+02	9.864057566671116106e+00	1.329779448333191431e+04
1.000000000000000000e+00	1.000000000000000000e+00	4.566093110429126689e+00	1.031365083612314493e+01	1.646827089069799133e+00	3.787461591392713878e+00	9.347216917256204738e+00	1.992162527285598017e+01	1.889039060495120168e+02	7.258712456924067524e+00	1.043103856777586547e+00	1.862751185596536629e+01	7.920453037859624068e+00	4.773722367759555709e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.356719007977183367e+00	8.992428159840255120e+00	4.336089560508437302e+00	1.883896083289616330e+00	6.001753426785955803e+00	9.685307452913344051e+00	1.581715551802279833e+02	9.528806543888970637e+00	1.307673410459019081e+00	-3.150788967160865539e+00	5.794906536908551509e+00	2.397791155630073263e+03
