G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	d2	d1	Fc	Fg	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	6.155409693265429638e+00	4.670845477162441028e+00	1.727764792531424565e+00	7.456705782007445826e+00	8.105012853399315986e+00	-2.601575111794711237e+00	4.801399436815819399e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	8.010579521038309281e+00	4.516145004843828303e+00	1.724589800233452985e+00	2.517528135067041095e+00	2.278188045546659435e+00	-2.754337769848130613e+00	4.391200341814820263e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	7.875931938324740145e+00	8.939534653146541388e+00	1.447572730063416024e+00	8.564632010292248410e+00	3.644277128891957762e+00	1.569056848562715434e+00	6.491778823919963770e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	2.071857699709672485e+00	4.279802679661924181e+00	3.637635361623292596e+00	7.150074733611313960e+00	1.862256185318983270e+01	-2.700346524222057898e+00	9.024933535489040537e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	2.138907077366533738e+00	8.727461482441022156e+00	7.412072263569199571e+00	2.215435237612591646e+00	5.810240844308554031e+00	3.020787215187191177e-01	7.469634479029515717e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	3.621612912603506818e+00	1.251667166978630341e+00	1.529053508366130743e+00	9.450961108014741541e+00	2.381533106431598412e+01	7.569719948270559939e+00	1.148120214370425032e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	4.131589023327840948e+00	8.057698742379114876e+00	5.895091784319024697e+00	5.515295270299915842e+00	1.246805768238202994e+01	2.766281822131449797e+00	1.396411584740208127e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	4.925910584630344147e+00	8.717534705098049841e+00	7.110383102566081304e-01	1.700862639857561476e+00	8.736704075401344749e-01	-1.533221134007773101e-01	1.395173161487622338e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	7.075467683919309358e+00	2.515530287514624153e+00	9.380438413565517219e-01	6.894680179847848756e+00	6.820009005655295553e+00	-9.865106292692615853e+00	2.686164235688098501e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.137323856322220994e+00	4.924332208444362813e+00	1.675703144167484115e+00	2.558348036922809321e+00	2.958773284587313146e+00	-1.201643879850671670e+00	2.487322247390532226e+01
