G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	d2	d1	Fc	Fg	p	W
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	6.135985695631902992e+00	5.339632907430694964e+00	1.799313826483763368e+00	6.749937865128159409e+00	7.144892940629539169e+00	-2.600087625521633861e+00	5.661975320162220982e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	9.099051218836732957e+00	5.295723356680010596e+00	1.836245050754801600e+00	2.098310782968275223e+00	2.235441553308135543e+00	-2.740447513371803367e+00	4.766137533778269386e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	8.670140540088056014e+00	9.104066743826964014e+00	1.492663725695879018e+00	8.599618633494760189e+00	4.237675097516348188e+00	1.567067095265070265e+00	5.257271237363974592e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	3.071493532008065852e+00	4.084481064579708942e+00	3.327744296124940604e+00	6.507125140593322143e+00	1.729126441051016982e+01	-2.691678765709273780e+00	9.180506999990319628e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	2.795347955637677462e+00	8.906530724004316113e+00	7.899602009728826424e+00	1.919564981619557020e+00	8.354434037018840797e+00	3.077838963212796708e-01	6.940559015266735798e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	3.586436187155313871e+00	1.173897370437505527e+00	1.214560120617321104e+00	9.646585414004986703e+00	2.296271800040519651e+01	7.565382701992062309e+00	1.012297379834973299e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	4.877141378091901736e+00	7.868023831830956993e+00	5.570551312405704003e+00	5.827393519944001454e+00	1.289199512534455749e+01	2.767768089947367560e+00	1.403806040523363663e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	3.580780909845354909e+00	7.643288132575813520e+00	7.139464216495113869e-01	2.079773193131053244e+00	3.141981129173060383e-02	-1.496027301270886067e-01	6.170949281764261940e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	7.656407272939711461e+00	2.560934617868895202e+00	9.798794949413842659e-01	5.963793288905755219e+00	5.992931275219508969e+00	-9.866233071351967254e+00	2.666372700099359250e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	8.995182201440498071e-01	5.597318062796055038e+00	1.715616497251669426e+00	2.936952308083990104e+00	3.583588413288135932e+00	-1.202211921395416550e+00	2.795041578383782621e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.254075160613299378e-01	3.006182964984958517e+00	1.906759202610530890e+00	4.666156168681741434e+00	8.148988483337687994e-01	2.916283991550873367e+00	3.509903590912519356e+00	8.553394929483452813e+00	3.693501377633489824e+01	3.349936702305567615e-01	9.519914425926789647e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.841292761111732901e+00	8.270766594421628426e+00	1.874047584422260604e+00	2.867282672439445790e+00	4.906222116135309896e+00	7.421018513404952444e+00	2.370530814234769412e+00	7.554174639377630562e+00	7.809585551098107814e+00	-6.905936431268956177e+00	4.396980865646925452e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.343329220679809310e+00	9.131266108360318157e+00	9.738191675024344462e+00	4.929675648383204489e+00	7.780347996727558169e+00	5.707284456540966389e+00	8.935732794078363739e-01	9.868291240002580622e+00	4.031177261670231715e+00	6.921746506053039205e-01	6.850406752192466797e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.553812117367348478e+00	1.013595809955779137e+00	2.181125039652958009e+00	4.815170652399662465e+00	2.408813086974141981e+00	6.421480845168193952e+00	3.224415152876795254e+00	5.532110385727717627e+00	8.824271861123563099e+00	-2.685032722494655300e+00	6.051106909053824268e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.344248597838594961e+00	7.289647341455507856e+00	6.217418487146091799e+00	6.276071653839675690e+00	7.125518269257374193e+00	2.264471480485586774e+00	5.658903468003669834e-01	3.687428805055033898e+00	4.753337110830604395e+00	2.183768436348488606e+00	6.486873261766426424e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.558291670832195219e+00	8.809672876589100809e+00	4.146883301056256244e+00	3.200705476279288142e+00	3.645079332259461236e+00	3.354849297488515347e+00	8.045122146626337845e-01	7.512367277950761313e+00	9.558346856715500550e+00	1.714260029309060185e+00	4.306257247843394254e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.571636686167005248e+00	3.146759573082256178e+00	4.092857409860521933e+00	6.917886376827383721e+00	8.805567030708592924e+00	5.313286305600748438e-01	2.189484693129950532e-02	2.372173988278507117e+00	2.236937298107684935e+00	3.254214119443410991e-01	3.291794972862141577e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.143764969864151659e+00	5.621109347445037763e+00	8.087217580206244705e+00	4.916374457917647156e+00	9.145011262147303199e+00	3.043855935048565442e+00	7.476479189216007626e-01	5.806997232978878820e+00	1.746733937714925355e+00	3.269985745918400522e+00	3.770330559780033752e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.326623629825025574e+00	9.852695128530893243e+00	1.213850516486768560e+00	2.685364339420334368e+00	4.809031540199660171e+00	6.533848961031681668e+00	1.042151769467241085e+00	5.658228982767914417e+00	2.773632407951411860e+00	-2.353652973575495189e+00	9.387769952617807334e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.284185464224782969e+00	7.708082942330187759e-01	7.650391596962792029e+00	9.089556699691586417e+00	2.916575152001810611e+00	8.835446191325026177e+00	7.401069300766401682e+00	1.890212797264227085e+00	5.545029432877450759e+00	4.631239560386180010e+00	8.130455223978006529e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.707238537658107624e+00	6.940890305842947861e+00	9.709317784380148808e+00	2.718847206431151076e+00	4.567146030359245046e+00	7.026938997583626723e+00	1.475024376316598884e+00	5.299794022954707806e+00	3.963964149305707174e+00	2.069563986655572840e+00	6.195876558132713541e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.925304740351355459e+00	3.297950870146092228e+00	6.440080257602020630e+00	4.734789823664779185e+00	3.246492379239191095e+00	5.032164081826105750e+00	2.480549092293421687e+00	8.971999768361795802e+00	1.315053909021556500e+01	8.941954512990736958e+00	9.502158956175496485e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.185234133194305262e+00	9.043503051936964354e+00	9.582245515672116909e+00	6.705042845320061673e+00	6.951800828225354500e+00	1.068085031451703060e+01	3.271315473107439420e+00	8.294215114019777957e+00	7.800214895201828647e+00	5.414683685930275381e+00	1.568545515335401603e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.778848200772478627e+00	1.039521885625289066e+01	1.155351653604765882e+00	4.066241752686308608e+00	8.865164697964923235e+00	7.503950718526282593e+00	1.247695526509565944e+00	1.099480648041320174e+00	1.273369219875866820e+00	-5.465442060132790214e-01	1.829370083181701290e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.366619127823767155e+00	9.316436127256585209e+00	4.666079453147342626e+00	7.887177203327335739e-01	7.858118710391465811e+00	9.532391310623175684e+00	4.162207802116205113e-01	2.099066568339579497e+00	1.782153320300877919e+00	-5.794044900189235237e-02	1.765898365903940359e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.833918425881662984e+00	5.100112132720772351e+00	3.992800789515933424e+00	4.069817440780129303e+00	8.284794852861727676e+00	6.877379526052493475e+00	9.498294197463411637e-01	2.723595498181447638e+00	2.236036237211558309e+00	-3.018296603267396350e+00	2.301685482701652319e+01
