G	c	dx1dt	d2x1dt2	dx2dt	m1	d1	W	Fg	Fc	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.580469866391284839e+00	2.721625477773165436e+00	3.093289846347807792e+00	7.010264325491320392e+00	6.397203344679464720e+00	2.323505980185266218e+00	4.495857268591943345e+00	4.454054596588759019e-01	4.294261769279237306e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.588347898455239715e+00	5.892626849651580123e+00	3.285017546173973901e+00	8.120793251110955069e+00	8.207793719082296491e+00	2.091504384085320023e+00	5.302099642530605728e+00	1.940657513302213311e-01	2.467650042127001786e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.536679337700704195e+00	9.152460123667857772e+00	9.372679070244213761e+00	3.276676882791895729e+00	7.760468174716275591e+00	7.482159212693648698e-01	8.599129805825329598e+00	6.541042700464151372e-01	9.424457867919089793e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.314816861448338869e+00	7.474600770823538909e+00	3.419750645992614579e+00	6.926530035670254826e+00	2.322595580637288659e+00	5.570974450094208663e+00	3.936472994435851636e+00	1.953114700659816239e-01	1.428185409613252022e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.231498052246176478e+00	7.708060406769464024e+00	3.124479276933497918e+00	5.903540274914068853e+00	2.093032424096289201e+00	5.225178628195394026e+00	8.384457929639056672e+00	3.907031643318520375e-01	1.464783207690721234e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.754450774949904091e+00	6.827836803827810108e+00	7.875130733296354713e+00	8.888172455988685883e+00	3.807631464496440188e+00	5.209391680975352656e+00	1.885718254852660092e+00	1.062773060372353973e-01	8.541029502846399168e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526165737831344238e+00	6.778084698864883961e+00	4.860664391936308171e+00	9.268795246074098770e+00	4.560047462763908932e+00	4.427266200368005222e+00	7.463290675246962991e+00	2.249618691293071293e-01	3.061694686079352579e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.452114355688072678e+00	8.758383256567093156e+00	8.269528303543550507e+00	1.117173908670420213e+00	4.345734715837354933e+00	5.594874377165717227e-01	8.636454092193822873e+00	1.810123453054014897e+00	6.927060624658011534e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.306129547529747192e+00	2.781404336045111059e+00	1.543759787834284358e+00	7.394565135449347792e+00	7.336228132306327865e+00	1.746143186062033337e+00	2.142834208845774135e+00	2.324898049548267676e-01	9.482049177327716016e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.407383723470233328e+00	5.129901562224316258e+00	4.968629582173926806e+00	1.146574900633618777e+00	1.007641566789313714e+00	1.966366953379079519e+00	4.886972737021141988e+00	1.252926860376637697e+00	5.724074387114907125e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.428220429349306819e+00	2.890098828815205412e+00	1.241838702659415095e+00	6.081029413959542218e+00	1.580395296112547143e+00	9.032462246238504022e+00	2.487819471847354524e+00	2.700454356212150242e-01	9.417733717623655298e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.565569232860399396e+00	1.031847395395713995e+01	1.690455118273161306e+00	3.705165921187339340e+00	4.337545838525467268e+00	1.562562212813266571e+00	7.470078322858871189e+00	4.180360524104488329e-01	7.121655526142259274e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.346453125891429181e+00	9.198101319371485118e+00	9.225302902654842541e+00	3.507790926932223829e+00	7.372491209398683409e+00	8.159096129109455475e-01	6.054662660049232592e+00	3.283515513366894734e-01	9.340025403526812653e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.917393095608926679e+00	1.358291842663839732e+00	2.111910377781094805e+00	4.301306884843443257e+00	2.215421152126028304e+00	2.895855063311626232e+00	7.005273073608758949e+00	2.393198088678756275e+00	3.890251052009536359e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.872786949814296165e+00	7.511501551345888039e+00	5.630202354421752098e+00	6.668313904860945662e+00	6.447076354940636023e+00	1.936799334825761276e+00	2.326733492195215636e+00	1.374623011239138881e-01	4.596716571353916869e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.280234466784369030e+00	9.740037859737959991e+00	4.427227661189468755e+00	3.958070862724288652e+00	3.466103272232030630e+00	2.555648702020755447e+00	2.889746314599342725e+00	1.588260451700782561e-01	8.147068374482093756e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.874936960368039252e+00	2.841527777130658183e+00	4.017106447647138978e+00	7.827829227698082093e+00	8.783884462012526484e+00	1.609978651867038035e+00	1.925095153586040109e+00	1.421697999792710387e-01	6.104865701545786116e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.597225390047014137e+00	6.415785807203881141e+00	8.862262056051635639e+00	4.485990448917594797e+00	8.832447800226795209e+00	9.685145282214050466e-01	3.931278180241710718e+00	2.829049938429711308e-01	1.283776051996674283e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.799708701221201856e+00	9.479808419058226576e+00	1.464234408731928117e+00	1.688346319521287331e+00	4.055744137298413321e+00	1.127351914201029315e+00	5.809655656245801936e+00	8.673814035659278554e-01	4.466411646207033570e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.162719578967790213e+00	9.691868396744345304e-01	6.725318847161944724e+00	8.018198599064785270e+00	3.672092771985226101e+00	5.205486298371486242e+00	8.699551492103049455e+00	1.597781132963380868e+00	3.730017048932892010e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.453508442584093174e+00	7.376833569854563066e+00	9.704310519465321860e+00	3.405445686074942468e+00	4.956929054917186939e+00	1.501396753885632762e+00	6.897104001854619248e+00	5.045364075785275793e-01	1.235307668120676183e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.459676538094231368e+00	3.912202722644079866e+00	6.056506011557861946e+00	5.031017099924495639e+00	2.867413440467057484e+00	3.077277841810628356e+00	4.595853825691368577e+00	5.704976848553403590e-01	1.007045025010880046e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.823851030844221732e+00	9.053507755849986793e+00	9.692484465759715562e+00	7.112767370469513573e+00	7.531744486599265542e+00	1.845624391306248002e+00	9.816484148259247533e+00	2.962562430399006130e-01	8.882364721724968604e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.977923888660215290e+00	9.578259485511502191e+00	1.771076514244276368e+00	3.593408561417623215e+00	8.009330151372996198e+00	1.026376634563727963e+00	7.633499987671849674e+00	3.937020685428572198e-01	-2.635978646245856205e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.605237646105133642e+00	9.274984208392174523e+00	4.961285045280964923e+00	1.021778560055598639e+00	6.974901725635474392e+00	3.366032436481202761e-01	9.005418954072325732e+00	1.331037437555864233e+00	2.064183554878716187e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.288754087557077099e+00	5.482839050212143128e+00	3.438857486423294585e+00	4.578862635524640901e+00	8.434072612151446435e+00	1.032794841603175584e+00	5.722705700310012134e+00	5.075036914960403545e-01	2.370720083916560306e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.503839700622637832e+00	8.739112776865955112e+00	7.287875749888444332e+00	9.169658908490857741e+00	5.096936154950087783e+00	4.216897321105411933e+00	3.174752381452738081e+00	6.027259913886817005e-02	7.206668266365889863e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.177756332537271078e+00	8.511698805959920122e+00	9.536577401967292644e+00	6.851230237603355810e+00	2.655413078777077551e+00	5.901274400478955684e+00	1.036108906690711207e+00	7.286794083378828057e-02	1.096589688954224329e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.609426468512792141e+00	3.515397791904710356e+00	3.075290059346318827e+00	7.058186101539627444e+00	7.515255329838031351e+00	1.659578848359734682e+00	7.146665920956782436e+00	5.533221906835109616e-01	3.442754085760487470e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.142181086720792216e+00	8.441493033653294731e+00	7.095163697088958443e+00	6.590789336670601628e+00	3.986914171117280414e+00	3.273414355480472882e+00	1.744462781207484436e+00	5.808339695240233302e-02	5.629298042826710535e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.258848506460410910e+00	1.175189589066857110e+00	2.803123805544254665e+00	3.320538297536514527e+00	7.314381988707294724e+00	9.139126991098914798e-01	3.708948341586581154e+00	2.026814388203208583e+00	5.919316023400329918e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.069012987850138430e+00	6.434115705042141364e+00	6.327793419333950453e+00	4.813636925846169312e+00	3.290536557318182176e+00	2.684703477728496601e+00	5.666617531247936768e+00	4.048894238916022625e-01	5.792012685251632043e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.136314309965187785e+00	2.752154313041442091e+00	5.452248742862031428e+00	7.962984576457665220e+00	1.790095308355799997e+00	9.047426481155518729e+00	5.816635379995539701e+00	5.180872648863318330e-01	8.632636128437830791e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.199999428837257298e+00	2.134587981495245312e+00	9.547625298769551350e+00	1.989446935107739067e+00	9.560181101205033727e+00	6.143202280198070131e-01	6.297751720138513143e+00	3.273408819227295652e+00	4.577740631125787729e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.566286880771793122e+00	1.570481234934102632e+00	6.485600612999479431e+00	3.438004488792246072e+00	2.560849464042117773e+00	2.803457440791717215e+00	2.701353555640961357e+00	8.895196499923220257e-01	2.512802208089491884e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.210558917413846913e+00	6.919097311427461428e+00	4.141970021707585659e+00	3.481705251424272340e+00	1.002888379996946355e+01	7.384061647098700831e-01	4.515481596927427788e+00	3.841223960417571304e-01	1.953493472643165418e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.499662639191674529e+00	3.689680278874013730e+00	1.936365590021945193e+00	5.282952328553514043e+00	9.457367400434586457e+00	1.054516560781276757e+00	6.829569690919078617e+00	7.514817733081229356e-01	9.240814888227937285e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.565499060606454940e+00	7.195503553232960314e+00	2.213560666567027102e+00	1.011783479280482290e+01	8.425322807572799277e+00	2.486822970105591502e+00	9.665741501795446666e+00	2.581068579054339729e-01	1.517674523731819658e+00
